occ,title,mexico_born_earnings_bn,share_of_mexico_born_low_earnings,native_earnings_bn,other_foreign_born_earnings_bn,mexico_born_share_of_occupation,output_type
6260,Construction Laborers,25.28746362416,0.10224535076777751,40.71756236267,16.36724692455,0.30698999469597554,measurement
4251,Landscaping And Groundskeeping Workers,12.04113147722,0.04868616836498494,15.19175496713,3.8821241153200003,0.3869878640770002,measurement
6050,Other Agricultural Workers,11.22664626123,0.045392942605304465,9.00047196052,0.74989417,0.5351880454456566,measurement
9130,Driver/Sales Workers And Truck Drivers,10.128475144440001,0.040952683482916294,97.73757827396,19.27470281371,0.07966348041810693,measurement
4220,Janitors And Building Cleaners,9.2651400215,0.03746194183372984,36.323129230160006,14.18182344252,0.15501297729126953,measurement
4020,Cooks,8.9672606239,0.03625751959721074,25.866973097969996,11.6387226199,0.19295653493514045,measurement
6230,Carpenters,8.74053157006,0.035340781090586894,24.579080826200002,7.21447273008,0.2156341149138259,measurement
4230,Maids And Housekeeping Cleaners,6.59251807599,0.026655671487689665,12.25857276767,10.10219693668,0.22769497288202564,measurement
440,Other Managers,5.9886935315,0.024214214595406174,75.00328776058001,10.90135662482,0.06517005114033002,measurement
6200,First-Line Supervisors Of Construction Trades And Extraction Workers,5.63775617574,0.022795261964549368,30.04807485876,3.0708580074899996,0.14546537165834544,measurement
8990,"Miscellaneous Production Workers, Including Equipment Operators And Tenders",5.22064082381,0.02110873040477834,27.075797873349998,9.55273791941,0.1247489495825089,measurement
9620,"Laborers And Freight, Stock, And Material Movers, Hand",4.89834194892,0.019805572365483966,52.60752457988001,7.158677631480001,0.07575004219899521,measurement
