window,outcome,label,geo,natl_shift,estimator,n,coef,se,lo,hi,first_stage_F
2005-2008,nat_ssi,"native no-college 25-54 SSI receipt, pp",fixed-2013-PUMS,2271093.0,OLS,348,0.017307727967263393,0.03874389602886068,-0.05862891287006797,0.09324436880459475,13.035403107500487
2005-2008,nat_ssi,"native no-college 25-54 SSI receipt, pp",fixed-2013-PUMS,2271093.0,first-stage,348,-0.35526451737417686,0.0983987543976106,-0.5481225321170959,-0.1624065026312578,13.035403107500487
2005-2008,nat_ssi,"native no-college 25-54 SSI receipt, pp",fixed-2013-PUMS,2271093.0,reduced-form,348,0.17402766593229596,0.08211227496235676,0.013090564317426695,0.3349647675471652,13.035403107500487
2005-2008,nat_ssi,"native no-college 25-54 SSI receipt, pp",fixed-2013-PUMS,2271093.0,IV,348,-0.4898537777388117,0.24831928566591294,-0.9765506343107144,-0.003156921166909077,13.035403107500487
2005-2008,nat_pa,"native no-college 25-54 public assistance receipt, pp",fixed-2013-PUMS,2271093.0,OLS,348,-0.06159051067839783,0.04443096458766769,-0.14867360106860103,0.025492579711805373,13.035403107500487
2005-2008,nat_pa,"native no-college 25-54 public assistance receipt, pp",fixed-2013-PUMS,2271093.0,first-stage,348,-0.35526451737417686,0.0983987543976106,-0.5481225321170959,-0.1624065026312578,13.035403107500487
2005-2008,nat_pa,"native no-college 25-54 public assistance receipt, pp",fixed-2013-PUMS,2271093.0,reduced-form,348,0.004611978721562757,0.0767011429809903,-0.14571949909423537,0.1549434565373609,13.035403107500487
2005-2008,nat_pa,"native no-college 25-54 public assistance receipt, pp",fixed-2013-PUMS,2271093.0,IV,348,-0.012981816353771297,0.21354771046632393,-0.43152763784875336,0.4055640051412107,13.035403107500487
2005-2008,nat_snap,"native no-college 25-54 SNAP receipt, pp",fixed-2013-PUMS,2271093.0,SKIPPED (variable not comparable at t0),0,,,,,
2005-2008,nat_epop,"native no-college 25-54 E/POP, pp",fixed-2013-PUMS,2271093.0,OLS,348,0.3793921671723703,0.12809054007057377,0.12833932187376107,0.6304450124709795,13.035403107500487
2005-2008,nat_epop,"native no-college 25-54 E/POP, pp",fixed-2013-PUMS,2271093.0,first-stage,348,-0.35526451737417686,0.0983987543976106,-0.5481225321170959,-0.1624065026312578,13.035403107500487
2005-2008,nat_epop,"native no-college 25-54 E/POP, pp",fixed-2013-PUMS,2271093.0,reduced-form,348,-0.13155246027735043,0.2074304000261836,-0.5381085736274066,0.2750036530727057,13.035403107500487
2005-2008,nat_epop,"native no-college 25-54 E/POP, pp",fixed-2013-PUMS,2271093.0,IV,348,0.3702943971147983,0.5394591552284451,-0.6870261182633566,1.4276149124929531,13.035403107500487
2005-2008,nat_lfp,"native no-college 25-54 LFP, pp",fixed-2013-PUMS,2271093.0,OLS,348,0.21651561473038305,0.10425651675874711,0.012176596729642136,0.420854632731124,13.035403107500487
2005-2008,nat_lfp,"native no-college 25-54 LFP, pp",fixed-2013-PUMS,2271093.0,first-stage,348,-0.35526451737417686,0.0983987543976106,-0.5481225321170959,-0.1624065026312578,13.035403107500487
2005-2008,nat_lfp,"native no-college 25-54 LFP, pp",fixed-2013-PUMS,2271093.0,reduced-form,348,0.10862802857317899,0.13599250387991973,-0.15791238119888723,0.3751684383452452,13.035403107500487
2005-2008,nat_lfp,"native no-college 25-54 LFP, pp",fixed-2013-PUMS,2271093.0,IV,348,-0.3057666140600501,0.40169550437980733,-1.093075335396124,0.48154210727602376,13.035403107500487
2005-2008,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",fixed-2013-PUMS,2271093.0,OLS,292,-0.013696646623668596,3.301596195486334,-6.484706281271348,6.45731298802401,12.973111620497372
2005-2008,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",fixed-2013-PUMS,2271093.0,first-stage,292,-0.3621068674743017,0.10053439854025502,-0.5591506678205977,-0.1650630671280057,12.973111620497372
2005-2008,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",fixed-2013-PUMS,2271093.0,reduced-form,292,2.6009929743006692,2.999536432942551,-3.277990404582474,8.479976353183812,12.973111620497372
2005-2008,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",fixed-2013-PUMS,2271093.0,IV,292,-7.182942959471109,8.492121159469113,-23.827194584381097,9.461308665438878,12.973111620497372
2005-2008,mx_pre_nc_wage_pp,"log mean wage per person, pre-2000 arrivals below BA",fixed-2013-PUMS,2271093.0,OLS,288,0.85285030036567,2.3516877167511003,-3.756372927351719,5.462073528083059,13.060131894690686
2005-2008,mx_pre_nc_wage_pp,"log mean wage per person, pre-2000 arrivals below BA",fixed-2013-PUMS,2271093.0,first-stage,288,-0.3640543848746903,0.10073780527099352,-0.5614968550874468,-0.16661191466193376,13.060131894690686
2005-2008,mx_pre_nc_wage_pp,"log mean wage per person, pre-2000 arrivals below BA",fixed-2013-PUMS,2271093.0,reduced-form,288,-0.18835184975987562,2.8150750682502514,-5.705797597307003,5.329093897787252,13.060131894690686
2005-2008,mx_pre_nc_wage_pp,"log mean wage per person, pre-2000 arrivals below BA",fixed-2013-PUMS,2271093.0,IV,288,0.5173728365466914,7.692980417055069,-14.56059171465317,15.595337387746552,13.060131894690686
2005-2008,mx_pre_ftfy_wage,"log mean FTFY wage, Mexico-born arrived pre-2000",fixed-2013-PUMS,2271093.0,SKIPPED (variable not comparable at t0),0,,,,,
2005-2008,mx_pre_epop,"E/POP, Mexico-born arrived pre-2000, pp",fixed-2013-PUMS,2271093.0,OLS,299,-0.1468737943449504,0.9515924565355429,-2.0119607371146113,1.7182131484247103,12.939136243702919
2005-2008,mx_pre_epop,"E/POP, Mexico-born arrived pre-2000, pp",fixed-2013-PUMS,2271093.0,first-stage,299,-0.36002708653742466,0.10008812030589698,-0.5561961976172948,-0.1638579754575545,12.939136243702919
2005-2008,mx_pre_epop,"E/POP, Mexico-born arrived pre-2000, pp",fixed-2013-PUMS,2271093.0,reduced-form,299,0.7475087483176569,1.851264807566137,-2.8809036003584456,4.37592109699376,12.939136243702919
2005-2008,mx_pre_epop,"E/POP, Mexico-born arrived pre-2000, pp",fixed-2013-PUMS,2271093.0,IV,299,-2.076256971404163,5.18196391861855,-12.232719621082568,8.080205678274242,12.939136243702919
2005-2008,mx_post_wage_pp,"log mean wage per person, Mexico-born arrived 2000+",fixed-2013-PUMS,2271093.0,OLS,240,3.151211017126515,2.542362462844501,-1.831727845695259,8.13414987994829,13.875674115706254
2005-2008,mx_post_wage_pp,"log mean wage per person, Mexico-born arrived 2000+",fixed-2013-PUMS,2271093.0,first-stage,240,-0.38853601524721415,0.10430478593191486,-0.5929696390889274,-0.18410239140550091,13.875674115706254
2005-2008,mx_post_wage_pp,"log mean wage per person, Mexico-born arrived 2000+",fixed-2013-PUMS,2271093.0,reduced-form,240,5.1899230473718365,4.968918784107554,-4.548978811583526,14.928824906327199,13.875674115706254
2005-2008,mx_post_wage_pp,"log mean wage per person, Mexico-born arrived 2000+",fixed-2013-PUMS,2271093.0,IV,240,-13.357636985260276,13.304349756955535,-39.43368334661734,12.718409376096792,13.875674115706254
2005-2008,mx_post_ftfy_wage,"log mean FTFY wage, Mexico-born arrived 2000+",fixed-2013-PUMS,2271093.0,SKIPPED (variable not comparable at t0),0,,,,,
2008-2024,nat_ssi,"native no-college 25-54 SSI receipt, pp",published-ACS,12273923.0,OLS,340,0.8021852665818844,0.7670513712821623,-0.7012077954232149,2.3055783285869835,1.7190305325175135
2008-2024,nat_ssi,"native no-college 25-54 SSI receipt, pp",published-ACS,12273923.0,first-stage,340,0.08133684928068743,0.06203625179457421,-0.040251969972536314,0.2029256685339112,1.7190305325175135
2008-2024,nat_ssi,"native no-college 25-54 SSI receipt, pp",published-ACS,12273923.0,reduced-form,340,0.26265156824195923,0.32789082699910244,-0.38000264353733515,0.9053057800212536,1.7190305325175135
2008-2024,nat_ssi,"native no-college 25-54 SSI receipt, pp",published-ACS,12273923.0,IV,340,3.2291829664506224,4.680395873348981,-5.944224378703273,12.402590311604518,1.7190305325175135
2008-2024,nat_pa,"native no-college 25-54 public assistance receipt, pp",published-ACS,12273923.0,OLS,340,0.1565334184485196,0.1992946311628341,-0.2340768809428292,0.5471437178398684,1.7190305325175135
2008-2024,nat_pa,"native no-college 25-54 public assistance receipt, pp",published-ACS,12273923.0,first-stage,340,0.08133684928068743,0.06203625179457421,-0.040251969972536314,0.2029256685339112,1.7190305325175135
2008-2024,nat_pa,"native no-college 25-54 public assistance receipt, pp",published-ACS,12273923.0,reduced-form,340,-0.027784308555243924,0.13241184432218114,-0.28730675455324345,0.2317381374427556,1.7190305325175135
2008-2024,nat_pa,"native no-college 25-54 public assistance receipt, pp",published-ACS,12273923.0,IV,340,-0.34159558430106074,1.6287280223955758,-3.533843848807536,2.8506526802054144,1.7190305325175135
2008-2024,nat_snap,"native no-college 25-54 SNAP receipt, pp",published-ACS,12273923.0,OLS,340,-0.1390668992520442,0.2184621643829139,-0.5672448734272244,0.28911107492313604,1.7190305325175135
2008-2024,nat_snap,"native no-college 25-54 SNAP receipt, pp",published-ACS,12273923.0,first-stage,340,0.08133684928068743,0.06203625179457421,-0.040251969972536314,0.2029256685339112,1.7190305325175135
2008-2024,nat_snap,"native no-college 25-54 SNAP receipt, pp",published-ACS,12273923.0,reduced-form,340,0.6930529186722765,0.1450230251327404,0.4088130124830582,0.9772928248614947,1.7190305325175135
2008-2024,nat_snap,"native no-college 25-54 SNAP receipt, pp",published-ACS,12273923.0,IV,340,8.520774099333437,7.732486653609982,-6.634621252678771,23.676169451345643,1.7190305325175135
2008-2024,nat_epop,"native no-college 25-54 E/POP, pp",published-ACS,12273923.0,OLS,340,0.1538168088867843,0.25439855623567165,-0.3447951990541197,0.6524288168276883,1.7190305325175135
2008-2024,nat_epop,"native no-college 25-54 E/POP, pp",published-ACS,12273923.0,first-stage,340,0.08133684928068743,0.06203625179457421,-0.040251969972536314,0.2029256685339112,1.7190305325175135
2008-2024,nat_epop,"native no-college 25-54 E/POP, pp",published-ACS,12273923.0,reduced-form,340,0.18024992940443862,0.2065674573278445,-0.2246148473361511,0.5851147061450284,1.7190305325175135
2008-2024,nat_epop,"native no-college 25-54 E/POP, pp",published-ACS,12273923.0,IV,340,2.2160918574852744,2.788332408447477,-3.2489392399976085,7.681122954968157,1.7190305325175135
2008-2024,nat_lfp,"native no-college 25-54 LFP, pp",published-ACS,12273923.0,OLS,340,0.10864036488188544,0.2467329874348296,-0.37494740428835427,0.5922281340521252,1.7190305325175135
2008-2024,nat_lfp,"native no-college 25-54 LFP, pp",published-ACS,12273923.0,first-stage,340,0.08133684928068743,0.06203625179457421,-0.040251969972536314,0.2029256685339112,1.7190305325175135
2008-2024,nat_lfp,"native no-college 25-54 LFP, pp",published-ACS,12273923.0,reduced-form,340,0.29376634357983644,0.17995965422519045,-0.05894809737181822,0.646480784531491,1.7190305325175135
2008-2024,nat_lfp,"native no-college 25-54 LFP, pp",published-ACS,12273923.0,IV,340,3.611725142758715,3.3771202241239586,-3.0073088679860795,10.23075915350351,1.7190305325175135
2008-2024,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",published-ACS,12273923.0,OLS,272,-0.67334390909537,1.0430422556629313,-2.7176691645481346,1.3709813463573943,0.8115461294438624
2008-2024,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",published-ACS,12273923.0,first-stage,272,0.05883198620018741,0.06530657461765053,-0.0691665480040853,0.18683052040446013,0.8115461294438624
