window,outcome,label,geo,natl_shift,estimator,n,coef,se,lo,hi,first_stage_F
2008-2024,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",published-ACS,12273923.0,reduced-form,272,0.5600846366340466,0.6468734566538259,-0.707764040962384,1.8279333142304772,0.8115461294438624
2008-2024,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",published-ACS,12273923.0,IV,272,9.520070166053301,15.834387990716957,-21.514760012985487,40.55490034509209,0.8115461294438624
2008-2024,mx_pre_nc_wage_pp,"log mean wage per person, pre-2000 arrivals below BA",published-ACS,12273923.0,OLS,265,-2.4844225420789137,1.2562389514845373,-4.9466056429649665,-0.022239441192860365,0.8096906205239985
2008-2024,mx_pre_nc_wage_pp,"log mean wage per person, pre-2000 arrivals below BA",published-ACS,12273923.0,first-stage,265,0.05920211060167238,0.06579268884853169,-0.06974918998749977,0.18815341119084453,0.8096906205239985
2008-2024,mx_pre_nc_wage_pp,"log mean wage per person, pre-2000 arrivals below BA",published-ACS,12273923.0,reduced-form,265,0.4474633230607455,0.8861680219524667,-1.2893940842171894,2.1843207303386802,0.8096906205239985
2008-2024,mx_pre_nc_wage_pp,"log mean wage per person, pre-2000 arrivals below BA",published-ACS,12273923.0,IV,265,7.558232612202119,20.765946842850212,-33.14227530465754,48.258740529061775,0.8096906205239985
2008-2024,mx_pre_ftfy_wage,"log mean FTFY wage, Mexico-born arrived pre-2000",published-ACS,12273923.0,OLS,259,0.4574601772495427,1.1073852073749786,-1.7129749462178343,2.62789530071692,0.6879195056564936
2008-2024,mx_pre_ftfy_wage,"log mean FTFY wage, Mexico-born arrived pre-2000",published-ACS,12273923.0,first-stage,259,0.054897004169329126,0.06618808758499684,-0.07482926370284734,0.1846232720415056,0.6879195056564936
2008-2024,mx_pre_ftfy_wage,"log mean FTFY wage, Mexico-born arrived pre-2000",published-ACS,12273923.0,reduced-form,259,-0.08280984800900484,0.483177366661397,-1.0298200848102472,0.8642003887922375,0.6879195056564936
2008-2024,mx_pre_ftfy_wage,"log mean FTFY wage, Mexico-born arrived pre-2000",published-ACS,12273923.0,IV,259,-1.5084584170308517,8.933215513206529,-19.017239089050143,16.00032225498844,0.6879195056564936
2008-2024,mx_pre_epop,"E/POP, Mexico-born arrived pre-2000, pp",published-ACS,12273923.0,OLS,282,-1.3750845716566116,0.5641592226576772,-2.480816329611772,-0.26935281370145114,0.9240837826270244
2008-2024,mx_pre_epop,"E/POP, Mexico-born arrived pre-2000, pp",published-ACS,12273923.0,first-stage,282,0.06219661681313303,0.06470101408296446,-0.06461504055269614,0.1890082741789622,0.9240837826270244
2008-2024,mx_pre_epop,"E/POP, Mexico-born arrived pre-2000, pp",published-ACS,12273923.0,reduced-form,282,0.21294368356366586,0.26534298029194,-0.3071190013590578,0.7330063684863896,0.9240837826270244
2008-2024,mx_pre_epop,"E/POP, Mexico-born arrived pre-2000, pp",published-ACS,12273923.0,IV,282,3.423718113212715,5.986665456497856,-8.309930569013124,15.157366795438554,0.9240837826270244
2008-2024,mx_post_wage_pp,"log mean wage per person, Mexico-born arrived 2000+",published-ACS,12273923.0,OLS,262,-0.10609048992109027,1.6618542119901463,-3.363264892977969,3.151083913135788,0.7985252919895872
2008-2024,mx_post_wage_pp,"log mean wage per person, Mexico-born arrived 2000+",published-ACS,12273923.0,first-stage,262,0.058593901766095156,0.06557043736603896,-0.06992179392188061,0.18710959745407094,0.7985252919895872
2008-2024,mx_post_wage_pp,"log mean wage per person, Mexico-born arrived 2000+",published-ACS,12273923.0,reduced-form,262,0.2670989649629326,1.1107186026391274,-1.9098694931684124,2.4440674230942774,0.7985252919895872
2008-2024,mx_post_wage_pp,"log mean wage per person, Mexico-born arrived 2000+",published-ACS,12273923.0,IV,262,4.558477194933403,17.588162018768706,-29.913686916108553,39.03064130597536,0.7985252919895872
2008-2024,mx_post_ftfy_wage,"log mean FTFY wage, Mexico-born arrived 2000+",published-ACS,12273923.0,OLS,245,1.4883885929118241,1.4357624272976157,-1.3256540549473104,4.302431240770959,0.8082389281657019
2008-2024,mx_post_ftfy_wage,"log mean FTFY wage, Mexico-born arrived 2000+",published-ACS,12273923.0,first-stage,245,0.05948873196773783,0.06617056300311346,-0.07020318835510311,0.18918065229057876,0.8082389281657019
2008-2024,mx_post_ftfy_wage,"log mean FTFY wage, Mexico-born arrived 2000+",published-ACS,12273923.0,reduced-form,245,0.3890374662297196,0.5754257233750159,-0.7387762273632195,1.5168511598226586,0.8082389281657019
2008-2024,mx_post_ftfy_wage,"log mean FTFY wage, Mexico-born arrived 2000+",published-ACS,12273923.0,IV,245,6.539683287260232,10.391154293127068,-13.826604885067585,26.90597145958805,0.8082389281657019
2005-2024,nat_ssi,"native no-college 25-54 SSI receipt, pp",published-ACS,14545016.0,OLS,339,0.8848189659871621,0.8038121393002913,-0.6906238773775017,2.460261809351826,0.9550163694216421
2005-2024,nat_ssi,"native no-college 25-54 SSI receipt, pp",published-ACS,14545016.0,first-stage,339,0.05345515663041104,0.054699606058330956,-0.05375410121244658,0.16066441447326865,0.9550163694216421
2005-2024,nat_ssi,"native no-college 25-54 SSI receipt, pp",published-ACS,14545016.0,reduced-form,339,0.24497446387089866,0.27636799811677915,-0.296696858917422,0.7866457866592194,0.9550163694216421
2005-2024,nat_ssi,"native no-college 25-54 SSI receipt, pp",published-ACS,14545016.0,IV,339,4.582803218867156,6.885537952933145,-8.912603183065459,18.07820962079977,0.9550163694216421
2005-2024,nat_pa,"native no-college 25-54 public assistance receipt, pp",published-ACS,14545016.0,OLS,339,0.15267378835552195,0.14686798028938844,-0.13518216349381793,0.4405297402048618,0.9550163694216421
2005-2024,nat_pa,"native no-college 25-54 public assistance receipt, pp",published-ACS,14545016.0,first-stage,339,0.05345515663041104,0.054699606058330956,-0.05375410121244658,0.16066441447326865,0.9550163694216421
2005-2024,nat_pa,"native no-college 25-54 public assistance receipt, pp",published-ACS,14545016.0,reduced-form,339,-0.015267588962112565,0.1011865895812103,-0.2135896602597206,0.18305448233549548,0.9550163694216421
2005-2024,nat_pa,"native no-college 25-54 public assistance receipt, pp",published-ACS,14545016.0,IV,339,-0.2856148952602098,1.8843313383617597,-3.978836453389417,3.4076066628689974,0.9550163694216421
2005-2024,nat_snap,"native no-college 25-54 SNAP receipt, pp",published-ACS,14545016.0,SKIPPED (variable not comparable at t0),0,,,,,
2005-2024,nat_epop,"native no-college 25-54 E/POP, pp",published-ACS,14545016.0,OLS,339,0.1557346726467994,0.2256022115461166,-0.28643753681617545,0.5979068821097743,0.9550163694216421
2005-2024,nat_epop,"native no-college 25-54 E/POP, pp",published-ACS,14545016.0,first-stage,339,0.05345515663041104,0.054699606058330956,-0.05375410121244658,0.16066441447326865,0.9550163694216421
2005-2024,nat_epop,"native no-college 25-54 E/POP, pp",published-ACS,14545016.0,reduced-form,339,0.11989231492172603,0.1583876360078652,-0.19054174725012918,0.43032637709358124,0.9550163694216421
2005-2024,nat_epop,"native no-college 25-54 E/POP, pp",published-ACS,14545016.0,IV,339,2.242857798559271,3.475800037366911,-4.569585092142848,9.05530068926139,0.9550163694216421
2005-2024,nat_lfp,"native no-college 25-54 LFP, pp",published-ACS,14545016.0,OLS,339,0.11659382430608069,0.21048574292443104,-0.29595065108496066,0.529138299697122,0.9550163694216421
2005-2024,nat_lfp,"native no-college 25-54 LFP, pp",published-ACS,14545016.0,first-stage,339,0.05345515663041104,0.054699606058330956,-0.05375410121244658,0.16066441447326865,0.9550163694216421
2005-2024,nat_lfp,"native no-college 25-54 LFP, pp",published-ACS,14545016.0,reduced-form,339,0.25358659770478287,0.14567411149720538,-0.03192941430961188,0.5391026097191776,0.9550163694216421
2005-2024,nat_lfp,"native no-college 25-54 LFP, pp",published-ACS,14545016.0,IV,339,4.743912724044163,5.507473645249735,-6.050537266448842,15.538362714537168,0.9550163694216421
2005-2024,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",published-ACS,14545016.0,OLS,270,0.15339522453845367,1.212410806415408,-2.222886290502909,2.5296767395798168,0.39078469536022986
2005-2024,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",published-ACS,14545016.0,first-stage,270,0.03604214389601934,0.05765564604378112,-0.07696084585518091,0.1490451336472196,0.39078469536022986
2005-2024,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",published-ACS,14545016.0,reduced-form,270,0.7238018803617089,0.5142044859118043,-0.2840203927143613,1.731624153437779,0.39078469536022986
2005-2024,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",published-ACS,14545016.0,IV,270,20.082098402632255,38.133224973235976,-54.65764915927362,94.82184596453813,0.39078469536022986
2005-2024,mx_pre_nc_wage_pp,"log mean wage per person, pre-2000 arrivals below BA",published-ACS,14545016.0,OLS,263,-1.880101297441924,1.2168385662043766,-4.26506106220186,0.5048584673180121,0.40838508664075607
2005-2024,mx_pre_nc_wage_pp,"log mean wage per person, pre-2000 arrivals below BA",published-ACS,14545016.0,first-stage,263,0.03711296671836506,0.05807520280298784,-0.07671233917035071,0.15093827260708081,0.40838508664075607
2005-2024,mx_pre_nc_wage_pp,"log mean wage per person, pre-2000 arrivals below BA",published-ACS,14545016.0,reduced-form,263,0.0897267347583452,0.7736863805051782,-1.4266707063609563,1.6061241758776468,0.40838508664075607
2005-2024,mx_pre_nc_wage_pp,"log mean wage per person, pre-2000 arrivals below BA",published-ACS,14545016.0,IV,263,2.4176653793056175,23.02094493580804,-42.70255758495789,47.53788834356912,0.40838508664075607
2005-2024,mx_pre_ftfy_wage,"log mean FTFY wage, Mexico-born arrived pre-2000",published-ACS,14545016.0,SKIPPED (variable not comparable at t0),0,,,,,
2005-2024,mx_pre_epop,"E/POP, Mexico-born arrived pre-2000, pp",published-ACS,14545016.0,OLS,279,-1.7508101370304092,0.5664588698301352,-2.861049120620737,-0.6405711534400818,0.4378011689945927
2005-2024,mx_pre_epop,"E/POP, Mexico-born arrived pre-2000, pp",published-ACS,14545016.0,first-stage,279,0.037858286727395496,0.05721665937438052,-0.07428430496208639,0.15000087841687737,0.4378011689945927
2005-2024,mx_pre_epop,"E/POP, Mexico-born arrived pre-2000, pp",published-ACS,14545016.0,reduced-form,279,0.28205295055037116,0.26879963642761323,-0.24478465590521148,0.8088905570059538,0.4378011689945927
2005-2024,mx_pre_epop,"E/POP, Mexico-born arrived pre-2000, pp",published-ACS,14545016.0,IV,279,7.450230185569126,15.264640082050642,-22.467914612216667,37.36837498335492,0.4378011689945927
2005-2024,mx_post_wage_pp,"log mean wage per person, Mexico-born arrived 2000+",published-ACS,14545016.0,OLS,246,-2.059605056693888,1.4561481824580595,-4.913603050465144,0.7943929370773679,0.2984127528247945
2005-2024,mx_post_wage_pp,"log mean wage per person, Mexico-born arrived 2000+",published-ACS,14545016.0,first-stage,246,0.031896023856420846,0.05838857254753782,-0.0825434754454574,0.1463355231582991,0.2984127528247945
2005-2024,mx_post_wage_pp,"log mean wage per person, Mexico-born arrived 2000+",published-ACS,14545016.0,reduced-form,246,1.0123363849819171,0.7400268822922342,-0.43808965190232385,2.462762421866158,0.2984127528247945
2005-2024,mx_post_wage_pp,"log mean wage per person, Mexico-born arrived 2000+",published-ACS,14545016.0,IV,246,31.738638945684215,67.09168040245841,-99.75863830540601,163.23591619677444,0.2984127528247945
2005-2024,mx_post_ftfy_wage,"log mean FTFY wage, Mexico-born arrived 2000+",published-ACS,14545016.0,SKIPPED (variable not comparable at t0),0,,,,,
2021-2024,nat_ssi,"native no-college 25-54 SSI receipt, pp",published-ACS,4964755.0,OLS,324,0.7359825226962037,0.7764349721223904,-0.7858020590010425,2.2577671043934497,0.02071616013828318
2021-2024,nat_ssi,"native no-college 25-54 SSI receipt, pp",published-ACS,4964755.0,first-stage,324,-0.0063507901521252155,0.04412382291309532,-0.09283189392201525,0.08013031361776483,0.02071616013828318
2021-2024,nat_ssi,"native no-college 25-54 SSI receipt, pp",published-ACS,4964755.0,reduced-form,324,0.26637502643549177,0.3638531933700885,-0.4467641282297696,0.9795141811007531,0.02071616013828318
2021-2024,nat_ssi,"native no-college 25-54 SSI receipt, pp",published-ACS,4964755.0,IV,324,-41.9436038750282,311.0193258753302,-651.5302810866019,567.6430733365455,0.02071616013828318
2021-2024,nat_pa,"native no-college 25-54 public assistance receipt, pp",published-ACS,4964755.0,OLS,324,0.08222931302059139,0.27097079469221264,-0.4488636854383426,0.6133223114795254,0.02071616013828318
2021-2024,nat_pa,"native no-college 25-54 public assistance receipt, pp",published-ACS,4964755.0,first-stage,324,-0.0063507901521252155,0.04412382291309532,-0.09283189392201525,0.08013031361776483,0.02071616013828318
2021-2024,nat_pa,"native no-college 25-54 public assistance receipt, pp",published-ACS,4964755.0,reduced-form,324,-0.24701336459407083,0.24539230674725257,-0.7279734479018912,0.23394671871374953,0.02071616013828318
2021-2024,nat_pa,"native no-college 25-54 public assistance receipt, pp",published-ACS,4964755.0,IV,324,38.89490263037408,273.8632875945154,-497.867277742611,575.6570830033592,0.02071616013828318
2021-2024,nat_snap,"native no-college 25-54 SNAP receipt, pp",published-ACS,4964755.0,OLS,324,-0.7424901861728819,0.28727563567353853,-1.3055400857288673,-0.17944028661689637,0.02071616013828318
2021-2024,nat_snap,"native no-college 25-54 SNAP receipt, pp",published-ACS,4964755.0,first-stage,324,-0.0063507901521252155,0.04412382291309532,-0.09283189392201525,0.08013031361776483,0.02071616013828318
2021-2024,nat_snap,"native no-college 25-54 SNAP receipt, pp",published-ACS,4964755.0,reduced-form,324,0.7962414769092103,0.33809295216328233,0.1335914672423536,1.458891486576067,0.02071616013828318
2021-2024,nat_snap,"native no-college 25-54 SNAP receipt, pp",published-ACS,4964755.0,IV,324,-125.37675751084316,843.4362473906579,-1778.4814256521477,1527.7279106304613,0.02071616013828318
2021-2024,nat_epop,"native no-college 25-54 E/POP, pp",published-ACS,4964755.0,OLS,324,0.12346729347086327,0.3588560345388941,-0.5798776098602308,0.8268121968019574,0.02071616013828318
2021-2024,nat_epop,"native no-college 25-54 E/POP, pp",published-ACS,4964755.0,first-stage,324,-0.0063507901521252155,0.04412382291309532,-0.09283189392201525,0.08013031361776483,0.02071616013828318
2021-2024,nat_epop,"native no-college 25-54 E/POP, pp",published-ACS,4964755.0,reduced-form,324,0.6880027723611075,0.32157634312422306,0.05772472155753572,1.3182808231646792,0.02071616013828318
2021-2024,nat_epop,"native no-college 25-54 E/POP, pp",published-ACS,4964755.0,IV,324,-108.33341298916639,758.8408332410514,-1595.6341161399923,1378.9672901616595,0.02071616013828318
2021-2024,nat_lfp,"native no-college 25-54 LFP, pp",published-ACS,4964755.0,OLS,324,0.17018253527630633,0.3660697586153963,-0.5473010074391416,0.8876660779917542,0.02071616013828318
2021-2024,nat_lfp,"native no-college 25-54 LFP, pp",published-ACS,4964755.0,first-stage,324,-0.0063507901521252155,0.04412382291309532,-0.09283189392201525,0.08013031361776483,0.02071616013828318
2021-2024,nat_lfp,"native no-college 25-54 LFP, pp",published-ACS,4964755.0,reduced-form,324,0.3396729527916796,0.31722115872513884,-0.28206909344365644,0.9614149990270155,0.02071616013828318
2021-2024,nat_lfp,"native no-college 25-54 LFP, pp",published-ACS,4964755.0,IV,324,-53.48514824983067,373.95876721217127,-786.4308636886844,679.4605671890231,0.02071616013828318
2021-2024,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",published-ACS,4964755.0,OLS,270,-1.1352858111276443,3.4252466013614002,-7.848645787964212,5.578074165708923,0.3684213574923129
2021-2024,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",published-ACS,4964755.0,first-stage,270,-0.026476334253333983,0.04361997938897813,-0.11196992286211059,0.059017254355442625,0.3684213574923129
2021-2024,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",published-ACS,4964755.0,reduced-form,270,1.1420132254299704,1.3058410714739754,-1.4173882441922159,3.701414695052157,0.3684213574923129
2021-2024,mx_pre_wage_pp,"log mean wage per person, Mexico-born arrived pre-2000",published-ACS,4964755.0,IV,270,-43.133358814062376,95.39846969544193,-230.11092359736435,143.8442059692396,0.3684213574923129
