cbsa,fb_pre90,mex_pre90,fb_base_share,mex_base_share,base_vintage
10180,3431.0,1792.0,0.00019135940078572806,0.0003785473498939349,pre-1990-entry-cohort-observed-2000
10420,12760.0,197.0,0.0007116718023975197,4.161485933543816e-05,pre-1990-entry-cohort-observed-2000
10500,1166.0,159.0,6.503207849494577e-05,3.3587627585455164e-05,pre-1990-entry-cohort-observed-2000
10540,2158.0,521.0,0.00012035954150265262,0.00011005757215108264,pre-1990-entry-cohort-observed-2000
10580,25519.0,143.0,0.001423287831142814,3.0207740532830743e-05,pre-1990-entry-cohort-observed-2000
10740,33005.0,18201.0,0.0018408093917029887,0.0038448327653010654,pre-1990-entry-cohort-observed-2000
10780,1156.0,101.0,6.447434197269065e-05,2.1335537019691643e-05,pre-1990-entry-cohort-observed-2000
10900,23923.0,423.0,0.0013342730821908984,8.935576395375807e-05,pre-1990-entry-cohort-observed-2000
11020,953.0,0.0,5.315229057091193e-05,0.0,pre-1990-entry-cohort-observed-2000
11100,8044.0,5072.0,0.00044864325850201003,0.0010714241956819408,pre-1990-entry-cohort-observed-2000
11180,1388.0,54.0,7.74138292890092e-05,1.1407118802607413e-05,pre-1990-entry-cohort-observed-2000
11260,13997.0,1024.0,0.0007806638102004767,0.0002163127713679628,pre-1990-entry-cohort-observed-2000
11460,14250.0,353.0,0.000794774544213531,7.456875809852624e-05,pre-1990-entry-cohort-observed-2000
11500,1135.0,173.0,6.330309527595492e-05,3.654502875650153e-05,pre-1990-entry-cohort-observed-2000
11540,2981.0,334.0,0.00016626125728424812,7.055514222353474e-05,pre-1990-entry-cohort-observed-2000
11700,6645.0,1422.0,0.00037061591903852023,0.00030038746180199524,pre-1990-entry-cohort-observed-2000
12020,3358.0,573.0,0.00018728792417326576,0.000121042205072112,pre-1990-entry-cohort-observed-2000
12060,167492.0,25071.0,0.00934164055855528,0.005296071768521675,pre-1990-entry-cohort-observed-2000
12100,14264.0,965.0,0.0007955553753446881,0.00020384943786141028,pre-1990-entry-cohort-observed-2000
12220,1506.0,50.0,8.399512025161949e-05,1.0562147039451309e-05,pre-1990-entry-cohort-observed-2000
12260,10116.0,519.0,0.0005642062659132688,0.00010963508626950459,pre-1990-entry-cohort-observed-2000
12420,67737.0,33133.0,0.003777939880799435,0.006999112357162805,pre-1990-entry-cohort-observed-2000
