cbsa,cbsa_title,year,2554_nc_pop,2554_nc_emp,2554_nc_lf,2554_nc_ssi,2554_nc_pa,2554_nc_snap,mx_pre2000_n,mx_pre2000_emp,mx_pre2000_wagesum,mx_pre2000_ftfy_n,mx_pre2000_ftfy_wagesum,mx_pre2000_nc_n,mx_pre2000_nc_wagesum,mx_post2000_n,mx_post2000_emp,mx_post2000_wagesum,mx_post2000_ftfy_n,mx_post2000_ftfy_wagesum,mx_post2000_nc_n,mx_post2000_nc_wagesum,nat_epop,nat_lfp,nat_ssi,nat_pa,nat_snap,mx_pre_ftfy_wage,mx_pre_wage_pp,mx_pre_nc_wage_pp,mx_pre_n,mx_pre_epop,mx_post_ftfy_wage,mx_post_wage_pp,mx_post_nc_wage_pp,mx_post_n,mx_post_epop,nat_pop
35840,"North Port-Sarasota-Bradenton, FL",2024,126013.0,100069.0,103925.0,2359.0,1885.0,14684.0,4475.0,2973.0,102016600.0,2288.0,88963600.0,4475.0,102016600.0,7378.0,6372.0,201784600.0,4998.0,172107000.0,6922.0,192759600.0,79.41164800457096,82.47164975042257,1.8720290763651368,1.4958774094736258,11.65276598446192,38882.692307692305,22797.00558659218,22797.00558659218,4475.0,66.43575418994413,34435.17406962785,27349.49850908105,27847.385148800924,7378.0,86.36486852805638,126013.0
35980,"Norwich-New London, CT",2005,66996.0,55060.0,57538.0,1094.0,774.0,0.0,294.0,294.0,4410000.0,0.0,0.0,294.0,4410000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.1840109857305,85.882739268016,1.6329333094513105,1.155292853304675,0.0,,15000.0,15000.0,294.0,100.0,,,,0.0,,66996.0
35980,"Norwich-New London, CT",2008,65814.0,54956.0,57468.0,1345.0,1251.0,4368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.50199045795728,87.3188075485459,2.0436381317045007,1.9008113775184612,6.636885768985322,,,,0.0,,,,,0.0,,65814.0
35980,"Norwich-New London, CT",2021,55435.0,41932.0,45167.0,1147.0,1904.0,9805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.64174258140164,81.47740597095698,2.0690899251375483,3.4346531974384416,17.687381618111303,,,,0.0,,,,,0.0,,55435.0
36100,"Ocala, FL",2005,82751.0,64029.0,67377.0,1319.0,505.0,0.0,1068.0,464.0,13014400.0,0.0,0.0,1068.0,13014400.0,1292.0,1200.0,28800000.0,0.0,0.0,1200.0,28800000.0,77.37549999395777,81.42137255138911,1.5939384418315186,0.6102645285253351,0.0,,12185.767790262173,12185.767790262173,1068.0,43.445692883895134,,22291.021671826624,24000.0,1292.0,92.87925696594428,82751.0
36100,"Ocala, FL",2008,89874.0,64152.0,71688.0,2209.0,1638.0,14793.0,596.0,435.0,17812800.0,435.0,17812800.0,596.0,17812800.0,640.0,422.0,14926000.0,422.0,14926000.0,422.0,14926000.0,71.37993190466653,79.7650043394085,2.4578854841222157,1.8225515722010814,16.45971026103211,40948.96551724138,29887.24832214765,29887.24832214765,596.0,72.98657718120805,35369.6682464455,23321.875,35369.6682464455,640.0,65.9375,89874.0
36100,"Ocala, FL",2021,79441.0,57599.0,62229.0,3594.0,1250.0,23581.0,780.0,475.0,9639400.0,475.0,9639400.0,780.0,9639400.0,624.0,624.0,10184100.0,211.0,8440000.0,624.0,10184100.0,72.50538135219848,78.33360607243111,4.524112234236729,1.5734947948792186,29.683664606437482,20293.473684210527,12358.205128205129,12358.205128205129,780.0,60.8974358974359,40000.0,16320.673076923076,16320.673076923076,624.0,100.0,79441.0
36100,"Ocala, FL",2024,88993.0,66183.0,69964.0,4234.0,1313.0,20047.0,1518.0,1193.0,39993600.0,1193.0,39993600.0,1518.0,39993600.0,2080.0,2080.0,88434000.0,1883.0,84100000.0,1870.0,69534000.0,74.36877057746115,78.61741934758913,4.757677570145966,1.4753969413324644,22.526490847594754,33523.554065381395,26346.245059288536,26346.245059288536,1518.0,78.59025032938077,44662.77217206585,42516.346153846156,37183.95721925134,2080.0,100.0,88993.0
36140,"Ocean City, NJ",2005,26929.0,20597.0,21446.0,806.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.48631586765197,79.6390508373872,2.99305581343533,1.8270266255709458,0.0,,,,0.0,,,,,0.0,,26929.0
36140,"Ocean City, NJ",2008,28371.0,23052.0,24747.0,390.0,314.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25198265834831,87.22639314793275,1.3746431214973036,1.1067639491029573,2.425011455359346,,,,0.0,,,,,0.0,,28371.0
36140,"Ocean City, NJ",2021,15951.5722,11993.8325,13427.6918,1086.4207000000001,684.9761,3255.6617,703.8782,703.8782,22019146.3,418.5465,16312512.3,314.1349,8481642.3,0.9001,0.9001,19802.2,0.9001,19802.2,0.9001,19802.2,75.18903058345559,84.17785802956777,6.810743708385059,4.2940977316329985,20.409660309220175,38974.1935483871,31282.608695652176,27000.0,703.8782,99.99999999999999,22000.0,22000.0,22000.0,0.9001,100.0,15951.5722
36140,"Ocean City, NJ",2024,17419.033,13162.709,14652.963,445.995,455.005,2885.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.132,299.132,6061027.0,0.0,0.0,299.132,6061027.0,75.56509594993018,84.12041586923912,2.560388972223659,2.6121140019655513,16.562354523353854,,,,0.0,,,20262.048192771083,20262.048192771083,299.132,100.0,17419.033
36220,"Odessa, TX",2005,34198.0,23763.0,24628.0,660.0,587.0,0.0,7063.0,4937.0,142169300.0,0.0,0.0,6644.0,124592500.0,217.0,0.0,0.0,0.0,0.0,217.0,0.0,69.48651967951342,72.01590736300369,1.9299374232411253,1.7164746476402128,0.0,,20128.74132804757,18752.633955448524,7063.0,69.89947614328189,,0.0,0.0,217.0,0.0,34198.0
