scenario,group,wage_bill_2024_usd,elasticity,wage_change_usd,tax_rate_label,tax_rate,fiscal_change_usd,note
OP: 1990-2004-scale inflow,mexico_born,351955194164.27,-0.198,-69687128444.52547,Mexico-born average rate,0.1694398972472504,-11807779883.096334,"OP elasticity: foreign-born average, long run"
OP: 1990-2004-scale inflow,mexico_born,351955194164.27,-0.198,-69687128444.52547,employee + employer payroll,0.2459398972472504,-17138845209.102535,"OP elasticity: foreign-born average, long run"
OP: 1990-2004-scale inflow,mexico_born,351955194164.27,-0.198,-69687128444.52547,high case 0.35,0.35,-24390494955.58391,"OP elasticity: foreign-born average, long run"
OP: 1990-2004-scale inflow,mexico_born,351955194164.27,-0.209,-73558635580.33243,Mexico-born average rate,0.1694398972472504,-12463767654.379463,"OP elasticity: foreign-born average, as of 2004"
OP: 1990-2004-scale inflow,mexico_born,351955194164.27,-0.209,-73558635580.33243,employee + employer payroll,0.2459398972472504,-18091003276.274895,"OP elasticity: foreign-born average, as of 2004"
OP: 1990-2004-scale inflow,mexico_born,351955194164.27,-0.209,-73558635580.33243,high case 0.35,0.35,-25745522453.11635,"OP elasticity: foreign-born average, as of 2004"
OP: 1990-2004-scale inflow,mexico_born,351955194164.27,-0.163,-57368696648.77602,Mexico-born average rate,0.1694398972472504,-9720546065.377287,"OP elasticity: foreign-born HS dropouts, long run"
OP: 1990-2004-scale inflow,mexico_born,351955194164.27,-0.163,-57368696648.77602,employee + employer payroll,0.2459398972472504,-14109251359.008652,"OP elasticity: foreign-born HS dropouts, long run"
OP: 1990-2004-scale inflow,mexico_born,351955194164.27,-0.163,-57368696648.77602,high case 0.35,0.35,-20079043827.071606,"OP elasticity: foreign-born HS dropouts, long run"
OP: 1990-2004-scale inflow,mexico_born,351955194164.27,-0.067,-23580998009.006092,Mexico-born average rate,0.1694398972472504,-3995561879.6336083,OP elasticity: BRIEF'S FIGURE [UNVERIFIED]
OP: 1990-2004-scale inflow,mexico_born,351955194164.27,-0.067,-23580998009.006092,employee + employer payroll,0.2459398972472504,-5799508227.322575,OP elasticity: BRIEF'S FIGURE [UNVERIFIED]
OP: 1990-2004-scale inflow,mexico_born,351955194164.27,-0.067,-23580998009.006092,high case 0.35,0.35,-8253349303.152132,OP elasticity: BRIEF'S FIGURE [UNVERIFIED]
OP: 1990-2004-scale inflow,mexican_second_gen,325525122573.38,0.018,5859452206.32084,second-gen average rate,0.2013086740579537,1179558554.3603995,"OP NATIVE elasticity (second gen is US-born): US-born average, long run"
OP: 1990-2004-scale inflow,mexican_second_gen,325525122573.38,0.018,5859452206.32084,employee + employer payroll,0.2778086740579537,1627806648.1439438,"OP NATIVE elasticity (second gen is US-born): US-born average, long run"
OP: 1990-2004-scale inflow,mexican_second_gen,325525122573.38,0.018,5859452206.32084,high case 0.35,0.35,2050808272.2122939,"OP NATIVE elasticity (second gen is US-born): US-born average, long run"
OP: 1990-2004-scale inflow,mexican_second_gen,325525122573.38,-0.011,-3580776348.30718,second-gen average rate,0.2013086740579537,-720841338.7757998,"OP NATIVE elasticity (second gen is US-born): US-born HS dropouts, long run"
OP: 1990-2004-scale inflow,mexican_second_gen,325525122573.38,-0.011,-3580776348.30718,employee + employer payroll,0.2778086740579537,-994770729.421299,"OP NATIVE elasticity (second gen is US-born): US-born HS dropouts, long run"
OP: 1990-2004-scale inflow,mexican_second_gen,325525122573.38,-0.011,-3580776348.30718,high case 0.35,0.35,-1253271721.907513,"OP NATIVE elasticity (second gen is US-born): US-born HS dropouts, long run"
Borjas: actual 2021-2024 inflow,mexico_born,351955194164.27,-0.00886035990481856,-3118449690.6657295,mexico_born average rate,0.1694398972472504,-528389795.157121,Borjas 30% per 10% supply; shock = 2.95% of the 2024 labour force (4.96M / 168.1M)
Borjas: actual 2021-2024 inflow,mexico_born,351955194164.27,-0.00886035990481856,-3118449690.6657295,employee + employer payroll,0.2459398972472504,-766951196.4930494,Borjas 30% per 10% supply; shock = 2.95% of the 2024 labour force (4.96M / 168.1M)
Borjas: actual 2021-2024 inflow,mexico_born,351955194164.27,-0.00886035990481856,-3118449690.6657295,high case 0.35,0.35,-1091457391.7330053,Borjas 30% per 10% supply; shock = 2.95% of the 2024 labour force (4.96M / 168.1M)
Borjas: actual 2021-2024 inflow,mexican_second_gen,325525122573.38,-0.00886035990481856,-2884269744.060323,mexican_second_gen average rate,0.2013086740579537,-580628517.8022572,Borjas 30% per 10% supply; shock = 2.95% of the 2024 labour force (4.96M / 168.1M)
Borjas: actual 2021-2024 inflow,mexican_second_gen,325525122573.38,-0.00886035990481856,-2884269744.060323,employee + employer payroll,0.2778086740579537,-801275153.2228718,Borjas 30% per 10% supply; shock = 2.95% of the 2024 labour force (4.96M / 168.1M)
Borjas: actual 2021-2024 inflow,mexican_second_gen,325525122573.38,-0.00886035990481856,-2884269744.060323,high case 0.35,0.35,-1009494410.421113,Borjas 30% per 10% supply; shock = 2.95% of the 2024 labour force (4.96M / 168.1M)
Borjas: actual 2021-2024 inflow,mexico_born,351955194164.27,-0.011813813206424748,-4157932920.8876395,mexico_born average rate,0.1694398972472504,-704519726.8761613,Borjas 40% per 10% supply; shock = 2.95% of the 2024 labour force (4.96M / 168.1M)
Borjas: actual 2021-2024 inflow,mexico_born,351955194164.27,-0.011813813206424748,-4157932920.8876395,employee + employer payroll,0.2459398972472504,-1022601595.3240658,Borjas 40% per 10% supply; shock = 2.95% of the 2024 labour force (4.96M / 168.1M)
Borjas: actual 2021-2024 inflow,mexico_born,351955194164.27,-0.011813813206424748,-4157932920.8876395,high case 0.35,0.35,-1455276522.3106737,Borjas 40% per 10% supply; shock = 2.95% of the 2024 labour force (4.96M / 168.1M)
Borjas: actual 2021-2024 inflow,mexican_second_gen,325525122573.38,-0.011813813206424748,-3845692992.0804315,mexican_second_gen average rate,0.2013086740579537,-774171357.0696763,Borjas 40% per 10% supply; shock = 2.95% of the 2024 labour force (4.96M / 168.1M)
Borjas: actual 2021-2024 inflow,mexican_second_gen,325525122573.38,-0.011813813206424748,-3845692992.0804315,employee + employer payroll,0.2778086740579537,-1068366870.9638292,Borjas 40% per 10% supply; shock = 2.95% of the 2024 labour force (4.96M / 168.1M)
Borjas: actual 2021-2024 inflow,mexican_second_gen,325525122573.38,-0.011813813206424748,-3845692992.0804315,high case 0.35,0.35,-1345992547.2281508,Borjas 40% per 10% supply; shock = 2.95% of the 2024 labour force (4.96M / 168.1M)
