year,pop,institutional,n,bpl_allocated,arrival_year_allocated
1980,fb_other,False,95351,0.004656,0.04252
1980,fb_other,True,357,0,0.1709
1980,mex,False,31604,0.007721,0.05724
1980,mex,True,175,0,0.1543
1980,us,False,1874490,0.04387,0
1980,us,True,25622,0.2184,0
1990,fb_other,False,136917,0.01683,0.0529
1990,fb_other,True,1134,0,0.151
1990,mex,False,71247,0.02213,0.06517
1990,mex,True,606,0,0.09345
1990,us,False,1955111,0.05424,0
1990,us,True,29169,0.2821,0
2000,fb_other,False,202479,0.07035,0.1252
2000,fb_other,True,1725,0.09029,0.3408
2000,mex,False,147324,0.07856,0.1621
2000,mex,True,1151,0.07476,0.411
2000,us,False,1818515,0.1006,0
2000,us,True,58131,0.5572,0
