period,ysm,adult_arrival_ages,educ,n,n_inst,rate,rate_se,ratio_age_us_all,ratio_age_us_all_se,ratio_age_educ_us_all,ratio_age_educ_us_all_se,ratio_age_us_nhw,ratio_age_us_nhw_se,ratio_age_educ_us_nhw,ratio_age_educ_us_nhw_se,ratio_age_us_mexorig,ratio_age_us_mexorig_se,ratio_age_educ_us_mexorig,ratio_age_educ_us_mexorig_se
2006-2010,0-5,23-40,all,18434,821,0.0232217,0.000984388,0.676994,0.0287078,0.244966,0.0101963,1.33655,0.056649,0.45237,0.0188583,0.474124,0.020226,0.258608,0.0108541
2006-2010,0-5,23-40,lt12,9958,539,0.0282861,0.00145579,0.826598,0.0424328,0.200773,0.0102869,1.63149,0.0837259,0.377349,0.0192897,0.57868,0.0296115,0.219607,0.01125
2006-2010,0-5,23-40,g12,6121,230,0.0180765,0.00140415,0.523946,0.040795,0.381437,0.029588,1.03522,0.0805441,0.651047,0.0504633,0.367071,0.0287732,0.360853,0.0282521
2006-2010,0-5,23-40,col,2355,52,0.0137991,0.00252442,0.404659,0.0740105,1.27937,0.233591,0.797927,0.146104,2.27659,0.416079,0.283609,0.0517548,0.791768,0.144636
2006-2010,0-5,23-40,g12+,8476,282,0.0170106,0.00124643,0.494482,0.0363339,0.444498,0.0323715,0.976522,0.0716858,0.760862,0.0553597,0.346462,0.0255807,0.405458,0.0299033
2006-2010,6-10,28-40,all,17772,490,0.0145348,0.000753308,0.431688,0.022426,0.160832,0.0084521,0.854682,0.0444236,0.301856,0.0159225,0.305089,0.0158377,0.170974,0.00900052
2006-2010,6-10,28-40,lt12,9569,296,0.0156776,0.000966242,0.46594,0.0287332,0.118141,0.00729685,0.922573,0.0569091,0.226189,0.0140342,0.329258,0.020255,0.130266,0.00804815
2006-2010,6-10,28-40,g12,5977,157,0.014564,0.00142805,0.430634,0.0423228,0.298138,0.0292941,0.852724,0.0838076,0.516343,0.0509013,0.304955,0.0300048,0.288463,0.0284249
2006-2010,6-10,28-40,col,2226,37,0.009021,0.00150552,0.270631,0.0451341,0.780645,0.130229,0.535355,0.0893704,1.41812,0.236568,0.190229,0.0316451,0.480009,0.0799926
2006-2010,6-10,28-40,g12+,8203,194,0.0131584,0.00111327,0.390497,0.0331276,0.334031,0.0285383,0.773051,0.0655951,0.58052,0.0497566,0.276015,0.0234575,0.309967,0.0265533
