period,ysm,rate,se_sdr,se_jk,jk_over_sdr
2006-2010,0-5,0.022571,0.000832235,0.00078141,0.93893
2006-2010,6-10,0.0177213,0.000534868,0.000683015,1.27698
2006-2010,11-15,0.0191051,0.000766061,0.000745665,0.973374
2006-2010,all,0.0212627,0.000368632,0.000390387,1.05902
2011-2015,0-5,0.0382684,0.00171494,0.00144297,0.841414
2011-2015,6-10,0.0186857,0.000947765,0.000735719,0.776267
2011-2015,11-15,0.0170414,0.00074409,0.000586671,0.788441
2011-2015,all,0.0232845,0.000485896,0.000387561,0.797621
2016-2019,0-5,0.0352305,0.00185952,0.00130647,0.702581
2016-2019,6-10,0.0180597,0.0013844,0.00116842,0.843991
2016-2019,11-15,0.015868,0.00083181,0.000692096,0.832036
2016-2019,all,0.0198593,0.000456169,0.000343026,0.75197
2021-2024,0-5,0.0185909,0.00118969,0.000879904,0.739608
2021-2024,6-10,0.0172135,0.0014935,0.00125912,0.843065
2021-2024,11-15,0.0183996,0.00108455,0.00111839,1.03121
2021-2024,all,0.0170784,0.00042741,0.000358728,0.839306
