year,source,group,n_movers,n_stayers,mover_share,movers_rate,movers_rate_se,stayers_rate,stayers_rate_se,crude_gap_pp,crude_gap_pp_se,age_std_gap_pp,age_std_gap_pp_se,age_educ_std_gap_pp,age_educ_std_gap_pp_se,ratio_age,ratio_age_se,ratio_age_educ,ratio_age_educ_se
1980,census 5%,all,648309,1251803,0.341195,0.0128874,0.000156602,0.0137937,0.000100976,-0.0906331,0.0194431,-0.0512014,0.0192804,0.156011,0.0184447,0.961788,0.0142267,1.13773,0.0168924
1980,census 5%,nhw,544695,1037901,0.344178,0.00852036,0.000129116,0.00892667,8.91151e-05,-0.0406306,0.0158607,-0.0213101,0.0156236,0.118861,0.0149681,0.975599,0.0177482,1.16212,0.0213232
1980,census 5%,nhb,75036,140132,0.348732,0.0412069,0.000746042,0.0461993,0.000437675,-0.499241,0.0908167,-0.352579,0.0932392,0.137202,0.092723,0.921181,0.020369,1.03444,0.0235102
1980,census 5%,hispanic,20328,56662,0.264034,0.020612,0.00106486,0.0211959,0.000529203,-0.0583899,0.117739,-0.0343348,0.116109,0.0735893,0.117117,0.983615,0.0552611,1.03702,0.0593763
1990,census 5%,all,662107,1322173,0.34542,0.0201836,0.000285659,0.0225473,0.000147251,-0.236367,0.0321843,-0.217481,0.031925,0.167824,0.0324904,0.90273,0.0140046,1.09069,0.0179017
1990,census 5%,nhw,565205,1076195,0.357615,0.0118634,0.00022109,0.0115085,0.000121031,0.0354861,0.0250675,0.0412754,0.0248991,0.225753,0.0246979,1.03605,0.0219189,1.23502,0.0270525
1990,census 5%,nhb,61631,146505,0.306508,0.0758882,0.00150382,0.0814598,0.000977526,-0.557162,0.176936,-0.542439,0.176115,0.539946,0.173285,0.93329,0.0212382,1.0766,0.0251191
1990,census 5%,hispanic,24567,74817,0.254684,0.0382361,0.0016853,0.0400523,0.000947096,-0.181614,0.194587,-0.178241,0.195526,0.230266,0.188983,0.95546,0.048278,1.06408,0.0533433
2000,census 5%,all,618465,1258181,0.341504,0.0318143,0.000296734,0.03583,0.000222896,-0.401572,0.0382364,-0.433502,0.0391659,0.281076,0.0354842,0.88008,0.0103466,1.09691,0.0125976
2000,census 5%,nhw,491547,948386,0.355873,0.0169214,0.00022056,0.0169041,0.000181021,0.00172878,0.0273015,-0.01755,0.0279771,0.290433,0.0267534,0.989735,0.0163005,1.2072,0.0205144
2000,census 5%,nhb,64318,162610,0.291418,0.112501,0.00147921,0.115802,0.00100994,-0.330073,0.165473,-0.512207,0.169789,1.51984,0.158328,0.956453,0.0142409,1.1562,0.0169494
2000,census 5%,hispanic,36111,104294,0.26238,0.0721237,0.00189286,0.0636309,0.000988955,0.849284,0.221393,0.668142,0.223921,1.15751,0.207147,1.1021,0.0350871,1.19117,0.0355236
