variant,scope,share_spread,noncitizen_all,noncitizen_mexico_born,noncitizen_men,noncitizen_men_18_64,foreign_born_all,institutional_total,birthplace_allocated_share
as_published,US,0,73395,26538,61828,56687,143216,4.05999e+06,0.517675
as_published,CA,0,13897,7738,10610,9273,25733,415014,0.643475
as_published,TX,0,9002,6067,8267,7722,12096,374219,0.699948
nativity_low,US,0.651941,126084,52479.6,108512,101694,239125,4.05999e+06,0.517675
nativity_low,CA,0.651941,30399.2,19419.6,25463.4,24672.8,52671.5,415014,0.643475
nativity_low,TX,0.651941,21574.3,13795.4,20179.7,19263.2,28391.6,374219,0.699948
nativity_high,US,1,154214,66329.3,133436,125722,290329,4.05999e+06,0.517675
nativity_high,CA,1,39209.4,25656.2,33393.3,32894.4,67053.5,415014,0.643475
nativity_high,TX,1,28286.4,17921.4,26539.7,25424.8,37091.5,374219,0.699948
