period,ysm,n,n_inst,weighted_per_year,rate,rate_se,us_all_rate,us_all_expected,ratio_age_us_all,ratio_age_us_all_se,us_nhw_rate,us_nhw_expected,ratio_age_us_nhw,ratio_age_us_nhw_se,us_mexorig_rate,us_mexorig_expected,ratio_age_us_mexorig,ratio_age_us_mexorig_se
2006-2010,0-5,27036,1119,854778,0.022571,0.000832235,0.0308751,0.0315517,0.715367,0.0263874,0.0158278,0.0159955,1.41108,0.0520392,0.0430681,0.0447487,0.504395,0.0186838
2006-2010,3-5,16164,539,504937,0.0184221,0.00102698,0.0308751,0.0319334,0.576893,0.0323207,0.0158278,0.0161922,1.13772,0.0636815,0.0430681,0.0453472,0.406246,0.0227928
2006-2010,6-10,32529,1073,991167,0.0177213,0.000534868,0.0308751,0.033198,0.533807,0.0162059,0.0158278,0.0168379,1.05247,0.0318992,0.0430681,0.0469323,0.377594,0.0114179
2006-2010,11-15,23981,814,691133,0.0191051,0.000766061,0.0308751,0.0328618,0.581379,0.023213,0.0158278,0.0167029,1.14383,0.0457329,0.0430681,0.0466344,0.409679,0.0162589
2006-2010,16+,42093,1771,1.12096e+06,0.0247266,0.000681639,0.0308751,0.0313749,0.7881,0.0217792,0.0158278,0.0161574,1.53035,0.0422676,0.0430681,0.0455038,0.543395,0.0150146
2006-2010,all,125639,4777,3.65804e+06,0.0212627,0.000368632,0.0308751,0.0321911,0.660514,0.0114347,0.0158278,0.016407,1.29595,0.0224161,0.0430681,0.045928,0.462957,0.00798823
2011-2015,0-5,12444,1161,355087,0.0382684,0.00171494,0.0302583,0.0309749,1.23546,0.055101,0.0159414,0.0160616,2.38261,0.10603,0.0368524,0.0399079,0.958918,0.042974
2011-2015,3-5,7142,486,214431,0.0262555,0.00171116,0.0302583,0.0312474,0.840245,0.0544693,0.0159414,0.0161859,1.62212,0.10518,0.0368524,0.0404006,0.649879,0.0419592
2011-2015,6-10,20306,942,617562,0.0186857,0.000947765,0.0302583,0.0322869,0.57874,0.0294144,0.0159414,0.0169113,1.10492,0.0562166,0.0368524,0.0422535,0.442229,0.0223862
2011-2015,11-15,29561,1199,866242,0.0170414,0.00074409,0.0302583,0.0325529,0.523499,0.0228226,0.0159414,0.0170653,0.9986,0.0434336,0.0368524,0.0437008,0.389957,0.0170595
2011-2015,16+,42522,2359,1.16567e+06,0.025796,0.000918971,0.0302583,0.0319771,0.806703,0.0286743,0.0159414,0.0168291,1.53282,0.05446,0.0368524,0.0437205,0.590021,0.020914
2011-2015,all,104833,5661,3.00456e+06,0.0232845,0.000485896,0.0302583,0.0320883,0.725639,0.0151207,0.0159414,0.0168234,1.38406,0.0288607,0.0368524,0.0429627,0.541971,0.0112543
2016-2019,0-5,8392,685,296079,0.0352305,0.00185952,0.0275173,0.028543,1.23429,0.0650437,0.0154908,0.0157875,2.23155,0.117302,0.0303296,0.0339161,1.03875,0.0550543
2016-2019,3-5,4063,205,150504,0.0207104,0.0015247,0.0275173,0.0286073,0.723953,0.0539709,0.0154908,0.0158125,1.30975,0.0976887,0.0303296,0.0340837,0.607633,0.0456445
2016-2019,6-10,7522,310,283352,0.0180597,0.0013844,0.0275173,0.0296173,0.609767,0.0467715,0.0154908,0.0165553,1.09087,0.0838124,0.0303296,0.0353287,0.51119,0.0390764
2016-2019,11-15,14283,550,534551,0.015868,0.00083181,0.0275173,0.0299547,0.529732,0.0278194,0.0154908,0.0169383,0.936812,0.0492412,0.0303296,0.0361458,0.439,0.0231611
2016-2019,16+,35171,1510,1.27873e+06,0.0183676,0.00055099,0.0275173,0.0307617,0.597093,0.0178541,0.0154908,0.0175207,1.04833,0.0312805,0.0303296,0.0383988,0.478338,0.0143096
2016-2019,all,65368,3055,2.39271e+06,0.0198593,0.000456169,0.0275173,0.0301714,0.658218,0.0150345,0.0154908,0.0170618,1.16397,0.0265299,0.0303296,0.0369772,0.53707,0.0122292
2021-2024,0-5,11374,525,365716,0.0185909,0.00118969,0.021866,0.0222384,0.835983,0.0536102,0.0121004,0.0118165,1.5733,0.10117,0.0202651,0.0226199,0.821883,0.0528356
2021-2024,3-5,4681,189,161172,0.014483,0.00134182,0.021866,0.0225898,0.641129,0.0603458,0.0121004,0.012062,1.2007,0.113505,0.0202651,0.0227861,0.635606,0.0598726
2021-2024,6-10,6388,289,220829,0.0172135,0.0014935,0.021866,0.0238943,0.720404,0.0619899,0.0121004,0.0130107,1.32303,0.113553,0.0202651,0.0243588,0.706666,0.0608193
2021-2024,11-15,7079,360,242478,0.0183996,0.00108455,0.021866,0.0252906,0.727528,0.0428283,0.0121004,0.0141044,1.30453,0.07732,0.0202651,0.0256465,0.717431,0.0421066
2021-2024,16+,32705,1477,1.11587e+06,0.0162689,0.000548511,0.021866,0.0262344,0.620137,0.0207308,0.0121004,0.0148591,1.09488,0.0364451,0.0202651,0.0272809,0.596349,0.0199547
2021-2024,all,57546,2651,1.94489e+06,0.0170784,0.00042741,0.021866,0.0250996,0.680426,0.0167832,0.0121004,0.013983,1.22137,0.0299924,0.0202651,0.0258689,0.660192,0.0161957
