year,ysm,ipums_weighted,api_weighted,ipums_inst,api_inst
2006,0-5,1.0375e+06,1037496,17203,17203
2006,6-10,1.04545e+06,1045452,16870,16870
2006,11-15,653019,653019,10668,10668
2007,0-5,986289,986289,15305,15305
2007,6-10,1.04899e+06,1048990,17318,17318
2007,11-15,676183,676183,14806,14806
2008,0-5,857087,857087,19717,19717
2008,6-10,1.02686e+06,1026863,20799,20799
2008,11-15,652258,652258,11342,11342
2009,0-5,736984,736984,20222,20222
2009,6-10,954955,954955,17923,17923
2009,11-15,713269,713269,16732,16732
2010,0-5,656033,656033,24019,24019
2010,6-10,879574,879574,14914,14914
2010,11-15,760937,760937,12473,12473
2011,0-5,493340,493340,17727,17727
2011,6-10,740257,740257,15527,15527
2011,11-15,871470,871470,18829,18829
2012,0-5,373062,373062,16220,16220
2012,6-10,672877,672877,12374,12374
2012,11-15,875391,875391,17997,17997
2013,0-5,326103,326103,10445,10445
2013,6-10,627536,627536,11084,11084
2013,11-15,918938,918938,14560,14560
2014,0-5,294313,294313,12153,12153
2014,6-10,560481,560481,10560,10560
2014,11-15,867513,867513,13157,13157
2015,0-5,288615,288615,11398,11398
2015,6-10,486660,486660,8153,8153
2015,11-15,797899,797899,9267,9267
2016,0-5,296354,296354,11030,11030
2016,6-10,367633,367633,7985,7985
2016,11-15,631657,631657,10340,10340
2017,0-5,294524,294524,9717,9717
2017,6-10,280875,280875,4568,4568
2017,11-15,562538,562538,7821,7821
2018,0-5,294584,294584,10671,10671
2018,6-10,264350,264350,3544,3544
2018,11-15,511133,511133,9358,9358
2019,0-5,298854,298854,10306,10306
2019,6-10,220552,220552,4372,4372
2019,11-15,432877,432877,6410,6410
2021,0-5,283552,283552,4593,4593
2021,6-10,198683,198683,4581,4581
2021,11-15,309098,309098,5188,5188
2022,0-5,334842,334842,7611,7611
2022,6-10,223501,223501,2760,2760
2022,11-15,254925,254925,4921,4921
2023,0-5,391411,391411,6474,6474
2023,6-10,234993,234993,2555,2555
2023,11-15,217915,217915,4754,4754
2024,0-5,453059,453059,8518,8518
2024,6-10,226139,226139,5309,5309
2024,11-15,187974,187974,2983,2983
