year,birthplace,records,weighted,share_mexico,share_abroad_unknown,share_foreign
1980,reported,1108,2.216e+04,0.1489,0,0.157
1980,allocated,353,7060,0,0.3116,0.3116
1990,reported,1861,5.56e+04,0.3205,0,0.3238
1990,allocated,490,2.44e+04,0,0.3732,0.3732
2000,reported,2303,4.385e+04,0.3741,0,0.3851
2000,allocated,2905,9.166e+04,0.008466,0,0.01807
