citizenship,period,ysm,n,n_inst,weighted_per_year,rate,rate_se,us_all_rate,us_all_expected,ratio_age_us_all,ratio_age_us_all_se,us_nhw_rate,us_nhw_expected,ratio_age_us_nhw,ratio_age_us_nhw_se,us_mexorig_rate,us_mexorig_expected,ratio_age_us_mexorig,ratio_age_us_mexorig_se
non,2006-2010,6-10,30697,1044,938926,0.0182822,0.000557846,0.0308751,0.0332483,0.549868,0.0168781,0.0158278,0.0168615,1.08426,0.0332338,0.0430681,0.0469942,0.38903,0.0118824
non,2006-2010,11-15,21306,779,618694,0.0205232,0.000840309,0.0308751,0.0329191,0.623443,0.0254032,0.0158278,0.016738,1.22615,0.050013,0.0430681,0.0467321,0.439167,0.0177923
non,2006-2010,16+,29553,1561,807050,0.0303059,0.000866789,0.0308751,0.0314186,0.964585,0.0276676,0.0158278,0.0161662,1.87465,0.0537063,0.0430681,0.0455002,0.666062,0.0191104
non,2006-2010,all,107842,4490,3.19714e+06,0.0229779,0.000409809,0.0308751,0.0322848,0.711725,0.0126756,0.0158278,0.0164384,1.39782,0.0248769,0.0430681,0.0459868,0.499663,0.00886423
non,2011-2015,0-5,11901,1151,339630,0.0396655,0.00177913,0.0302583,0.0310233,1.27857,0.0570547,0.0159414,0.0160929,2.46479,0.109734,0.0368524,0.0399605,0.992617,0.0445393
non,2011-2015,3-5,6778,482,204061,0.0274907,0.00179726,0.0302583,0.0313285,0.877499,0.0569928,0.0159414,0.0162379,1.693,0.109996,0.0368524,0.0405165,0.678507,0.0438155
non,2011-2015,6-10,19031,913,581083,0.019305,0.000985301,0.0302583,0.0323549,0.596664,0.0304856,0.0159414,0.0169477,1.13909,0.058251,0.0368524,0.042355,0.455791,0.0232103
non,2011-2015,11-15,26647,1154,785573,0.0180385,0.000803944,0.0302583,0.0326588,0.552334,0.0245362,0.0159414,0.0171263,1.05327,0.0466573,0.0368524,0.0439318,0.410603,0.0182731
non,2011-2015,16+,31729,2108,881597,0.030165,0.00102854,0.0302583,0.0318887,0.945947,0.0321685,0.0159414,0.0167645,1.79934,0.0610901,0.0368524,0.043651,0.691051,0.0234684
non,2011-2015,all,89308,5326,2.58788e+06,0.0252923,0.000513773,0.0302583,0.0321136,0.787588,0.0159874,0.0159414,0.0168273,1.50305,0.0305208,0.0368524,0.0429609,0.588727,0.011931
non,2016-2019,0-5,7926,681,279084,0.0371224,0.00200201,0.0275173,0.0285453,1.30047,0.0698499,0.0154908,0.0157741,2.35338,0.126058,0.0303296,0.0339389,1.0938,0.0590943
non,2016-2019,3-5,3784,204,140537,0.022053,0.00167881,0.0275173,0.0286488,0.769768,0.0590956,0.0154908,0.0158258,1.39348,0.106931,0.0303296,0.0341751,0.645292,0.0499158
non,2016-2019,6-10,6585,299,251082,0.019886,0.00156183,0.0275173,0.0298879,0.665351,0.0523275,0.0154908,0.0167319,1.18851,0.0935679,0.0303296,0.0357294,0.556571,0.0436179
non,2016-2019,11-15,12299,523,463904,0.0173274,0.000936492,0.0275173,0.0301836,0.574065,0.0310716,0.0154908,0.017097,1.01348,0.0549085,0.0303296,0.0365037,0.474674,0.0258098
non,2016-2019,16+,25776,1366,959895,0.0220787,0.000685122,0.0275173,0.0306607,0.720098,0.0223033,0.0154908,0.0174511,1.26518,0.0391257,0.0303296,0.038362,0.575536,0.0178373
non,2016-2019,all,52586,2869,1.95396e+06,0.0228176,0.000536585,0.0275173,0.030146,0.756902,0.0176743,0.0154908,0.0170351,1.33945,0.0311738,0.0303296,0.0369508,0.617513,0.0143643
non,2021-2024,0-5,11097,514,357001,0.018717,0.00122186,0.021866,0.0222387,0.841643,0.0549915,0.0121004,0.0118126,1.58449,0.103765,0.0202651,0.0226175,0.827549,0.0541505
non,2021-2024,3-5,4467,182,154421,0.014624,0.00139347,0.021866,0.0226167,0.646601,0.0625522,0.0121004,0.012069,1.2117,0.117724,0.0202651,0.0228168,0.640933,0.0620626
non,2021-2024,6-10,5393,278,186674,0.0195072,0.00175281,0.021866,0.0240958,0.809571,0.07244,0.0121004,0.0131379,1.4848,0.132659,0.0202651,0.0245878,0.79337,0.0710673
non,2021-2024,11-15,5564,324,192289,0.0208761,0.00131777,0.021866,0.0258543,0.807453,0.0508425,0.0121004,0.0144961,1.44012,0.0913673,0.0202651,0.0261658,0.797839,0.0499746
non,2021-2024,16+,23107,1189,804644,0.0183736,0.000698194,0.021866,0.0260387,0.705629,0.0265272,0.0121004,0.014732,1.24719,0.0467509,0.0202651,0.0270273,0.679818,0.0255088
non,2021-2024,all,45161,2305,1.54061e+06,0.0189029,0.000534733,0.021866,0.0248997,0.759163,0.0212264,0.0121004,0.0138329,1.36652,0.0381238,0.0202651,0.0256023,0.738329,0.0205503
