year,ysm,rate_all,inst_share_yoep_imputed,inst_share_pobp_imputed,pop_share_yoep_imputed,rate_reported_only,rate_pobp_reported,us_rate_all,us_rate_pobp_reported,us_inst_share_pobp_imputed,crude_ratio_all,crude_ratio_pobp_reported_both
2019,0-5,0.0344851,0.205802,0.0711236,0.253977,0.0342945,0.0350086,0.0265967,0.0277298,0.0761491,1.29659,1.26249
2019,6-10,0.019823,0.260293,0.0372827,0.269986,0.0201634,0.0206424,0.0265967,0.0277298,0.0761491,0.745318,0.744411
2019,11-15,0.0148079,0.21092,0.0232449,0.251774,0.0157137,0.0157831,0.0265967,0.0277298,0.0761491,0.556757,0.569175
2021,0-5,0.0161981,0.414326,0.0513825,0.261282,0.0126697,0.017262,0.0252293,0.0252157,0.13435,0.642034,0.684573
2021,6-10,0.0230568,0.816852,0.183366,0.303121,0.00608646,0.0210641,0.0252293,0.0252157,0.13435,0.91389,0.835354
2021,11-15,0.0167843,0.579607,0.0828836,0.279572,0.00981959,0.0172486,0.0252293,0.0252157,0.13435,0.66527,0.684042
2022,0-5,0.0227301,0.505584,0.189463,0.277137,0.0131017,0.0206981,0.0211293,0.0214655,0.116134,1.07577,0.964247
2022,6-10,0.0123489,0.718841,0.16087,0.33535,0.00524183,0.0118133,0.0211293,0.0214655,0.116134,0.584447,0.550336
2022,11-15,0.0193037,0.680553,0.194269,0.259547,0.00837614,0.0172086,0.0211293,0.0214655,0.116134,0.913601,0.801685
2023,0-5,0.0165402,0.510195,0.0766141,0.254773,0.0105447,0.0171031,0.020944,0.0213992,0.111326,0.789733,0.79924
2023,6-10,0.0108727,0.580431,0.129159,0.30332,0.006597,0.0109448,0.020944,0.0213992,0.111326,0.519131,0.511461
2023,11-15,0.0218158,0.649348,0.0353387,0.264511,0.0104453,0.023143,0.020944,0.0213992,0.111326,1.04163,1.08149
2024,0-5,0.0188011,0.337051,0.0827659,0.237219,0.0163985,0.0193547,0.0202032,0.0206316,0.113159,0.9306,0.938109
2024,6-10,0.0234767,0.27896,0.0764739,0.268476,0.0231903,0.0247248,0.0202032,0.0206316,0.113159,1.16203,1.1984
2024,11-15,0.0158692,0.419376,0.0643647,0.282316,0.0128919,0.0168574,0.0202032,0.0206316,0.113159,0.785481,0.817069
