year,source,group,n_movers,n_stayers,mover_share,movers_rate,movers_rate_se,stayers_rate,stayers_rate_se,crude_gap_pp,crude_gap_pp_se,age_std_gap_pp,age_std_gap_pp_se,age_educ_std_gap_pp,age_educ_std_gap_pp_se,placement_f04_age_gap_pp,placement_f08_age_gap_pp,placement_f04_age_educ_gap_pp,placement_f08_age_educ_gap_pp,reference_rate,reference_rate_se
2019,ACS 1-year,all,122256,264825,0.309634,0.0233865,0.000411604,0.0280365,0.000250855,-0.464997,0.0438279,-0.623046,0.0450714,-0.0584284,0.0432904,-1.00691,-1.42415,-0.418767,-0.81044,,
2019,ACS 1-year,nhw,89241,176804,0.334047,0.0140295,0.000390587,0.0155761,0.000289013,-0.154659,0.0484549,-0.258408,0.0500193,0.0732154,0.0448989,-0.457016,-0.672894,-0.111575,-0.312434,,
2019,ACS 1-year,nhb,11176,29156,0.271593,0.0673611,0.00232747,0.0791291,0.00121937,-1.1768,0.244158,-1.44371,0.247921,0.136076,0.270419,-2.6688,-4.00041,-1.02319,-2.28326,,
2019,ACS 1-year,hispanic,13036,40503,0.239001,0.032527,0.00125925,0.0288411,0.000637104,0.368582,0.144917,0.130149,0.148198,0.188837,0.148905,-0.382592,-0.939919,-0.321459,-0.876128,,
2019,ACS 1-year,us_born_reference,387081,0,,,,,,,,,,,,,,,,0.0265967,0.000234841
2023,ACS 1-year,all,130392,277964,0.318045,0.0179296,0.000303907,0.0223498,0.000277482,-0.442021,0.0426779,-0.605452,0.0442944,-0.0910648,0.0413487,-0.905063,-1.23073,-0.369243,-0.671612,,
2023,ACS 1-year,nhw,88520,173006,0.343115,0.0101326,0.000233517,0.012235,0.000249742,-0.210236,0.0377903,-0.3068,0.0396027,-0.00993789,0.0355051,-0.459401,-0.625271,-0.15017,-0.302595,,
2023,ACS 1-year,nhb,11548,27723,0.286962,0.0595366,0.00167401,0.0679912,0.00128387,-0.845457,0.20623,-1.21776,0.213348,0.0584773,0.190657,-2.2205,-3.31043,-0.891084,-1.92322,,
2023,ACS 1-year,hispanic,16481,49275,0.246383,0.0217332,0.000847038,0.0222146,0.000496486,-0.0481421,0.0935731,-0.244574,0.09706,-0.0151271,0.0984569,-0.628437,-1.04568,-0.38943,-0.79628,,
2023,ACS 1-year,us_born_reference,408356,0,,,,,,,,,,,,,,,,0.020944,0.000206717
2024,ACS 1-year,all,129958,282030,0.316418,0.0177703,0.000355783,0.0213293,0.000202452,-0.355906,0.0410695,-0.539474,0.0425416,-0.07578,0.0419294,-0.827992,-1.1416,-0.344978,-0.637584,,
2024,ACS 1-year,nhw,87357,175662,0.33861,0.00978367,0.000287943,0.0112856,0.000211266,-0.15019,0.036818,-0.246432,0.0383575,0.0145795,0.0365107,-0.389314,-0.54462,-0.117426,-0.260911,,
2024,ACS 1-year,nhb,11400,27186,0.292079,0.0552392,0.00188742,0.0676488,0.00105651,-1.24096,0.226233,-1.71595,0.230926,-0.38926,0.206818,-2.70078,-3.77126,-1.31882,-2.32921,,
2024,ACS 1-year,hispanic,16671,50540,0.245175,0.0232155,0.00108111,0.0206656,0.000383244,0.254985,0.109186,0.0103974,0.109855,0.161061,0.115048,-0.350999,-0.743821,-0.194058,-0.580056,,
2024,ACS 1-year,us_born_reference,411988,0,,,,,,,,,,,,,,,,0.0202032,0.000177652
