year,ysm,ratio_age_us_all,ratio_age_us_nhw,ratio_age_us_mexorig,variant,multiplier_us_all,multiplier_us_nhw,multiplier_us_mexorig,ratio_age_us_all_reassigned,ratio_age_us_nhw_reassigned,ratio_age_us_mexorig_reassigned
1980,0-5,0.4452,0.684,0.29,country,1.54,1.54,1.54,0.6855,1.053,0.4466
1980,0-5,0.4452,0.684,0.29,nativity_high,1.683,1.681,1.693,0.7493,1.15,0.4912
1980,0-5,0.4452,0.684,0.29,nativity_low,1.634,1.633,1.641,0.7275,1.117,0.4759
1980,6-10,0.2954,0.4586,0.1879,country,1.54,1.54,1.54,0.4548,0.7061,0.2893
1980,6-10,0.2954,0.4586,0.1879,nativity_high,1.683,1.681,1.693,0.4972,0.7711,0.3182
1980,6-10,0.2954,0.4586,0.1879,nativity_low,1.634,1.633,1.641,0.4827,0.749,0.3083
1980,11-15,0.3082,0.4722,0.1947,country,1.54,1.54,1.54,0.4746,0.7271,0.2997
1980,11-15,0.3082,0.4722,0.1947,nativity_high,1.683,1.681,1.693,0.5187,0.7939,0.3296
1980,11-15,0.3082,0.4722,0.1947,nativity_low,1.634,1.633,1.641,0.5037,0.7712,0.3194
1980,16+,0.5725,0.8694,0.3616,country,1.54,1.54,1.54,0.8815,1.339,0.5568
1980,16+,0.5725,0.8694,0.3616,nativity_high,1.683,1.681,1.693,0.9635,1.462,0.6123
1980,16+,0.5725,0.8694,0.3616,nativity_low,1.634,1.633,1.641,0.9356,1.42,0.5933
1980,all,0.4005,0.6158,0.2566,country,1.54,1.54,1.54,0.6166,0.9482,0.3951
1980,all,0.4005,0.6158,0.2566,nativity_high,1.683,1.681,1.693,0.674,1.035,0.4346
1980,all,0.4005,0.6158,0.2566,nativity_low,1.634,1.633,1.641,0.6544,1.006,0.421
1990,0-5,0.4171,0.7834,0.2702,country,1.417,1.417,1.417,0.5912,1.11,0.383
1990,0-5,0.4171,0.7834,0.2702,nativity_high,1.55,1.54,1.583,0.6465,1.207,0.4277
1990,0-5,0.4171,0.7834,0.2702,nativity_low,1.57,1.558,1.622,0.655,1.221,0.4382
1990,6-10,0.5038,0.9551,0.3238,country,1.417,1.417,1.417,0.7141,1.354,0.459
1990,6-10,0.5038,0.9551,0.3238,nativity_high,1.55,1.54,1.583,0.781,1.471,0.5125
1990,6-10,0.5038,0.9551,0.3238,nativity_low,1.57,1.558,1.622,0.7912,1.488,0.5251
1990,11-15,0.5426,1.017,0.3281,country,1.417,1.417,1.417,0.7691,1.442,0.465
1990,11-15,0.5426,1.017,0.3281,nativity_high,1.55,1.54,1.583,0.8411,1.566,0.5193
1990,11-15,0.5426,1.017,0.3281,nativity_low,1.57,1.558,1.622,0.8522,1.585,0.532
1990,16+,0.7926,1.465,0.4716,country,1.417,1.417,1.417,1.123,2.076,0.6685
1990,16+,0.7926,1.465,0.4716,nativity_high,1.55,1.54,1.583,1.229,2.256,0.7464
1990,16+,0.7926,1.465,0.4716,nativity_low,1.57,1.558,1.622,1.245,2.283,0.7648
1990,all,0.5423,1.017,0.3395,country,1.417,1.417,1.417,0.7686,1.442,0.4812
1990,all,0.5423,1.017,0.3395,nativity_high,1.55,1.54,1.583,0.8406,1.567,0.5374
1990,all,0.5423,1.017,0.3395,nativity_low,1.57,1.558,1.622,0.8516,1.585,0.5506
2000,0-5,0.1265,0.2621,0.07606,country,1,1,1,0.1265,0.2621,0.07606
2000,0-5,0.1265,0.2621,0.07606,nativity_high,2.618,2.523,3.243,0.3312,0.6612,0.2467
2000,0-5,0.1265,0.2621,0.07606,nativity_low,2.057,2.009,2.335,0.2603,0.5266,0.1776
2000,6-10,0.1592,0.3333,0.09055,country,1,1,1,0.1592,0.3333,0.09055
2000,6-10,0.1592,0.3333,0.09055,nativity_high,2.618,2.523,3.243,0.4167,0.8409,0.2936
2000,6-10,0.1592,0.3333,0.09055,nativity_low,2.057,2.009,2.335,0.3275,0.6697,0.2114
2000,11-15,0.1851,0.3812,0.09681,country,1,1,1,0.1851,0.3812,0.09681
2000,11-15,0.1851,0.3812,0.09681,nativity_high,2.618,2.523,3.243,0.4847,0.9616,0.3139
2000,11-15,0.1851,0.3812,0.09681,nativity_low,2.057,2.009,2.335,0.3809,0.7658,0.226
2000,16+,0.312,0.6261,0.1559,country,1,1,1,0.312,0.6261,0.1559
2000,16+,0.312,0.6261,0.1559,nativity_high,2.618,2.523,3.243,0.8169,1.58,0.5057
2000,16+,0.312,0.6261,0.1559,nativity_low,2.057,2.009,2.335,0.642,1.258,0.3641
2000,all,0.1905,0.392,0.1048,country,1,1,1,0.1905,0.392,0.1048
2000,all,0.1905,0.392,0.1048,nativity_high,2.618,2.523,3.243,0.4987,0.989,0.3398
2000,all,0.1905,0.392,0.1048,nativity_low,2.057,2.009,2.335,0.3919,0.7876,0.2446
