year,ysm,adult_arrival_ages,educ,n,n_inst,rate,rate_se,ratio_age_us_all,ratio_age_us_all_se,ratio_age_educ_us_all,ratio_age_educ_us_all_se,ratio_age_us_nhw,ratio_age_us_nhw_se,ratio_age_educ_us_nhw,ratio_age_educ_us_nhw_se,ratio_age_us_mexorig,ratio_age_us_mexorig_se,ratio_age_educ_us_mexorig,ratio_age_educ_us_mexorig_se
1980,0-5,23-40,all,7330,50,0.00682128,0.000933937,0.488361,0.067109,0.173536,0.0236166,0.771483,0.106494,0.243343,0.0332183,0.303985,0.0435679,0.187046,0.0274419
1980,0-5,23-40,lt12,5885,43,0.00730671,0.0011229,0.52545,0.0808579,0.156124,0.0239496,0.829187,0.128089,0.218072,0.0335719,0.326804,0.0520224,0.172997,0.0281422
1980,0-5,23-40,g12,776,4,0.00515464,0.0025304,0.356154,0.175201,0.43509,0.213814,0.566436,0.278577,0.667329,0.328284,0.223036,0.109776,0.312298,0.154366
1980,0-5,23-40,col,669,3,0.0044843,0.00256206,0.32197,0.184168,0.854968,0.491664,0.509291,0.291405,1.30731,0.752876,0.200402,0.115286,0.504492,0.29138
1980,0-5,23-40,g12+,1445,7,0.00484429,0.0017732,0.340654,0.12501,0.551077,0.201375,0.540447,0.198372,0.844511,0.308776,0.212739,0.0787039,0.373237,0.137432
1980,6-10,28-40,all,4665,12,0.00257235,0.000684554,0.221346,0.0589873,0.0791068,0.0210719,0.340832,0.0908455,0.106757,0.0284421,0.135209,0.0367896,0.0874318,0.0238148
1980,6-10,28-40,lt12,3782,9,0.00237969,0.000749235,0.205466,0.0649625,0.0622691,0.0196797,0.315899,0.0998856,0.0835609,0.0263994,0.125391,0.0401373,0.0710527,0.0229673
1980,6-10,28-40,g12,535,2,0.00373832,0.00262584,0.315838,0.221617,0.369362,0.259337,0.489937,0.344023,0.561853,0.394751,0.192908,0.136096,0.276739,0.195512
1980,6-10,28-40,col,348,1,0.00287356,0.00287739,0.24519,0.245552,0.573066,0.574003,0.379411,0.379964,0.877597,0.879218,0.151324,0.151744,0.297949,0.30046
1980,6-10,28-40,g12+,883,3,0.00339751,0.0019321,0.288162,0.163434,0.419009,0.237264,0.446573,0.25339,0.638417,0.36139,0.17672,0.100835,0.283465,0.164005
1980,11-15,33-40,all,1654,2,0.00120919,0.000846887,0.122335,0.0856079,0.0500953,0.0350247,0.17563,0.123088,0.0646856,0.04535,0.0658269,0.0465296,0.0473639,0.0334154
1980,11-15,33-40,lt12,1319,2,0.0015163,0.00106064,0.153794,0.107486,0.0528319,0.0369356,0.220519,0.15434,0.0678845,0.0475964,0.0831704,0.0587743,0.0521956,0.0368173
1980,11-15,33-40,g12,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,11-15,33-40,col,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,11-15,33-40,g12+,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0-5,23-40,all,13467,93,0.00912487,0.00116151,0.373602,0.0474706,0.150378,0.0190821,0.716165,0.0911141,0.269465,0.0340949,0.234161,0.0303754,0.13843,0.0183888
1990,0-5,23-40,lt12,8740,66,0.0100595,0.00146818,0.415847,0.0603229,0.120317,0.0175757,0.796316,0.114708,0.215456,0.0314692,0.258851,0.0382326,0.113206,0.0173254
1990,0-5,23-40,g12,2784,22,0.0100268,0.0022085,0.399546,0.0882518,0.373454,0.0831023,0.769448,0.170887,0.676039,0.152074,0.254885,0.0569622,0.306649,0.0705291
1990,0-5,23-40,col,1943,5,0.00385851,0.00176078,0.157656,0.072063,0.36662,0.167616,0.301528,0.138262,0.647735,0.297682,0.0991901,0.045151,0.260111,0.121774
1990,0-5,23-40,g12+,4727,27,0.0074701,0.00154604,0.300753,0.0625584,0.371969,0.0772926,0.57756,0.121379,0.669773,0.142118,0.190774,0.0398602,0.295336,0.0612184
1990,6-10,28-40,all,7365,60,0.010822,0.00188596,0.493189,0.0868483,0.195675,0.0346942,0.932485,0.164215,0.344073,0.0617291,0.287615,0.0515683,0.172716,0.0314093
1990,6-10,28-40,lt12,5193,38,0.0090213,0.00188507,0.412673,0.0872563,0.125638,0.0264678,0.779385,0.164326,0.220286,0.046526,0.240309,0.051622,0.11524,0.0250142
1990,6-10,28-40,g12,1261,14,0.0182102,0.00693102,0.813191,0.310057,0.769257,0.294011,1.54379,0.589497,1.38312,0.529431,0.479328,0.183493,0.547314,0.21559
1990,6-10,28-40,col,911,8,0.0101186,0.00383036,0.465165,0.175392,0.909735,0.343925,0.879618,0.332342,1.65587,0.631767,0.26926,0.100829,0.505781,0.198828
1990,6-10,28-40,g12+,2172,22,0.0148446,0.00422726,0.670881,0.19087,0.804477,0.228854,1.27158,0.362833,1.45087,0.413126,0.392508,0.11193,0.534862,0.154267
1990,11-15,33-40,all,4983,23,0.00653172,0.00153414,0.357925,0.083635,0.133723,0.0313062,0.654432,0.154212,0.21783,0.0510464,0.192403,0.0458129,0.129982,0.0322317
1990,11-15,33-40,lt12,3838,20,0.0068625,0.00176783,0.37678,0.0967457,0.116041,0.029753,0.688394,0.177883,0.187739,0.0483533,0.202766,0.0514408,0.121123,0.0326006
1990,11-15,33-40,g12,689,1,0.00229157,0.00229335,0.124153,0.124277,0.113741,0.113881,0.227955,0.228174,0.199406,0.199699,0.0665396,0.0667438,0.0653594,0.0657353
1990,11-15,33-40,col,456,2,0.0100561,0.00790366,0.55186,0.433735,0.967662,0.759497,1.00868,0.792466,1.7609,1.38236,0.295372,0.234696,0.447174,0.361019
1990,11-15,33-40,g12+,1145,3,0.00548076,0.00348793,0.298502,0.189926,0.339567,0.215615,0.547061,0.348132,0.601132,0.382308,0.159894,0.103142,0.183322,0.118106
2000,0-5,23-40,all,29328,181,0.0052448,0.000458962,0.139781,0.0122852,0.0510744,0.00454293,0.293488,0.0258131,0.10161,0.00912014,0.0768103,0.00698502,0.0489141,0.00467478
2000,0-5,23-40,lt12,18182,121,0.00551162,0.000615437,0.147027,0.0164915,0.0378987,0.00428432,0.308403,0.0344021,0.0761311,0.00855327,0.0808178,0.00920412,0.0400787,0.00483883
