cell,n,dem_incl_leaners_pct,rep_incl_leaners_pct
US-born NH white — all,6504,36.1,45.3
+ postgraduate,1127,58.6,30.4
"+ postgrad, top quintile, top-100 metro  [MATCHED CELL]",219,62.1,31.5
