staag6,name_de,name_en,pop_2025,pop_2024,male_2025,male_18_39_2025
%TOTAL%,Insgesamt,Total,14070230,14061630,7359805,3031970
ST163,Türkei,Turkey,1520400,1544480,796380,252550
ST166,Ukraine,Ukraine,1409555,1334010,588615,209895
ST475,Syrien,Syrian,936285,975085,553945,281290
ST154,Rumänien,Romania,903755,909765,510605,226850
ST152,Polen,Poland,839675,865000,439870,153295
ST137,Italien,Italy,629405,636730,360625,106800
ST423,Afghanistan,"Afghanistan, Republic of",449790,442025,283935,171820
ST125,Bulgarien,Bulgaria,421915,432075,222600,81975
ST130,Kroatien,Croatia,413465,425815,215805,65055
ST134,Griechenland,Greece,347235,353735,185555,50495
ST150,Kosovo,Kosovo,323260,313610,173970,75745
ST436,Indien,India,311135,277445,181640,129225
ST160,Russische Föderation,Russian Federation,284210,302340,113005,39155
ST170,Serbien,Serbia,262345,262795,135475,48055
ST438,Irak,Iraq,254090,268790,141430,64985
ST122,Bosnien und Herzegowina,Bosnia and Herzegovina,245960,249720,129935,46140
ST165,Ungarn,Hungary,212415,216120,118195,43700
ST161,Spanien,Spain,203945,201820,107065,38900
ST151,Österreich,Austria,180325,181480,90525,19785
ST479,China,China,168670,163015,77910,48275
ST439,"Iran, Islamische Republik","Iran, Islamic Republic of",161775,161625,86875,42095
ST144,Nordmazedonien,North Macedonia,161095,158985,85250,35740
ST432,Vietnam,Viet Nam,151995,137570,68905,34680
ST148,Niederlande,Netherlands,148055,148545,82620,17750
ST153,Portugal,Portugal,139940,140170,77140,23715
ST129,Frankreich,France,137660,138230,67815,26555
ST121,Albanien,Albania,131530,125440,74710,39455
ST368,Vereinigte Staaten,United States,118135,120360,65285,20410
ST252,Marokko,Morocco,109125,102935,56535,32485
ST461,Pakistan,Pakistan,102615,96915,63930,37310
STAAT900,Ungeklärt / Ohne Angabe,Unknown / Not specified,90130,94725,52165,19210
ST224,Eritrea,Eritrea,84740,84755,50650,29025
ST232,Nigeria,Nigeria,84195,84510,46350,16500
ST168,Vereinigtes Königreich,United Kingdom,77460,80330,49365,15380
ST273,Somalia,Somalia,68045,66225,38385,21615
ST164,Tschechien,Czechia,63505,64300,28340,10110
ST285,Tunesien,Tunisia,63505,58275,35925,23195
ST155,Slowakei,Slovakia,61685,62695,30845,12055
ST476,Thailand,Thailand,59350,59705,7500,3630
ST327,Brasilien,Brazil,58905,58970,21990,13245
ST287,Ägypten,Egypt,54735,52920,36070,22935
ST142,Litauen,Lithuania,54710,56265,24225,9805
ST238,Ghana,Ghana,53515,50460,28525,10460
ST462,Philippinen,Philippines,48150,45255,13735,7450
ST451,Libanon,Lebanon,47850,48050,28635,13760
ST444,Kasachstan,Kazakhstan,47410,48140,21405,4530
ST467,"Korea, Republik","Korea, Republic of",41840,41025,16930,7490
ST139,Lettland,Latvia,40430,40795,20385,8370
ST158,Schweiz,Switzerland,40290,40645,17995,4275
ST146,"Moldau, Republik","Moldova, Republic of",40155,41425,16505,5555
ST262,Kamerun,Cameroon,40015,36555,20680,13760
ST430,Georgien,Georgia,39055,40905,18635,8370
ST442,Japan,Japan,38755,38790,15440,6095
ST425,Aserbaidschan,Azerbaijan,38535,37880,20230,9920
ST349,Kolumbien,Colombia,35980,35900,15260,10015
ST422,Armenien,Armenia,31950,32815,15285,5155
ST437,Indonesien,Indonesia,31740,29790,13590,9790
ST124,Belgien,Belgium,30350,30345,16235,5220
