iccs,iccs_label,geo,geo_label,year,rate_per_100k
ICCS0301,Sexual violence,DK,Denmark,2008,33.09
ICCS0301,Sexual violence,DK,Denmark,2009,30.32
ICCS0301,Sexual violence,DK,Denmark,2010,36.32
ICCS0301,Sexual violence,DK,Denmark,2011,33.56
ICCS0301,Sexual violence,DK,Denmark,2012,34.12
ICCS0301,Sexual violence,DK,Denmark,2013,32.9
ICCS0301,Sexual violence,DK,Denmark,2014,42.08
ICCS0301,Sexual violence,DK,Denmark,2015,46.13
ICCS0301,Sexual violence,DK,Denmark,2016,66.46
ICCS0301,Sexual violence,DK,Denmark,2017,83.41
ICCS0301,Sexual violence,DK,Denmark,2018,95.83
ICCS0301,Sexual violence,DK,Denmark,2019,84.31
ICCS0301,Sexual violence,DK,Denmark,2020,92.22
ICCS0301,Sexual violence,DK,Denmark,2021,108.61
ICCS0301,Sexual violence,DK,Denmark,2022,107.19
ICCS0301,Sexual violence,DK,Denmark,2023,114.05
ICCS0301,Sexual violence,DK,Denmark,2024,91.04
ICCS0301,Sexual violence,DE,Germany,2008,69.07
ICCS0301,Sexual violence,DE,Germany,2009,59.86
ICCS0301,Sexual violence,DE,Germany,2010,44.7
ICCS0301,Sexual violence,DE,Germany,2011,45.32
ICCS0301,Sexual violence,DE,Germany,2012,45.16
ICCS0301,Sexual violence,DE,Germany,2013,43.88
ICCS0301,Sexual violence,DE,Germany,2014,43.28
ICCS0301,Sexual violence,DE,Germany,2015,42.2
ICCS0301,Sexual violence,DE,Germany,2016,45.23
ICCS0301,Sexual violence,DE,Germany,2017,42.19
ICCS0301,Sexual violence,DE,Germany,2018,49.02
ICCS0301,Sexual violence,DE,Germany,2019,49.05
ICCS0301,Sexual violence,DE,Germany,2020,49.39
ICCS0301,Sexual violence,DE,Germany,2021,50.26
ICCS0301,Sexual violence,DE,Germany,2022,59.7
ICCS0301,Sexual violence,DE,Germany,2023,63.35
ICCS0301,Sexual violence,DE,Germany,2024,65.14
ICCS0301,Sexual violence,IE,Ireland,2008,26.91
ICCS0301,Sexual violence,IE,Ireland,2009,31.98
ICCS0301,Sexual violence,IE,Ireland,2010,46.88
ICCS0301,Sexual violence,IE,Ireland,2011,39.53
ICCS0301,Sexual violence,IE,Ireland,2012,40.04
ICCS0301,Sexual violence,IE,Ireland,2013,38.73
ICCS0301,Sexual violence,IE,Ireland,2014,40.19
ICCS0301,Sexual violence,IE,Ireland,2015,49.3
ICCS0301,Sexual violence,IE,Ireland,2016,53.85
ICCS0301,Sexual violence,IE,Ireland,2017,52.9
ICCS0301,Sexual violence,IE,Ireland,2018,58.09
ICCS0301,Sexual violence,IE,Ireland,2019,58.28
ICCS0301,Sexual violence,IE,Ireland,2020,52.37
ICCS0301,Sexual violence,IE,Ireland,2021,59.07
ICCS0301,Sexual violence,IE,Ireland,2022,61.97
ICCS0301,Sexual violence,IE,Ireland,2023,56.32
ICCS0301,Sexual violence,IE,Ireland,2024,62.34
ICCS0301,Sexual violence,ES,Spain,2008,23.84
ICCS0301,Sexual violence,ES,Spain,2009,21.03
ICCS0301,Sexual violence,ES,Spain,2010,21.41
ICCS0301,Sexual violence,ES,Spain,2011,21.2
ICCS0301,Sexual violence,ES,Spain,2012,19.24
ICCS0301,Sexual violence,ES,Spain,2013,19.1
ICCS0301,Sexual violence,ES,Spain,2014,20.36
ICCS0301,Sexual violence,ES,Spain,2015,16.14
ICCS0301,Sexual violence,ES,Spain,2016,18.79
ICCS0301,Sexual violence,ES,Spain,2017,20.34
ICCS0301,Sexual violence,ES,Spain,2018,24.89
ICCS0301,Sexual violence,ES,Spain,2019,27.76
ICCS0301,Sexual violence,ES,Spain,2020,23.48
ICCS0301,Sexual violence,ES,Spain,2021,30.35
ICCS0301,Sexual violence,ES,Spain,2022,34.31
ICCS0301,Sexual violence,ES,Spain,2023,38.22
ICCS0301,Sexual violence,ES,Spain,2024,40.43
ICCS0301,Sexual violence,FR,France,2008,37.54
ICCS0301,Sexual violence,FR,France,2009,36.14
ICCS0301,Sexual violence,FR,France,2010,35.51
ICCS0301,Sexual violence,FR,France,2011,36.74
ICCS0301,Sexual violence,FR,France,2012,41.03
ICCS0301,Sexual violence,FR,France,2013,42.34
ICCS0301,Sexual violence,FR,France,2014,46.95
ICCS0301,Sexual violence,FR,France,2015,50.06
ICCS0301,Sexual violence,FR,France,2016,53.22
ICCS0301,Sexual violence,FR,France,2017,59.41
ICCS0301,Sexual violence,FR,France,2018,71.63
ICCS0301,Sexual violence,FR,France,2019,82.2
ICCS0301,Sexual violence,FR,France,2020,83.55
ICCS0301,Sexual violence,FR,France,2021,109.62
ICCS0301,Sexual violence,FR,France,2022,122.71
ICCS0301,Sexual violence,FR,France,2023,131.26
ICCS0301,Sexual violence,FR,France,2024,140.75
ICCS0301,Sexual violence,NL,Netherlands,2008,63.97
ICCS0301,Sexual violence,NL,Netherlands,2009,62.14
ICCS0301,Sexual violence,NL,Netherlands,2010,33.0
ICCS0301,Sexual violence,NL,Netherlands,2011,31.16
ICCS0301,Sexual violence,NL,Netherlands,2012,29.08
ICCS0301,Sexual violence,NL,Netherlands,2013,26.34
ICCS0301,Sexual violence,NL,Netherlands,2014,25.49
ICCS0301,Sexual violence,NL,Netherlands,2015,24.61
ICCS0301,Sexual violence,NL,Netherlands,2016,27.89
ICCS0301,Sexual violence,NL,Netherlands,2017,28.13
ICCS0301,Sexual violence,NL,Netherlands,2018,30.0
ICCS0301,Sexual violence,NL,Netherlands,2019,24.88
ICCS0301,Sexual violence,NL,Netherlands,2020,23.09
ICCS0301,Sexual violence,NL,Netherlands,2021,26.72
ICCS0301,Sexual violence,NL,Netherlands,2022,33.54
ICCS0301,Sexual violence,NL,Netherlands,2023,28.18
ICCS0301,Sexual violence,NL,Netherlands,2024,24.13
ICCS0301,Sexual violence,AT,Austria,2008,50.37
ICCS0301,Sexual violence,AT,Austria,2009,46.02
ICCS0301,Sexual violence,AT,Austria,2010,41.86
ICCS0301,Sexual violence,AT,Austria,2011,47.25
ICCS0301,Sexual violence,AT,Austria,2012,48.05
ICCS0301,Sexual violence,AT,Austria,2013,44.72
ICCS0301,Sexual violence,AT,Austria,2014,41.9
ICCS0301,Sexual violence,AT,Austria,2015,40.57
ICCS0301,Sexual violence,AT,Austria,2016,50.53
ICCS0301,Sexual violence,AT,Austria,2017,48.48
ICCS0301,Sexual violence,AT,Austria,2018,50.16
ICCS0301,Sexual violence,AT,Austria,2019,50.9
ICCS0301,Sexual violence,AT,Austria,2020,46.52
ICCS0301,Sexual violence,AT,Austria,2021,48.74
ICCS0301,Sexual violence,AT,Austria,2022,55.33
ICCS0301,Sexual violence,AT,Austria,2023,59.83
ICCS0301,Sexual violence,AT,Austria,2024,61.07
ICCS0301,Sexual violence,SE,Sweden,2008,153.09
ICCS0301,Sexual violence,SE,Sweden,2009,162.03
ICCS0301,Sexual violence,SE,Sweden,2010,166.34
ICCS0301,Sexual violence,SE,Sweden,2011,170.94
ICCS0301,Sexual violence,SE,Sweden,2012,170.56
ICCS0301,Sexual violence,SE,Sweden,2013,155.83
ICCS0301,Sexual violence,SE,Sweden,2014,175.33
ICCS0301,Sexual violence,SE,Sweden,2015,156.32
ICCS0301,Sexual violence,SE,Sweden,2016,179.48
ICCS0301,Sexual violence,SE,Sweden,2017,188.83
ICCS0301,Sexual violence,SE,Sweden,2018,190.43
ICCS0301,Sexual violence,SE,Sweden,2019,195.11
ICCS0301,Sexual violence,SE,Sweden,2020,204.73
ICCS0301,Sexual violence,SE,Sweden,2021,217.72
ICCS0301,Sexual violence,SE,Sweden,2022,200.34
ICCS0301,Sexual violence,SE,Sweden,2023,192.08
ICCS0301,Sexual violence,SE,Sweden,2024,200.98
ICCS0301,Sexual violence,UKC-L,England and Wales,2008,64.65
ICCS0301,Sexual violence,UKC-L,England and Wales,2009,67.78
ICCS0301,Sexual violence,UKC-L,England and Wales,2010,70.52
ICCS0301,Sexual violence,UKC-L,England and Wales,2011,68.47
ICCS0301,Sexual violence,UKC-L,England and Wales,2012,69.06
ICCS0301,Sexual violence,UKC-L,England and Wales,2013,82.57
ICCS0301,Sexual violence,UKC-L,England and Wales,2014,137.79
ICCS0301,Sexual violence,UKC-L,England and Wales,2015,184.81
ICCS0301,Sexual violence,UKC-L,England and Wales,2016,210.19
ICCS0301,Sexual violence,UKC-L,England and Wales,2017,258.05
ICCS0301,Sexual violence,UKC-L,England and Wales,2018,274.81
ICCS0301,Sexual violence,UKC-L,England and Wales,2019,
ICCS0301,Sexual violence,UKC-L,England and Wales,2020,
ICCS0301,Sexual violence,UKC-L,England and Wales,2021,
ICCS0301,Sexual violence,UKC-L,England and Wales,2022,
ICCS0301,Sexual violence,UKC-L,England and Wales,2023,
ICCS0301,Sexual violence,UKC-L,England and Wales,2024,
ICCS03011,Rape,DK,Denmark,2008,17.81
ICCS03011,Rape,DK,Denmark,2009,15.93
ICCS03011,Rape,DK,Denmark,2010,17.24
ICCS03011,Rape,DK,Denmark,2011,15.34
ICCS03011,Rape,DK,Denmark,2012,15.57
ICCS03011,Rape,DK,Denmark,2013,14.98
ICCS03011,Rape,DK,Denmark,2014,14.87
ICCS03011,Rape,DK,Denmark,2015,18.57
ICCS03011,Rape,DK,Denmark,2016,29.42
