geo,country,chart_2024_measured,recomputed_ICCS03012,recomputed_ICCS0301,pct_gap_vs_03012
FR,France,273.0,262.4,299.8,4.0
DK,Denmark,204.2,191.8,216.3,6.5
ES,Spain,174.9,167.8,198.6,4.2
IE,Ireland,165.3,143.8,155.1,15.0
AT,Austria,136.0,126.5,145.8,7.5
SE,Sweden,110.3,101.2,114.6,9.0
NL,Netherlands,105.5,99.0,94.7,6.6
UKC-L,England and Wales,line ends 2018 at ~168,164.0 (2018); no Eurostat data 2019-2024,199.4 (2018); no Eurostat data 2019-2024,
