iccs,geo,geo_label,year,rate,index_2014_100
ICCS0301,AT,Austria,2014,41.9,100.0
ICCS0301,AT,Austria,2015,40.57,96.8
ICCS0301,AT,Austria,2016,50.53,120.6
ICCS0301,AT,Austria,2017,48.48,115.7
ICCS0301,AT,Austria,2018,50.16,119.7
ICCS0301,AT,Austria,2019,50.9,121.5
ICCS0301,AT,Austria,2020,46.52,111.0
ICCS0301,AT,Austria,2021,48.74,116.3
ICCS0301,AT,Austria,2022,55.33,132.1
ICCS0301,AT,Austria,2023,59.83,142.8
ICCS0301,AT,Austria,2024,61.07,145.8
ICCS0301,DE,Germany,2014,43.28,100.0
ICCS0301,DE,Germany,2015,42.2,97.5
ICCS0301,DE,Germany,2016,45.23,104.5
ICCS0301,DE,Germany,2017,42.19,97.5
ICCS0301,DE,Germany,2018,49.02,113.3
ICCS0301,DE,Germany,2019,49.05,113.3
ICCS0301,DE,Germany,2020,49.39,114.1
ICCS0301,DE,Germany,2021,50.26,116.1
ICCS0301,DE,Germany,2022,59.7,137.9
ICCS0301,DE,Germany,2023,63.35,146.4
ICCS0301,DE,Germany,2024,65.14,150.5
ICCS0301,DK,Denmark,2014,42.08,100.0
ICCS0301,DK,Denmark,2015,46.13,109.6
ICCS0301,DK,Denmark,2016,66.46,157.9
ICCS0301,DK,Denmark,2017,83.41,198.2
ICCS0301,DK,Denmark,2018,95.83,227.7
ICCS0301,DK,Denmark,2019,84.31,200.4
ICCS0301,DK,Denmark,2020,92.22,219.2
ICCS0301,DK,Denmark,2021,108.61,258.1
ICCS0301,DK,Denmark,2022,107.19,254.7
ICCS0301,DK,Denmark,2023,114.05,271.0
ICCS0301,DK,Denmark,2024,91.04,216.3
ICCS0301,ES,Spain,2014,20.36,100.0
ICCS0301,ES,Spain,2015,16.14,79.3
ICCS0301,ES,Spain,2016,18.79,92.3
ICCS0301,ES,Spain,2017,20.34,99.9
ICCS0301,ES,Spain,2018,24.89,122.2
ICCS0301,ES,Spain,2019,27.76,136.3
ICCS0301,ES,Spain,2020,23.48,115.3
ICCS0301,ES,Spain,2021,30.35,149.1
ICCS0301,ES,Spain,2022,34.31,168.5
ICCS0301,ES,Spain,2023,38.22,187.7
ICCS0301,ES,Spain,2024,40.43,198.6
ICCS0301,FR,France,2014,46.95,100.0
ICCS0301,FR,France,2015,50.06,106.6
ICCS0301,FR,France,2016,53.22,113.4
ICCS0301,FR,France,2017,59.41,126.5
ICCS0301,FR,France,2018,71.63,152.6
ICCS0301,FR,France,2019,82.2,175.1
ICCS0301,FR,France,2020,83.55,178.0
ICCS0301,FR,France,2021,109.62,233.5
ICCS0301,FR,France,2022,122.71,261.4
ICCS0301,FR,France,2023,131.26,279.6
ICCS0301,FR,France,2024,140.75,299.8
ICCS0301,IE,Ireland,2014,40.19,100.0
ICCS0301,IE,Ireland,2015,49.3,122.7
ICCS0301,IE,Ireland,2016,53.85,134.0
ICCS0301,IE,Ireland,2017,52.9,131.6
ICCS0301,IE,Ireland,2018,58.09,144.5
ICCS0301,IE,Ireland,2019,58.28,145.0
ICCS0301,IE,Ireland,2020,52.37,130.3
ICCS0301,IE,Ireland,2021,59.07,147.0
ICCS0301,IE,Ireland,2022,61.97,154.2
ICCS0301,IE,Ireland,2023,56.32,140.1
ICCS0301,IE,Ireland,2024,62.34,155.1
ICCS0301,NL,Netherlands,2014,25.49,100.0
ICCS0301,NL,Netherlands,2015,24.61,96.5
ICCS0301,NL,Netherlands,2016,27.89,109.4
ICCS0301,NL,Netherlands,2017,28.13,110.4
ICCS0301,NL,Netherlands,2018,30.0,117.7
ICCS0301,NL,Netherlands,2019,24.88,97.6
ICCS0301,NL,Netherlands,2020,23.09,90.6
ICCS0301,NL,Netherlands,2021,26.72,104.8
ICCS0301,NL,Netherlands,2022,33.54,131.6
ICCS0301,NL,Netherlands,2023,28.18,110.6
ICCS0301,NL,Netherlands,2024,24.13,94.7
ICCS0301,SE,Sweden,2014,175.33,100.0
ICCS0301,SE,Sweden,2015,156.32,89.2
ICCS0301,SE,Sweden,2016,179.48,102.4
ICCS0301,SE,Sweden,2017,188.83,107.7
ICCS0301,SE,Sweden,2018,190.43,108.6
ICCS0301,SE,Sweden,2019,195.11,111.3
ICCS0301,SE,Sweden,2020,204.73,116.8
ICCS0301,SE,Sweden,2021,217.72,124.2
ICCS0301,SE,Sweden,2022,200.34,114.3
ICCS0301,SE,Sweden,2023,192.08,109.6
ICCS0301,SE,Sweden,2024,200.98,114.6
ICCS0301,UKC-L,England and Wales,2014,137.79,100.0
ICCS0301,UKC-L,England and Wales,2015,184.81,134.1
ICCS0301,UKC-L,England and Wales,2016,210.19,152.5
ICCS0301,UKC-L,England and Wales,2017,258.05,187.3
ICCS0301,UKC-L,England and Wales,2018,274.81,199.4
ICCS0301,UKC-L,England and Wales,2019,,
ICCS0301,UKC-L,England and Wales,2020,,
ICCS0301,UKC-L,England and Wales,2021,,
ICCS0301,UKC-L,England and Wales,2022,,
ICCS0301,UKC-L,England and Wales,2023,,
ICCS0301,UKC-L,England and Wales,2024,,
ICCS03011,AT,Austria,2014,13.68,100.0
ICCS03011,AT,Austria,2015,13.18,96.3
ICCS03011,AT,Austria,2016,14.17,103.6
ICCS03011,AT,Austria,2017,17.01,124.3
ICCS03011,AT,Austria,2018,18.88,138.0
ICCS03011,AT,Austria,2019,18.92,138.3
ICCS03011,AT,Austria,2020,18.92,138.3
ICCS03011,AT,Austria,2021,20.61,150.7
ICCS03011,AT,Austria,2022,22.89,167.3
ICCS03011,AT,Austria,2023,25.57,186.9
ICCS03011,AT,Austria,2024,26.29,192.2
ICCS03011,DE,Germany,2014,9.09,100.0
ICCS03011,DE,Germany,2015,8.65,95.2
ICCS03011,DE,Germany,2016,9.64,106.1
ICCS03011,DE,Germany,2017,10.07,110.8
ICCS03011,DE,Germany,2018,10.91,120.0
ICCS03011,DE,Germany,2019,11.53,126.8
ICCS03011,DE,Germany,2020,12.17,133.9
ICCS03011,DE,Germany,2021,12.52,137.7
ICCS03011,DE,Germany,2022,15.09,166.0
ICCS03011,DE,Germany,2023,15.77,173.5
ICCS03011,DE,Germany,2024,17.09,188.0
ICCS03011,DK,Denmark,2014,14.87,100.0
ICCS03011,DK,Denmark,2015,18.57,124.9
ICCS03011,DK,Denmark,2016,29.42,197.8
ICCS03011,DK,Denmark,2017,31.36,210.9
ICCS03011,DK,Denmark,2018,38.35,257.9
ICCS03011,DK,Denmark,2019,35.33,237.6
ICCS03011,DK,Denmark,2020,37.35,251.2
ICCS03011,DK,Denmark,2021,45.51,306.1
ICCS03011,DK,Denmark,2022,48.2,324.1
ICCS03011,DK,Denmark,2023,40.03,269.2
ICCS03011,DK,Denmark,2024,38.83,261.1
ICCS03011,ES,Spain,2014,2.66,100.0
ICCS03011,ES,Spain,2015,2.65,99.6
ICCS03011,ES,Spain,2016,2.69,101.1
ICCS03011,ES,Spain,2017,2.98,112.0
ICCS03011,ES,Spain,2018,3.64,136.8
ICCS03011,ES,Spain,2019,3.99,150.0
ICCS03011,ES,Spain,2020,3.37,126.7
ICCS03011,ES,Spain,2021,4.52,169.9
ICCS03011,ES,Spain,2022,6.03,226.7
ICCS03011,ES,Spain,2023,10.17,382.3
ICCS03011,ES,Spain,2024,10.74,403.8
ICCS03011,FR,France,2014,18.44,100.0
ICCS03011,FR,France,2015,19.28,104.6
ICCS03011,FR,France,2016,22.52,122.1
ICCS03011,FR,France,2017,24.35,132.0
ICCS03011,FR,France,2018,28.58,155.0
ICCS03011,FR,France,2019,34.05,184.7
ICCS03011,FR,France,2020,37.95,205.8
ICCS03011,FR,France,2021,50.13,271.9
ICCS03011,FR,France,2022,55.98,303.6
ICCS03011,FR,France,2023,61.0,330.8
ICCS03011,FR,France,2024,65.95,357.6
ICCS03011,IE,Ireland,2014,10.35,100.0
ICCS03011,IE,Ireland,2015,14.24,137.6
ICCS03011,IE,Ireland,2016,14.73,142.3
ICCS03011,IE,Ireland,2017,17.54,169.5
ICCS03011,IE,Ireland,2018,21.32,206.0
ICCS03011,IE,Ireland,2019,21.72,209.9
ICCS03011,IE,Ireland,2020,20.87,201.6
ICCS03011,IE,Ireland,2021,22.05,213.0
ICCS03011,IE,Ireland,2022,21.57,208.4
ICCS03011,IE,Ireland,2023,19.39,187.3
ICCS03011,IE,Ireland,2024,19.43,187.7
ICCS03011,NL,Netherlands,2014,7.25,100.0
ICCS03011,NL,Netherlands,2015,7.48,103.2
ICCS03011,NL,Netherlands,2016,9.04,124.7
ICCS03011,NL,Netherlands,2017,10.3,142.1
ICCS03011,NL,Netherlands,2018,11.29,155.7
ICCS03011,NL,Netherlands,2019,11.89,164.0
ICCS03011,NL,Netherlands,2020,11.86,163.6
ICCS03011,NL,Netherlands,2021,13.76,189.8
ICCS03011,NL,Netherlands,2022,16.51,227.7
ICCS03011,NL,Netherlands,2023,13.78,190.1
ICCS03011,NL,Netherlands,2024,13.46,185.7
ICCS03011,SE,Sweden,2014,65.26,100.0
ICCS03011,SE,Sweden,2015,56.88,87.2
ICCS03011,SE,Sweden,2016,64.06,98.2
ICCS03011,SE,Sweden,2017,69.72,106.8
ICCS03011,SE,Sweden,2018,74.85,114.7
ICCS03011,SE,Sweden,2019,80.85,123.9
ICCS03011,SE,Sweden,2020,86.02,131.8
ICCS03011,SE,Sweden,2021,89.74,137.5
ICCS03011,SE,Sweden,2022,86.38,132.4
ICCS03011,SE,Sweden,2023,84.66,129.7
ICCS03011,SE,Sweden,2024,88.22,135.2
ICCS03011,UKC-L,England and Wales,2014,51.4,100.0
ICCS03011,UKC-L,England and Wales,2015,62.28,121.2
ICCS03011,UKC-L,England and Wales,2016,71.59,139.3
ICCS03011,UKC-L,England and Wales,2017,92.29,179.6
ICCS03011,UKC-L,England and Wales,2018,99.48,193.5
ICCS03011,UKC-L,England and Wales,2019,,
ICCS03011,UKC-L,England and Wales,2020,,
ICCS03011,UKC-L,England and Wales,2021,,
ICCS03011,UKC-L,England and Wales,2022,,
ICCS03011,UKC-L,England and Wales,2023,,
ICCS03011,UKC-L,England and Wales,2024,,
ICCS03012,AT,Austria,2014,24.91,100.0
ICCS03012,AT,Austria,2015,23.43,94.1
ICCS03012,AT,Austria,2016,32.46,130.3
ICCS03012,AT,Austria,2017,27.55,110.6
ICCS03012,AT,Austria,2018,27.48,110.3
ICCS03012,AT,Austria,2019,26.64,106.9
ICCS03012,AT,Austria,2020,23.99,96.3
ICCS03012,AT,Austria,2021,24.73,99.3
ICCS03012,AT,Austria,2022,28.6,114.8
ICCS03012,AT,Austria,2023,30.81,123.7
ICCS03012,AT,Austria,2024,31.52,126.5
ICCS03012,DE,Germany,2014,34.19,100.0
ICCS03012,DE,Germany,2015,33.55,98.1
ICCS03012,DE,Germany,2016,35.59,104.1
ICCS03012,DE,Germany,2017,32.12,93.9
ICCS03012,DE,Germany,2018,38.11,111.5
ICCS03012,DE,Germany,2019,37.52,109.7
ICCS03012,DE,Germany,2020,37.22,108.9
ICCS03012,DE,Germany,2021,37.74,110.4
ICCS03012,DE,Germany,2022,44.61,130.5
ICCS03012,DE,Germany,2023,47.58,139.2
ICCS03012,DE,Germany,2024,48.04,140.5
ICCS03012,DK,Denmark,2014,27.21,100.0
ICCS03012,DK,Denmark,2015,27.56,101.3
ICCS03012,DK,Denmark,2016,37.04,136.1
ICCS03012,DK,Denmark,2017,52.05,191.3
ICCS03012,DK,Denmark,2018,57.48,211.2
ICCS03012,DK,Denmark,2019,48.98,180.0
ICCS03012,DK,Denmark,2020,54.87,201.7
ICCS03012,DK,Denmark,2021,63.1,231.9
ICCS03012,DK,Denmark,2022,58.99,216.8
ICCS03012,DK,Denmark,2023,74.01,272.0
ICCS03012,DK,Denmark,2024,52.2,191.8
ICCS03012,ES,Spain,2014,17.69,100.0
ICCS03012,ES,Spain,2015,13.49,76.3
ICCS03012,ES,Spain,2016,16.1,91.0
ICCS03012,ES,Spain,2017,17.36,98.1
ICCS03012,ES,Spain,2018,21.24,120.1
ICCS03012,ES,Spain,2019,23.77,134.4
ICCS03012,ES,Spain,2020,20.1,113.6
ICCS03012,ES,Spain,2021,25.82,146.0
