cell,n,arrested,incarc
"All men, gen 1.5",787,13.7,7.5
"All men, gen 2nd",871,21.1,11.8
"All men, gen 3rd+",538,35.7,23.4
Mexican men 1.5,138,22.5,12.3
Mexican men 2nd,265,28.7,20.0
Mexican men 3rd+,182,39.0,26.4
SalvGuat men 1.5,87,21.8,11.5
SalvGuat men 2nd,96,35.4,16.7
White NH men 1.5,33,9.1,3.0
White NH men 2nd,97,22.7,12.4
White NH men 3rd+,186,26.9,16.1
Black NH men 3rd+,168,42.3,28.6
Asian men (all gen),845,10.2,4.6
Latino men (all gen),854,29.4,18.4
