group,n,gang_big_problem_pct
Mexican 1.5,290,37.7
Mexican 2nd,553,27.5
Mexican 3rd+,401,18.3
SalvGuat 1.5+2nd,376,34.0
Chinese,400,5.0
Korean,399,4.8
Vietnamese,401,11.5
Filipino 2nd,214,11.2
White NH 3rd+,407,5.4
Black NH 3rd+,405,23.6
