ethnos10,welfare_asked_pct,income_asked_pct
1,99.7588424437299,94.61414790996785
2,99.46808510638297,94.41489361702128
3,100.0,94.68085106382979
4,99.25,94.0
5,99.75062344139651,94.2643391521197
6,99.25187032418953,93.51620947630923
7,99.50124688279301,94.2643391521197
8,98.94736842105263,93.6842105263158
9,99.85795454545455,97.1590909090909
10,99.10112359550561,94.6067415730337
