group,arrested,incarcerated,no_hs,ba_plus,medicaid_full,tanf_full,any_welfare,any_welfare_asked,employed,owns_home,inc_ge30k,intermarried,inc_ratio
Mexican 1.5,0.65,0.68,4.05,0.29,3.64,1.22,2.92,1.77,1.04,0.9,0.58,0.4,0.64
Mexican 2nd,0.84,1.06,2.09,0.39,2.89,1.92,2.58,1.89,0.98,0.72,0.72,0.79,0.64
Mexican 3rd+,1.23,1.42,2.03,0.38,2.09,1.76,1.9,1.6,1.0,0.83,0.83,1.74,1.0
SalvGuat 1.5+2nd,0.84,0.8,1.73,0.38,2.9,1.49,2.46,1.69,0.99,0.52,0.61,0.38,0.64
Chinese 1.5+2nd,0.23,0.17,0.05,1.48,1.0,0.65,0.9,1.04,0.98,0.78,1.09,0.74,1.0
Korean 1.5+2nd,0.44,0.26,0.25,1.38,1.02,0.58,0.94,0.99,0.9,0.84,0.93,0.58,0.64
Vietnamese 1.5+2nd,0.24,0.3,0.22,1.09,2.84,2.12,2.4,2.16,0.89,0.68,0.72,0.61,0.24
Filipino 2nd,0.34,0.35,0.21,1.02,0.96,0.84,1.02,1.15,0.96,0.73,0.88,2.09,0.64
Filipino 1.5+2nd,0.36,0.4,0.33,0.97,1.03,0.99,1.07,1.21,0.99,0.8,0.9,1.84,0.64
White NH 3rd+,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Black NH 3rd+,1.41,1.82,1.71,0.46,3.37,3.49,3.08,2.07,0.91,0.51,0.8,1.01,0.82
