group,sex,n_total,arrested_n,arrested_pct,incarcerated_n,incarcerated_pct,no_hs_n,no_hs_pct,ba_plus_n,ba_plus_pct,medicaid_full_n,medicaid_full_pct,tanf_full_n,tanf_full_pct,any_welfare_n,any_welfare_pct,any_welfare_asked_n,any_welfare_asked_pct,employed_n,employed_pct,owns_home_n,owns_home_pct,inc_ge30k_n,inc_ge30k_pct,intermarried_n,intermarried_pct,inc_n,inc_median_cat,inc_median_mid$
Mexican 1.5,pooled,290,290,13.4,290,7.2,290,36.9,290,12.4,287,32.4,288,9.0,289,33.6,220,44.1,273,75.8,289,31.8,267,24.0,169,8.9,267,3.0,16000.0
Mexican 2nd,pooled,553,553,17.4,553,11.2,553,19.0,553,16.8,545,25.7,551,14.2,552,29.7,349,47.0,534,71.5,552,25.4,524,29.8,260,17.7,524,3.0,16000.0
Mexican 3rd+,pooled,401,401,25.4,401,15.0,401,18.5,401,16.7,397,18.6,400,13.0,400,21.8,218,39.9,394,73.4,401,29.4,386,34.5,208,38.9,386,4.0,25000.0
SalvGuat 1.5+2nd,pooled,376,376,17.3,376,8.5,376,15.7,376,16.5,372,25.8,373,11.0,374,28.3,252,42.1,363,72.2,376,18.6,355,25.4,153,8.5,355,3.0,16000.0
Chinese 1.5+2nd,pooled,400,400,4.8,400,1.8,400,0.5,400,64.5,394,8.9,394,4.8,397,10.3,159,25.8,382,72.0,398,27.6,376,45.2,115,16.5,376,4.0,25000.0
Korean 1.5+2nd,pooled,399,399,9.0,399,2.8,399,2.3,399,59.9,395,9.1,397,4.3,398,10.8,174,24.7,378,65.9,397,29.7,376,38.6,132,12.9,376,3.0,16000.0
Vietnamese 1.5+2nd,pooled,401,401,5.0,401,3.2,401,2.0,401,47.6,396,25.3,396,15.7,398,27.6,205,53.7,368,65.2,400,24.2,375,29.9,111,13.5,375,2.0,6000.0
Filipino 2nd,pooled,214,214,7.0,214,3.7,214,1.9,214,44.4,213,8.5,211,6.2,214,11.7,87,28.7,202,70.3,213,25.8,204,36.3,71,46.5,204,3.0,16000.0
Filipino 1.5+2nd,pooled,401,401,7.5,401,4.2,401,3.0,401,42.1,391,9.2,395,7.3,399,12.3,162,30.2,384,72.1,400,28.5,378,37.3,158,41.1,378,3.0,16000.0
White NH 3rd+,pooled,407,407,20.6,407,10.6,407,9.1,407,43.5,406,8.9,405,7.4,407,11.5,189,24.9,402,73.1,406,35.5,396,41.4,215,22.3,396,4.0,25000.0
Black NH 3rd+,pooled,405,405,29.1,405,19.3,405,15.6,405,20.2,400,30.0,399,25.8,401,35.4,275,51.6,397,66.2,405,18.0,382,33.2,138,22.5,382,3.5,20500.0
Mexican 1.5,men,143,143,23.8,143,12.6,143,39.2,143,12.6,141,27.7,142,6.3,142,28.9,101,40.6,142,83.8,143,30.1,132,31.1,83,10.8,132,4.0,25000.0
Mexican 2nd,men,273,273,29.3,273,20.1,273,22.0,273,18.7,267,18.7,272,11.8,272,23.2,152,41.4,267,75.7,273,25.6,259,35.1,118,22.9,259,4.0,25000.0
Mexican 3rd+,men,192,192,39.6,192,26.6,192,21.4,192,15.1,189,11.1,191,11.0,191,15.2,90,32.2,190,83.2,192,29.7,184,47.3,98,42.9,184,4.0,25000.0
SalvGuat 1.5+2nd,men,187,187,29.4,187,14.4,187,16.0,187,12.3,184,22.3,185,10.3,186,25.3,122,38.5,186,80.1,187,19.3,179,31.3,67,6.0,179,4.0,25000.0
Chinese 1.5+2nd,men,226,226,6.6,226,2.7,226,0.4,226,59.3,225,7.6,224,1.8,226,8.0,80,22.5,213,73.2,226,25.7,212,45.3,61,11.5,212,4.0,25000.0
Korean 1.5+2nd,men,198,198,13.6,198,3.0,198,2.0,198,56.1,195,10.3,198,4.0,198,12.1,84,28.6,186,74.7,197,21.8,189,42.3,57,19.3,189,4.0,25000.0
Vietnamese 1.5+2nd,men,201,201,7.0,201,4.5,201,2.0,201,45.8,197,24.4,196,14.8,198,27.8,92,59.8,183,68.9,200,23.5,189,32.3,51,11.8,189,3.0,16000.0
Filipino 2nd,men,110,110,9.1,110,5.5,110,0.9,110,41.8,109,6.4,109,6.4,110,11.8,46,28.3,101,69.3,110,24.5,102,42.2,32,31.2,102,3.0,16000.0
Filipino 1.5+2nd,men,197,197,12.7,197,7.6,197,2.5,197,38.6,189,6.3,193,6.7,195,10.8,81,25.9,184,73.9,197,26.4,182,43.4,73,32.9,182,4.0,25000.0
White NH 3rd+,men,201,201,28.9,201,17.4,201,11.9,201,42.8,201,6.0,199,5.5,201,9.0,84,21.4,199,79.9,200,35.5,197,53.3,109,22.9,197,5.0,40000.0
Black NH 3rd+,men,186,186,40.9,186,28.0,186,16.1,186,19.9,183,20.2,183,16.9,184,26.1,110,43.6,180,72.2,186,18.8,177,35.6,70,25.7,177,4.0,25000.0
Mexican 1.5,women,147,147,3.4,147,2.0,147,34.7,147,12.2,146,37.0,146,11.6,147,38.1,119,47.1,131,67.2,146,33.6,135,17.0,86,7.0,135,2.0,6000.0
Mexican 2nd,women,280,280,5.7,280,2.5,280,16.1,280,15.0,278,32.4,279,16.5,280,36.1,197,51.3,267,67.4,279,25.1,265,24.5,142,13.4,265,3.0,16000.0
Mexican 3rd+,women,209,209,12.4,209,4.3,209,15.8,209,18.2,208,25.5,209,14.8,209,27.8,128,45.3,204,64.2,209,29.2,202,22.8,110,35.5,202,3.0,16000.0
SalvGuat 1.5+2nd,women,189,189,5.3,189,2.6,189,15.3,189,20.6,188,29.3,188,11.7,188,31.4,130,45.4,177,63.8,189,18.0,176,19.3,86,10.5,176,3.0,16000.0
Chinese 1.5+2nd,women,174,174,2.3,174,0.6,174,0.6,174,71.3,169,10.7,170,8.8,171,13.5,79,29.1,169,70.4,172,30.2,164,45.1,54,22.2,164,4.0,25000.0
Korean 1.5+2nd,women,201,201,4.5,201,2.5,201,2.5,201,63.7,200,8.0,199,4.5,200,9.5,90,21.1,192,57.3,200,37.5,187,34.8,75,8.0,187,3.0,16000.0
Vietnamese 1.5+2nd,women,200,200,3.0,200,2.0,200,2.0,200,49.5,199,26.1,200,16.5,200,27.5,113,48.7,185,61.6,200,25.0,186,27.4,60,15.0,186,2.0,6000.0
Filipino 2nd,women,104,104,4.8,104,1.9,104,2.9,104,47.1,104,10.6,102,5.9,104,11.5,41,29.3,101,71.3,103,27.2,102,30.4,39,59.0,102,3.0,16000.0
Filipino 1.5+2nd,women,204,204,2.5,204,1.0,204,3.4,204,45.6,202,11.9,202,7.9,204,13.7,81,34.6,200,70.5,203,30.5,196,31.6,85,48.2,196,3.0,16000.0
White NH 3rd+,women,206,206,12.6,206,3.9,206,6.3,206,44.2,205,11.7,206,9.2,206,14.1,105,27.6,203,66.5,206,35.4,199,29.6,106,21.7,199,3.0,16000.0
Black NH 3rd+,women,219,219,19.2,219,11.9,219,15.1,219,20.5,217,38.2,216,33.3,217,43.3,165,57.0,217,61.3,219,17.4,205,31.2,68,19.1,205,3.0,16000.0
