construction,n,mean_ysm,resid_lnw,delta,gamma,tau,tag,source,note
"ACS 2023-24, arrivals 2015-19, 0-5 years since arrival",1223,4.683040,-0.245424,0.217627,0.523000,0.416113,CALCULATION,infra/immigration-fiscal/arrival_cohorts_2026_09_18/derived/acs_wage_residual_by_ysm_band.csv,"conditional on year x sex x age group x education, vs US-born NH white; full-time full-year workers only"
"ACS 2023-24, arrivals 2020-21, 0-5 years since arrival",1620,2.892406,-0.303726,0.261937,0.523000,0.500836,CALCULATION,infra/immigration-fiscal/arrival_cohorts_2026_09_18/derived/acs_wage_residual_by_ysm_band.csv,"conditional on year x sex x age group x education, vs US-born NH white; full-time full-year workers only"
"ACS 2023-24, arrivals 2022-24, 0-5 years since arrival",2283,1.080160,-0.320353,0.274107,0.523000,0.524106,CALCULATION,infra/immigration-fiscal/arrival_cohorts_2026_09_18/derived/acs_wage_residual_by_ysm_band.csv,"conditional on year x sex x age group x education, vs US-born NH white; full-time full-year workers only"
"IPUMS census/ACS [1980], arrivals pre1980, 0-5 years since arrival",4659,nan,-0.404462,0.332664,0.523000,0.636070,CALCULATION,infra/immigration-fiscal/arrival_cohorts_2026_09_18/derived/ipums_wage_residual_by_ysm_band.csv,"total income, all-sex (panel has no SEX/INCWAGE, ladder 133); conditional on age and education vs US-born NH white"
"IPUMS census/ACS [1990], arrivals 1980-89, 0-5 years since arrival",7101,nan,-0.426979,0.347523,0.523000,0.664480,CALCULATION,infra/immigration-fiscal/arrival_cohorts_2026_09_18/derived/ipums_wage_residual_by_ysm_band.csv,"total income, all-sex (panel has no SEX/INCWAGE, ladder 133); conditional on age and education vs US-born NH white"
"IPUMS census/ACS [2000], arrivals 1990-99, 0-5 years since arrival",17345,nan,-0.357383,0.300496,0.523000,0.574562,CALCULATION,infra/immigration-fiscal/arrival_cohorts_2026_09_18/derived/ipums_wage_residual_by_ysm_band.csv,"total income, all-sex (panel has no SEX/INCWAGE, ladder 133); conditional on age and education vs US-born NH white"
"IPUMS census/ACS [2000], arrivals 2000-07, 0-5 years since arrival",877,nan,-0.350958,0.295987,0.523000,0.565940,CALCULATION,infra/immigration-fiscal/arrival_cohorts_2026_09_18/derived/ipums_wage_residual_by_ysm_band.csv,"total income, all-sex (panel has no SEX/INCWAGE, ladder 133); conditional on age and education vs US-born NH white"
"IPUMS census/ACS [2023], arrivals 2015-19, 0-5 years since arrival",996,nan,-0.200327,0.181537,0.523000,0.347107,CALCULATION,infra/immigration-fiscal/arrival_cohorts_2026_09_18/derived/ipums_wage_residual_by_ysm_band.csv,"total income, all-sex (panel has no SEX/INCWAGE, ladder 133); conditional on age and education vs US-born NH white"
"IPUMS census/ACS [2023], arrivals 2020-24, 0-5 years since arrival",1898,nan,-0.275535,0.240834,0.523000,0.460486,CALCULATION,infra/immigration-fiscal/arrival_cohorts_2026_09_18/derived/ipums_wage_residual_by_ysm_band.csv,"total income, all-sex (panel has no SEX/INCWAGE, ladder 133); conditional on age and education vs US-born NH white"
