country,zeta,lambda,mu,delta_paper,a_paper,gamma_country,tau_paper
Bangladesh,-0.764,0.0326,-0.000277,0.456,0.0525,0.918,0.497
Ghana,-0.581,0.0508,-0.000922,0.296,0.107,0.907,0.326
Guyana,-0.269,0.0272,-0.000453,0.134,0.128,0.854,0.157
Haiti,-0.503,0.0315,-0.000459,0.3,0.0752,0.737,0.407
Liberia,-0.26,0.0195,-0.000405,0.159,0.0862,0.967,0.164
Mexico,-0.15,0.00335,-1.26e-05,0.125,0.0282,0.523,0.239
Nepal,-0.792,0.0629,-0.000993,0.395,0.0978,0.929,0.425
Nicaragua,-0.417,0.022,-0.000318,0.27,0.0612,0.876,0.308
Somalia,-0.287,-0.0162,0.00079,0.294,0.0255,0.826,0.356
