a,tau,c,mstar
0.002,0.60,0.50,-0.030028
0.002,0.60,0.90,-0.020176
0.002,0.65,0.00,-0.077549
0.002,0.65,0.50,-0.031704
0.002,0.65,0.90,-0.021524
0.002,0.70,0.00,-0.077962
0.002,0.70,0.50,-0.033278
0.002,0.70,0.90,-0.022816
0.002,0.75,0.00,-0.078320
0.002,0.75,0.50,-0.034759
0.002,0.75,0.90,-0.024056
0.002,0.80,0.00,-0.078634
0.002,0.80,0.50,-0.036155
0.002,0.80,0.90,-0.025245
0.002,0.85,0.00,-0.078910
0.002,0.85,0.50,-0.037473
0.002,0.85,0.90,-0.026388
0.002,0.90,0.00,-0.079156
0.002,0.90,0.50,-0.038719
0.002,0.90,0.90,-0.027486
0.002,0.95,0.00,-0.079376
0.002,0.95,0.50,-0.039899
0.002,0.95,0.90,-0.028543
0.002,1.00,0.00,-0.079574
0.002,1.00,0.50,-0.041019
0.002,1.00,0.90,-0.029561
0.003,0.05,0.00,0.029458
0.003,0.05,0.50,0.001488
0.003,0.05,0.90,0.000846
0.003,0.10,0.00,-0.026938
0.003,0.10,0.50,-0.002590
0.003,0.10,0.90,-0.001503
0.003,0.15,0.00,-0.045736
0.003,0.15,0.50,-0.006294
0.003,0.15,0.90,-0.003725
0.003,0.20,0.00,-0.055136
0.003,0.20,0.50,-0.009674
0.003,0.20,0.90,-0.005829
0.003,0.25,0.00,-0.060775
0.003,0.25,0.50,-0.012769
0.003,0.25,0.90,-0.007824
0.003,0.30,0.00,-0.064535
0.003,0.30,0.50,-0.015614
0.003,0.30,0.90,-0.009720
0.003,0.35,0.00,-0.067220
0.003,0.35,0.50,-0.018239
0.003,0.35,0.90,-0.011522
0.003,0.40,0.00,-0.069234
0.003,0.40,0.50,-0.020668
0.003,0.40,0.90,-0.013239
0.003,0.45,0.00,-0.070801
0.003,0.45,0.50,-0.022922
0.003,0.45,0.90,-0.014875
0.003,0.50,0.00,-0.072054
0.003,0.50,0.50,-0.025020
0.003,0.50,0.90,-0.016437
0.003,0.55,0.00,-0.073080
0.003,0.55,0.50,-0.026977
0.003,0.55,0.90,-0.017929
0.003,0.60,0.00,-0.073934
0.003,0.60,0.50,-0.028807
0.003,0.60,0.90,-0.019356
0.003,0.65,0.00,-0.074657
0.003,0.65,0.50,-0.030522
0.003,0.65,0.90,-0.020722
0.003,0.70,0.00,-0.075277
0.003,0.70,0.50,-0.032132
0.003,0.70,0.90,-0.022030
0.003,0.75,0.00,-0.075814
0.003,0.75,0.50,-0.033647
0.003,0.75,0.90,-0.023286
0.003,0.80,0.00,-0.076284
0.003,0.80,0.50,-0.035075
0.003,0.80,0.90,-0.024491
0.003,0.85,0.00,-0.076699
0.003,0.85,0.50,-0.036423
0.003,0.85,0.90,-0.025648
0.003,0.90,0.00,-0.077067
0.003,0.90,0.50,-0.037697
0.003,0.90,0.90,-0.026761
0.003,0.95,0.00,-0.077397
0.003,0.95,0.50,-0.038905
0.003,0.95,0.90,-0.027832
0.003,1.00,0.00,-0.077694
0.003,1.00,0.50,-0.040050
0.003,1.00,0.90,-0.028862
0.004,0.05,0.00,0.067055
0.004,0.05,0.50,0.003387
0.004,0.05,0.90,0.001925
0.004,0.10,0.00,-0.008139
0.004,0.10,0.50,-0.000783
0.004,0.10,0.90,-0.000454
0.004,0.15,0.00,-0.033204
0.004,0.15,0.50,-0.004570
0.004,0.15,0.90,-0.002704
0.004,0.20,0.00,-0.045736
0.004,0.20,0.50,-0.008024
0.004,0.20,0.90,-0.004835
0.004,0.25,0.00,-0.053256
0.004,0.25,0.50,-0.011189
0.004,0.25,0.90,-0.006856
0.004,0.30,0.00,-0.058269
0.004,0.30,0.50,-0.014098
0.004,0.30,0.90,-0.008776
0.004,0.35,0.00,-0.061849
0.004,0.35,0.50,-0.016782
0.004,0.35,0.90,-0.010602
0.004,0.40,0.00,-0.064535
0.004,0.40,0.50,-0.019265
0.004,0.40,0.90,-0.012340
0.004,0.45,0.00,-0.066624
0.004,0.45,0.50,-0.021570
0.004,0.45,0.90,-0.013997
0.004,0.50,0.00,-0.068295
0.004,0.50,0.50,-0.023715
0.004,0.50,0.90,-0.015579
0.004,0.55,0.00,-0.069662
0.004,0.55,0.50,-0.025715
0.004,0.55,0.90,-0.017090
0.004,0.60,0.00,-0.070801
0.004,0.60,0.50,-0.027586
0.004,0.60,0.90,-0.018535
0.004,0.65,0.00,-0.071765
0.004,0.65,0.50,-0.029339
0.004,0.65,0.90,-0.019919
0.004,0.70,0.00,-0.072591
0.004,0.70,0.50,-0.030986
0.004,0.70,0.90,-0.021244
0.004,0.75,0.00,-0.073307
0.004,0.75,0.50,-0.032534
0.004,0.75,0.90,-0.022516
0.004,0.80,0.00,-0.073934
0.004,0.80,0.50,-0.033994
0.004,0.80,0.90,-0.023736
0.004,0.85,0.00,-0.074487
0.004,0.85,0.50,-0.035372
0.004,0.85,0.90,-0.024908
0.004,0.90,0.00,-0.074978
0.004,0.90,0.50,-0.036676
0.004,0.90,0.90,-0.026036
0.004,0.95,0.00,-0.075418
0.004,0.95,0.50,-0.037910
0.004,0.95,0.90,-0.027120
0.004,1.00,0.00,-0.075814
0.004,1.00,0.50,-0.039081
0.004,1.00,0.90,-0.028164
0.005,0.05,0.00,0.104652
0.005,0.05,0.50,0.005286
0.005,0.05,0.90,0.003004
0.005,0.10,0.00,0.010659
0.005,0.10,0.50,0.001025
0.005,0.10,0.90,0.000595
0.005,0.15,0.00,-0.020672
0.005,0.15,0.50,-0.002845
0.005,0.15,0.90,-0.001683
0.005,0.20,0.00,-0.036337
0.005,0.20,0.50,-0.006375
0.005,0.20,0.90,-0.003841
0.005,0.25,0.00,-0.045736
0.005,0.25,0.50,-0.009609
0.005,0.25,0.90,-0.005888
0.005,0.30,0.00,-0.052002
0.005,0.30,0.50,-0.012582
0.005,0.30,0.90,-0.007832
0.005,0.35,0.00,-0.056478
0.005,0.35,0.50,-0.015324
0.005,0.35,0.90,-0.009681
0.005,0.40,0.00,-0.059835
0.005,0.40,0.50,-0.017862
0.005,0.40,0.90,-0.011442
0.005,0.45,0.00,-0.062446
0.005,0.45,0.50,-0.020217
0.005,0.45,0.90,-0.013120
0.005,0.50,0.00,-0.064535
0.005,0.50,0.50,-0.022409
0.005,0.50,0.90,-0.014721
0.005,0.55,0.00,-0.066244
0.005,0.55,0.50,-0.024454
0.005,0.55,0.90,-0.016252
0.005,0.60,0.00,-0.067668
0.005,0.60,0.50,-0.026365
0.005,0.60,0.90,-0.017715
0.005,0.65,0.00,-0.068873
0.005,0.65,0.50,-0.028157
0.005,0.65,0.90,-0.019116
0.005,0.70,0.00,-0.069906
0.005,0.70,0.50,-0.029839
0.005,0.70,0.90,-0.020459
0.005,0.75,0.00,-0.070801
0.005,0.75,0.50,-0.031422
0.005,0.75,0.90,-0.021746
0.005,0.80,0.00,-0.071584
0.005,0.80,0.50,-0.032914
0.005,0.80,0.90,-0.022982
0.005,0.85,0.00,-0.072275
0.005,0.85,0.50,-0.034322
0.005,0.85,0.90,-0.024169
0.005,0.90,0.00,-0.072890
0.005,0.90,0.50,-0.035654
0.005,0.90,0.90,-0.025310
0.005,0.95,0.00,-0.073439
0.005,0.95,0.50,-0.036915
0.005,0.95,0.90,-0.026408
0.005,1.00,0.00,-0.073934
0.005,1.00,0.50,-0.038112
0.005,1.00,0.90,-0.027466
0.006,0.05,0.00,0.142249
0.006,0.05,0.50,0.007185
0.006,0.05,0.90,0.004083
0.006,0.10,0.00,0.029458
0.006,0.10,0.50,0.002833
0.006,0.10,0.90,0.001644
0.006,0.15,0.00,-0.008139
0.006,0.15,0.50,-0.001120
0.006,0.15,0.90,-0.000663
0.006,0.20,0.00,-0.026938
0.006,0.20,0.50,-0.004726
0.006,0.20,0.90,-0.002848
0.006,0.25,0.00,-0.038217
0.006,0.25,0.50,-0.008029
0.006,0.25,0.90,-0.004920
0.006,0.30,0.00,-0.045736
0.006,0.30,0.50,-0.011066
0.006,0.30,0.90,-0.006888
0.006,0.35,0.00,-0.051107
0.006,0.35,0.50,-0.013867
0.006,0.35,0.90,-0.008760
0.006,0.40,0.00,-0.055136
0.006,0.40,0.50,-0.016459
0.006,0.40,0.90,-0.010543
0.006,0.45,0.00,-0.058269
0.006,0.45,0.50,-0.018865
0.006,0.45,0.90,-0.012242
0.006,0.50,0.00,-0.060775
0.006,0.50,0.50,-0.021104
0.006,0.50,0.90,-0.013864
0.006,0.55,0.00,-0.062826
0.006,0.55,0.50,-0.023192
0.006,0.55,0.90,-0.015413
0.006,0.60,0.00,-0.064535
0.006,0.60,0.50,-0.025145
0.006,0.60,0.90,-0.016895
0.006,0.65,0.00,-0.065981
0.006,0.65,0.50,-0.026975
0.006,0.65,0.90,-0.018313
0.006,0.70,0.00,-0.067220
0.006,0.70,0.50,-0.028693
0.006,0.70,0.90,-0.019673
0.006,0.75,0.00,-0.068295
0.006,0.75,0.50,-0.030310
0.006,0.75,0.90,-0.020976
0.006,0.80,0.00,-0.069234
0.006,0.80,0.50,-0.031833
0.006,0.80,0.90,-0.022227
0.006,0.85,0.00,-0.070064
0.006,0.85,0.50,-0.033272
0.006,0.85,0.90,-0.023429
0.006,0.90,0.00,-0.070801
0.006,0.90,0.50,-0.034632
0.006,0.90,0.90,-0.024585
0.006,0.95,0.00,-0.071461
0.006,0.95,0.50,-0.035921
0.006,0.95,0.90,-0.025697
0.006,1.00,0.00,-0.072054
0.006,1.00,0.50,-0.037143
0.006,1.00,0.90,-0.026767
0.007,0.05,0.00,0.179846
0.007,0.05,0.50,0.009084
0.007,0.05,0.90,0.005162
0.007,0.10,0.00,0.048256
0.007,0.10,0.50,0.004640
0.007,0.10,0.90,0.002693
0.007,0.15,0.00,0.004393
0.007,0.15,0.50,0.000605
0.007,0.15,0.90,0.000358
0.007,0.20,0.00,-0.017539
0.007,0.20,0.50,-0.003077
0.007,0.20,0.90,-0.001854
0.007,0.25,0.00,-0.030698
0.007,0.25,0.50,-0.006449
0.007,0.25,0.90,-0.003952
0.007,0.30,0.00,-0.039470
0.007,0.30,0.50,-0.009550
0.007,0.30,0.90,-0.005945
0.007,0.35,0.00,-0.045736
0.007,0.35,0.50,-0.012410
0.007,0.35,0.90,-0.007840
0.007,0.40,0.00,-0.050436
0.007,0.40,0.50,-0.015056
0.007,0.40,0.90,-0.009644
0.007,0.45,0.00,-0.054091
0.007,0.45,0.50,-0.017512
0.007,0.45,0.90,-0.011364
0.007,0.50,0.00,-0.057015
0.007,0.50,0.50,-0.019798
0.007,0.50,0.90,-0.013006
0.007,0.55,0.00,-0.059408
0.007,0.55,0.50,-0.021930
0.007,0.55,0.90,-0.014575
0.007,0.60,0.00,-0.061402
0.007,0.60,0.50,-0.023924
0.007,0.60,0.90,-0.016075
0.007,0.65,0.00,-0.063089
0.007,0.65,0.50,-0.025792
0.007,0.65,0.90,-0.017511
0.007,0.70,0.00,-0.064535
0.007,0.70,0.50,-0.027547
0.007,0.70,0.90,-0.018887
0.007,0.75,0.00,-0.065788
0.007,0.75,0.50,-0.029197
0.007,0.75,0.90,-0.020206
0.007,0.80,0.00,-0.066885
0.007,0.80,0.50,-0.030753
0.007,0.80,0.90,-0.021473
0.007,0.85,0.00,-0.067852
0.007,0.85,0.50,-0.032222
0.007,0.85,0.90,-0.022690
0.007,0.90,0.00,-0.068712
0.007,0.90,0.50,-0.033611
0.007,0.90,0.90,-0.023860
0.007,0.95,0.00,-0.069482
0.007,0.95,0.50,-0.034926
0.007,0.95,0.90,-0.024985
0.007,1.00,0.00,-0.070174
0.007,1.00,0.50,-0.036174
0.007,1.00,0.90,-0.026069
0.008,0.05,0.00,0.217443
0.008,0.05,0.50,0.010983
0.008,0.05,0.90,0.006242
0.008,0.10,0.00,0.067055
0.008,0.10,0.50,0.006448
0.008,0.10,0.90,0.003742
0.008,0.15,0.00,0.016925
0.008,0.15,0.50,0.002329
0.008,0.15,0.90,0.001378
0.008,0.20,0.00,-0.008139
0.008,0.20,0.50,-0.001428
0.008,0.20,0.90,-0.000860
0.008,0.25,0.00,-0.023178
0.008,0.25,0.50,-0.004870
0.008,0.25,0.90,-0.002984
0.008,0.30,0.00,-0.033204
0.008,0.30,0.50,-0.008034
0.008,0.30,0.90,-0.005001
0.008,0.35,0.00,-0.040365
0.008,0.35,0.50,-0.010952
0.008,0.35,0.90,-0.006919
0.008,0.40,0.00,-0.045736
0.008,0.40,0.50,-0.013653
0.008,0.40,0.90,-0.008746
0.008,0.45,0.00,-0.049914
0.008,0.45,0.50,-0.016160
0.008,0.45,0.90,-0.010487
0.008,0.50,0.00,-0.053256
0.008,0.50,0.50,-0.018493
0.008,0.50,0.90,-0.012148
0.008,0.55,0.00,-0.055990
0.008,0.55,0.50,-0.020669
0.008,0.55,0.90,-0.013736
0.008,0.60,0.00,-0.058269
0.008,0.60,0.50,-0.022703
0.008,0.60,0.90,-0.015254
0.008,0.65,0.00,-0.060197
0.008,0.65,0.50,-0.024610
0.008,0.65,0.90,-0.016708
0.008,0.70,0.00,-0.061849
0.008,0.70,0.50,-0.026400
0.008,0.70,0.90,-0.018101
0.008,0.75,0.00,-0.063282
0.008,0.75,0.50,-0.028085
0.008,0.75,0.90,-0.019436
0.008,0.80,0.00,-0.064535
0.008,0.80,0.50,-0.029672
0.008,0.80,0.90,-0.020719
0.008,0.85,0.00,-0.065641
0.008,0.85,0.50,-0.031171
0.008,0.85,0.90,-0.021950
0.008,0.90,0.00,-0.066624
0.008,0.90,0.50,-0.032589
0.008,0.90,0.90,-0.023134
0.008,0.95,0.00,-0.067503
0.008,0.95,0.50,-0.033931
0.008,0.95,0.90,-0.024274
0.008,1.00,0.00,-0.068295
0.008,1.00,0.50,-0.035205
0.008,1.00,0.90,-0.025371
0.009,0.05,0.00,0.255040
0.009,0.05,0.50,0.012882
0.009,0.05,0.90,0.007321
0.009,0.10,0.00,0.085853
0.009,0.10,0.50,0.008256
0.009,0.10,0.90,0.004791
0.009,0.15,0.00,0.029458
0.009,0.15,0.50,0.004054
0.009,0.15,0.90,0.002399
0.009,0.20,0.00,0.001260
0.009,0.20,0.50,0.000221
0.009,0.20,0.90,0.000133
0.009,0.25,0.00,-0.015659
0.009,0.25,0.50,-0.003290
0.009,0.25,0.90,-0.002016
0.009,0.30,0.00,-0.026938
0.009,0.30,0.50,-0.006518
0.009,0.30,0.90,-0.004057
0.009,0.35,0.00,-0.034994
0.009,0.35,0.50,-0.009495
0.009,0.35,0.90,-0.005998
0.009,0.40,0.00,-0.041037
0.009,0.40,0.50,-0.012250
0.009,0.40,0.90,-0.007847
0.009,0.45,0.00,-0.045736
0.009,0.45,0.50,-0.014808
0.009,0.45,0.90,-0.009609
0.009,0.50,0.00,-0.049496
0.009,0.50,0.50,-0.017187
0.009,0.50,0.90,-0.011291
0.009,0.55,0.00,-0.052572
0.009,0.55,0.50,-0.019407
0.009,0.55,0.90,-0.012898
0.009,0.60,0.00,-0.055136
0.009,0.60,0.50,-0.021482
0.009,0.60,0.90,-0.014434
0.009,0.65,0.00,-0.057305
0.009,0.65,0.50,-0.023428
0.009,0.65,0.90,-0.015905
0.009,0.70,0.00,-0.059164
0.009,0.70,0.50,-0.025254
0.009,0.70,0.90,-0.017315
0.009,0.75,0.00,-0.060775
0.009,0.75,0.50,-0.026972
0.009,0.75,0.90,-0.018667
0.009,0.80,0.00,-0.062185
0.009,0.80,0.50,-0.028592
0.009,0.80,0.90,-0.019964
0.009,0.85,0.00,-0.063429
0.009,0.85,0.50,-0.030121
0.009,0.85,0.90,-0.021211
0.009,0.90,0.00,-0.064535
0.009,0.90,0.50,-0.031567
0.009,0.90,0.90,-0.022409
0.009,0.95,0.00,-0.065524
0.009,0.95,0.50,-0.032937
0.009,0.95,0.90,-0.023562
0.009,1.00,0.00,-0.066415
0.009,1.00,0.50,-0.034236
0.009,1.00,0.90,-0.024672
0.010,0.05,0.00,0.292637
0.010,0.05,0.50,0.014781
0.010,0.05,0.90,0.008400
0.010,0.10,0.00,0.104652
0.010,0.10,0.50,0.010063
0.010,0.10,0.90,0.005840
0.010,0.15,0.00,0.041990
0.010,0.15,0.50,0.005779
0.010,0.15,0.90,0.003420
0.010,0.20,0.00,0.010659
0.010,0.20,0.50,0.001870
0.010,0.20,0.90,0.001127
0.010,0.25,0.00,-0.008139
0.010,0.25,0.50,-0.001710
