a,tau,c,mstar
0.012,0.75,0.50,-0.023635
0.012,0.75,0.90,-0.016357
0.012,0.80,0.00,-0.055136
0.012,0.80,0.50,-0.025351
0.012,0.80,0.90,-0.017701
0.012,0.85,0.00,-0.056794
0.012,0.85,0.50,-0.026970
0.012,0.85,0.90,-0.018992
0.012,0.90,0.00,-0.058269
0.012,0.90,0.50,-0.028502
0.012,0.90,0.90,-0.020233
0.012,0.95,0.00,-0.059588
0.012,0.95,0.50,-0.029953
0.012,0.95,0.90,-0.021427
0.012,1.00,0.00,-0.060775
0.012,1.00,0.50,-0.031329
0.012,1.00,0.90,-0.022577
0.013,0.05,0.00,0.405428
0.013,0.05,0.50,0.020478
0.013,0.05,0.90,0.011638
0.013,0.10,0.00,0.161047
0.013,0.10,0.50,0.015486
0.013,0.10,0.90,0.008988
0.013,0.15,0.00,0.079587
0.013,0.15,0.50,0.010953
0.013,0.15,0.90,0.006482
0.013,0.20,0.00,0.038857
0.013,0.20,0.50,0.006817
0.013,0.20,0.90,0.004108
0.013,0.25,0.00,0.014419
0.013,0.25,0.50,0.003029
0.013,0.25,0.90,0.001856
0.013,0.30,0.00,-0.001873
0.013,0.30,0.50,-0.000453
0.013,0.30,0.90,-0.000282
0.013,0.35,0.00,-0.013510
0.013,0.35,0.50,-0.003666
0.013,0.35,0.90,-0.002316
0.013,0.40,0.00,-0.022238
0.013,0.40,0.50,-0.006639
0.013,0.40,0.90,-0.004252
0.013,0.45,0.00,-0.029027
0.013,0.45,0.50,-0.009398
0.013,0.45,0.90,-0.006098
0.013,0.50,0.00,-0.034457
0.013,0.50,0.50,-0.011965
0.013,0.50,0.90,-0.007860
0.013,0.55,0.00,-0.038901
0.013,0.55,0.50,-0.014360
0.013,0.55,0.90,-0.009544
0.013,0.60,0.00,-0.042603
0.013,0.60,0.50,-0.016599
0.013,0.60,0.90,-0.011153
0.013,0.65,0.00,-0.045736
0.013,0.65,0.50,-0.018698
0.013,0.65,0.90,-0.012694
0.013,0.70,0.00,-0.048422
0.013,0.70,0.50,-0.020669
0.013,0.70,0.90,-0.014171
0.013,0.75,0.00,-0.050749
0.013,0.75,0.50,-0.022523
0.013,0.75,0.90,-0.015587
0.013,0.80,0.00,-0.052786
0.013,0.80,0.50,-0.024270
0.013,0.80,0.90,-0.016947
0.013,0.85,0.00,-0.054583
0.013,0.85,0.50,-0.025920
0.013,0.85,0.90,-0.018252
0.013,0.90,0.00,-0.056180
0.013,0.90,0.50,-0.027480
0.013,0.90,0.90,-0.019508
0.013,0.95,0.00,-0.057609
0.013,0.95,0.50,-0.028958
0.013,0.95,0.90,-0.020716
0.013,1.00,0.00,-0.058895
0.013,1.00,0.50,-0.030360
0.013,1.00,0.90,-0.021879
0.014,0.05,0.00,0.443025
0.014,0.05,0.50,0.022377
0.014,0.05,0.90,0.012717
0.014,0.10,0.00,0.179846
0.014,0.10,0.50,0.017294
0.014,0.10,0.90,0.010037
0.014,0.15,0.00,0.092119
0.014,0.15,0.50,0.012678
0.014,0.15,0.90,0.007502
0.014,0.20,0.00,0.048256
0.014,0.20,0.50,0.008467
0.014,0.20,0.90,0.005101
0.014,0.25,0.00,0.021938
0.014,0.25,0.50,0.004609
0.014,0.25,0.90,0.002824
0.014,0.30,0.00,0.004393
0.014,0.30,0.50,0.001063
0.014,0.30,0.90,0.000662
0.014,0.35,0.00,-0.008139
0.014,0.35,0.50,-0.002208
0.014,0.35,0.90,-0.001395
0.014,0.40,0.00,-0.017539
0.014,0.40,0.50,-0.005236
0.014,0.40,0.90,-0.003354
0.014,0.45,0.00,-0.024849
0.014,0.45,0.50,-0.008045
0.014,0.45,0.90,-0.005221
0.014,0.50,0.00,-0.030698
0.014,0.50,0.50,-0.010659
0.014,0.50,0.90,-0.007003
0.014,0.55,0.00,-0.035483
0.014,0.55,0.50,-0.013098
0.014,0.55,0.90,-0.008705
0.014,0.60,0.00,-0.039470
0.014,0.60,0.50,-0.015379
0.014,0.60,0.90,-0.010333
0.014,0.65,0.00,-0.042844
0.014,0.65,0.50,-0.017516
0.014,0.65,0.90,-0.011892
0.014,0.70,0.00,-0.045736
0.014,0.70,0.50,-0.019522
0.014,0.70,0.90,-0.013385
0.014,0.75,0.00,-0.048243
0.014,0.75,0.50,-0.021410
0.014,0.75,0.90,-0.014817
0.014,0.80,0.00,-0.050436
0.014,0.80,0.50,-0.023190
0.014,0.80,0.90,-0.016192
0.014,0.85,0.00,-0.052371
0.014,0.85,0.50,-0.024870
0.014,0.85,0.90,-0.017513
0.014,0.90,0.00,-0.054091
0.014,0.90,0.50,-0.026459
0.014,0.90,0.90,-0.018783
0.014,0.95,0.00,-0.055630
0.014,0.95,0.50,-0.027963
0.014,0.95,0.90,-0.020004
0.014,1.00,0.00,-0.057015
0.014,1.00,0.50,-0.029391
0.014,1.00,0.90,-0.021181
0.015,0.05,0.00,0.480622
0.015,0.05,0.50,0.024276
0.015,0.05,0.90,0.013796
0.015,0.10,0.00,0.198644
0.015,0.10,0.50,0.019102
0.015,0.10,0.90,0.011086
0.015,0.15,0.00,0.104652
0.015,0.15,0.50,0.014403
0.015,0.15,0.90,0.008523
0.015,0.20,0.00,0.057655
0.015,0.20,0.50,0.010116
0.015,0.20,0.90,0.006095
0.015,0.25,0.00,0.029458
0.015,0.25,0.50,0.006189
0.015,0.25,0.90,0.003792
0.015,0.30,0.00,0.010659
0.015,0.30,0.50,0.002579
0.015,0.30,0.90,0.001605
0.015,0.35,0.00,-0.002768
0.015,0.35,0.50,-0.000751
0.015,0.35,0.90,-0.000475
0.015,0.40,0.00,-0.012839
0.015,0.40,0.50,-0.003833
0.015,0.40,0.90,-0.002455
0.015,0.45,0.00,-0.020672
0.015,0.45,0.50,-0.006693
0.015,0.45,0.90,-0.004343
0.015,0.50,0.00,-0.026938
0.015,0.50,0.50,-0.009354
0.015,0.50,0.90,-0.006145
0.015,0.55,0.00,-0.032065
0.015,0.55,0.50,-0.011837
0.015,0.55,0.90,-0.007866
0.015,0.60,0.00,-0.036337
0.015,0.60,0.50,-0.014158
0.015,0.60,0.90,-0.009513
0.015,0.65,0.00,-0.039952
0.015,0.65,0.50,-0.016333
0.015,0.65,0.90,-0.011089
0.015,0.70,0.00,-0.043051
0.015,0.70,0.50,-0.018376
0.015,0.70,0.90,-0.012599
0.015,0.75,0.00,-0.045736
0.015,0.75,0.50,-0.020298
0.015,0.75,0.90,-0.014048
0.015,0.80,0.00,-0.048086
0.015,0.80,0.50,-0.022110
0.015,0.80,0.90,-0.015438
0.015,0.85,0.00,-0.050160
0.015,0.85,0.50,-0.023820
0.015,0.85,0.90,-0.016773
0.015,0.90,0.00,-0.052002
0.015,0.90,0.50,-0.025437
0.015,0.90,0.90,-0.018057
0.015,0.95,0.00,-0.053651
0.015,0.95,0.50,-0.026969
0.015,0.95,0.90,-0.019293
0.015,1.00,0.00,-0.055136
0.015,1.00,0.50,-0.028421
0.015,1.00,0.90,-0.020482
0.016,0.05,0.00,0.518219
0.016,0.05,0.50,0.026175
0.016,0.05,0.90,0.014875
0.016,0.10,0.00,0.217443
0.016,0.10,0.50,0.020909
0.016,0.10,0.90,0.012135
0.016,0.15,0.00,0.117184
0.016,0.15,0.50,0.016127
0.016,0.15,0.90,0.009543
0.016,0.20,0.00,0.067055
0.016,0.20,0.50,0.011765
0.016,0.20,0.90,0.007089
0.016,0.25,0.00,0.036977
0.016,0.25,0.50,0.007769
0.016,0.25,0.90,0.004761
0.016,0.30,0.00,0.016925
0.016,0.30,0.50,0.004095
0.016,0.30,0.90,0.002549
0.016,0.35,0.00,0.002603
0.016,0.35,0.50,0.000706
0.016,0.35,0.90,0.000446
0.016,0.40,0.00,-0.008139
0.016,0.40,0.50,-0.002430
0.016,0.40,0.90,-0.001556
0.016,0.45,0.00,-0.016494
0.016,0.45,0.50,-0.005340
0.016,0.45,0.90,-0.003465
0.016,0.50,0.00,-0.023178
0.016,0.50,0.50,-0.008048
0.016,0.50,0.90,-0.005287
0.016,0.55,0.00,-0.028647
0.016,0.55,0.50,-0.010575
0.016,0.55,0.90,-0.007028
0.016,0.60,0.00,-0.033204
0.016,0.60,0.50,-0.012937
0.016,0.60,0.90,-0.008693
0.016,0.65,0.00,-0.037060
0.016,0.65,0.50,-0.015151
0.016,0.65,0.90,-0.010286
0.016,0.70,0.00,-0.040365
0.016,0.70,0.50,-0.017230
0.016,0.70,0.90,-0.011813
0.016,0.75,0.00,-0.043230
0.016,0.75,0.50,-0.019186
0.016,0.75,0.90,-0.013278
0.016,0.80,0.00,-0.045736
0.016,0.80,0.50,-0.021029
0.016,0.80,0.90,-0.014683
0.016,0.85,0.00,-0.047948
0.016,0.85,0.50,-0.022770
0.016,0.85,0.90,-0.016034
0.016,0.90,0.00,-0.049914
0.016,0.90,0.50,-0.024415
0.016,0.90,0.90,-0.017332
0.016,0.95,0.00,-0.051673
0.016,0.95,0.50,-0.025974
0.016,0.95,0.90,-0.018581
0.016,1.00,0.00,-0.053256
0.016,1.00,0.50,-0.027452
0.016,1.00,0.90,-0.019784
0.017,0.05,0.00,0.555816
0.017,0.05,0.50,0.028074
0.017,0.05,0.90,0.015955
0.017,0.10,0.00,0.236241
0.017,0.10,0.50,0.022717
0.017,0.10,0.90,0.013184
0.017,0.15,0.00,0.129716
0.017,0.15,0.50,0.017852
0.017,0.15,0.90,0.010564
0.017,0.20,0.00,0.076454
0.017,0.20,0.50,0.013414
0.017,0.20,0.90,0.008082
0.017,0.25,0.00,0.044496
0.017,0.25,0.50,0.009349
0.017,0.25,0.90,0.005729
0.017,0.30,0.00,0.023192
0.017,0.30,0.50,0.005611
0.017,0.30,0.90,0.003493
0.017,0.35,0.00,0.007974
0.017,0.35,0.50,0.002164
0.017,0.35,0.90,0.001367
0.017,0.40,0.00,-0.003440
0.017,0.40,0.50,-0.001027
0.017,0.40,0.90,-0.000658
0.017,0.45,0.00,-0.012317
0.017,0.45,0.50,-0.003988
0.017,0.45,0.90,-0.002588
0.017,0.50,0.00,-0.019418
0.017,0.50,0.50,-0.006743
0.017,0.50,0.90,-0.004430
0.017,0.55,0.00,-0.025229
0.017,0.55,0.50,-0.009313
0.017,0.55,0.90,-0.006189
0.017,0.60,0.00,-0.030071
0.017,0.60,0.50,-0.011717
0.017,0.60,0.90,-0.007872
0.017,0.65,0.00,-0.034168
0.017,0.65,0.50,-0.013969
0.017,0.65,0.90,-0.009484
0.017,0.70,0.00,-0.037680
0.017,0.70,0.50,-0.016084
0.017,0.70,0.90,-0.011027
0.017,0.75,0.00,-0.040723
0.017,0.75,0.50,-0.018073
0.017,0.75,0.90,-0.012508
0.017,0.80,0.00,-0.043387
0.017,0.80,0.50,-0.019949
0.017,0.80,0.90,-0.013929
0.017,0.85,0.00,-0.045736
0.017,0.85,0.50,-0.021719
0.017,0.85,0.90,-0.015294
0.017,0.90,0.00,-0.047825
0.017,0.90,0.50,-0.023394
0.017,0.90,0.90,-0.016607
0.017,0.95,0.00,-0.049694
0.017,0.95,0.50,-0.024979
0.017,0.95,0.90,-0.017870
0.017,1.00,0.00,-0.051376
0.017,1.00,0.50,-0.026483
0.017,1.00,0.90,-0.019086
0.018,0.05,0.00,0.593413
0.018,0.05,0.50,0.029973
0.018,0.05,0.90,0.017034
0.018,0.10,0.00,0.255040
0.018,0.10,0.50,0.024525
0.018,0.10,0.90,0.014233
0.018,0.15,0.00,0.142249
0.018,0.15,0.50,0.019577
0.018,0.15,0.90,0.011585
0.018,0.20,0.00,0.085853
0.018,0.20,0.50,0.015063
0.018,0.20,0.90,0.009076
0.018,0.25,0.00,0.052016
0.018,0.25,0.50,0.010928
0.018,0.25,0.90,0.006697
0.018,0.30,0.00,0.029458
0.018,0.30,0.50,0.007127
0.018,0.30,0.90,0.004437
0.018,0.35,0.00,0.013345
0.018,0.35,0.50,0.003621
0.018,0.35,0.90,0.002287
0.018,0.40,0.00,0.001260
0.018,0.40,0.50,0.000376
0.018,0.40,0.90,0.000241
0.018,0.45,0.00,-0.008139
0.018,0.45,0.50,-0.002635
0.018,0.45,0.90,-0.001710
0.018,0.50,0.00,-0.015659
0.018,0.50,0.50,-0.005437
0.018,0.50,0.90,-0.003572
0.018,0.55,0.00,-0.021811
0.018,0.55,0.50,-0.008051
0.018,0.55,0.90,-0.005351
0.018,0.60,0.00,-0.026938
0.018,0.60,0.50,-0.010496
0.018,0.60,0.90,-0.007052
0.018,0.65,0.00,-0.031276
0.018,0.65,0.50,-0.012786
0.018,0.65,0.90,-0.008681
0.018,0.70,0.00,-0.034994
0.018,0.70,0.50,-0.014937
0.018,0.70,0.90,-0.010241
0.018,0.75,0.00,-0.038217
0.018,0.75,0.50,-0.016961
0.018,0.75,0.90,-0.011738
0.018,0.80,0.00,-0.041037
0.018,0.80,0.50,-0.018868
0.018,0.80,0.90,-0.013175
0.018,0.85,0.00,-0.043525
0.018,0.85,0.50,-0.020669
0.018,0.85,0.90,-0.014555
0.018,0.90,0.00,-0.045736
0.018,0.90,0.50,-0.022372
0.018,0.90,0.90,-0.015881
0.018,0.95,0.00,-0.047715
0.018,0.95,0.50,-0.023985
0.018,0.95,0.90,-0.017158
0.018,1.00,0.00,-0.049496
0.018,1.00,0.50,-0.025514
0.018,1.00,0.90,-0.018387
0.019,0.05,0.00,0.631010
0.019,0.05,0.50,0.031872
0.019,0.05,0.90,0.018113
0.019,0.10,0.00,0.273838
0.019,0.10,0.50,0.026332
0.019,0.10,0.90,0.015282
0.019,0.15,0.00,0.154781
0.019,0.15,0.50,0.021302
0.019,0.15,0.90,0.012605
0.019,0.20,0.00,0.095252
0.019,0.20,0.50,0.016712
0.019,0.20,0.90,0.010070
0.019,0.25,0.00,0.059535
0.019,0.25,0.50,0.012508
0.019,0.25,0.90,0.007665
0.019,0.30,0.00,0.035724
0.019,0.30,0.50,0.008643
0.019,0.30,0.90,0.005380
0.019,0.35,0.00,0.018716
0.019,0.35,0.50,0.005078
0.019,0.35,0.90,0.003208
0.019,0.40,0.00,0.005960
0.019,0.40,0.50,0.001779
0.019,0.40,0.90,0.001140
0.019,0.45,0.00,-0.003962
0.019,0.45,0.50,-0.001283
0.019,0.45,0.90,-0.000832
0.019,0.50,0.00,-0.011899
0.019,0.50,0.50,-0.004132
0.019,0.50,0.90,-0.002714
0.019,0.55,0.00,-0.018393
0.019,0.55,0.50,-0.006790
0.019,0.55,0.90,-0.004512
0.019,0.60,0.00,-0.023805
0.019,0.60,0.50,-0.009275
0.019,0.60,0.90,-0.006232
0.019,0.65,0.00,-0.028384
0.019,0.65,0.50,-0.011604
0.019,0.65,0.90,-0.007878
0.019,0.70,0.00,-0.032309
0.019,0.70,0.50,-0.013791
0.019,0.70,0.90,-0.009455
0.019,0.75,0.00,-0.035710
0.019,0.75,0.50,-0.015849
0.019,0.75,0.90,-0.010968
0.019,0.80,0.00,-0.038687
0.019,0.80,0.50,-0.017788
0.019,0.80,0.90,-0.012420
0.019,0.85,0.00,-0.041313
0.019,0.85,0.50,-0.019619
0.019,0.85,0.90,-0.013815
0.019,0.90,0.00,-0.043648
0.019,0.90,0.50,-0.021350
0.019,0.90,0.90,-0.015156
0.019,0.95,0.00,-0.045736
0.019,0.95,0.50,-0.022990
0.019,0.95,0.90,-0.016447
0.019,1.00,0.00,-0.047616
0.019,1.00,0.50,-0.024545
0.019,1.00,0.90,-0.017689
0.020,0.05,0.00,0.668607
0.020,0.05,0.50,0.033771
0.020,0.05,0.90,0.019192
0.020,0.10,0.00,0.292637
0.020,0.10,0.50,0.028140
0.020,0.10,0.90,0.016331
0.020,0.15,0.00,0.167313
0.020,0.15,0.50,0.023026
0.020,0.15,0.90,0.013626
0.020,0.20,0.00,0.104652
0.020,0.20,0.50,0.018361
0.020,0.20,0.90,0.011063
0.020,0.25,0.00,0.067055
0.020,0.25,0.50,0.014088
0.020,0.25,0.90,0.008633
0.020,0.30,0.00,0.041990
0.020,0.30,0.50,0.010159
0.020,0.30,0.90,0.006324
0.020,0.35,0.00,0.024087
0.020,0.35,0.50,0.006536
0.020,0.35,0.90,0.004129
0.020,0.40,0.00,0.010659
0.020,0.40,0.50,0.003182
0.020,0.40,0.90,0.002038
0.020,0.45,0.00,0.000216
0.020,0.45,0.50,0.000070
0.020,0.45,0.90,0.000045
0.020,0.50,0.00,-0.008139
0.020,0.50,0.50,-0.002826
0.020,0.50,0.90,-0.001857
0.020,0.55,0.00,-0.014975
0.020,0.55,0.50,-0.005528
0.020,0.55,0.90,-0.003674
0.020,0.60,0.00,-0.020672
0.020,0.60,0.50,-0.008054
0.020,0.60,0.90,-0.005412
0.020,0.65,0.00,-0.025492
0.020,0.65,0.50,-0.010422
0.020,0.65,0.90,-0.007075
0.020,0.70,0.00,-0.029623
0.020,0.70,0.50,-0.012645
0.020,0.70,0.90,-0.008670
0.020,0.75,0.00,-0.033204
0.020,0.75,0.50,-0.014736
0.020,0.75,0.90,-0.010198
0.020,0.80,0.00,-0.036337
0.020,0.80,0.50,-0.016707
0.020,0.80,0.90,-0.011666
0.020,0.85,0.00,-0.039102
0.020,0.85,0.50,-0.018569
0.020,0.85,0.90,-0.013076
0.020,0.90,0.00,-0.041559
0.020,0.90,0.50,-0.020329
0.020,0.90,0.90,-0.014431
0.020,0.95,0.00,-0.043758
0.020,0.95,0.50,-0.021995
0.020,0.95,0.90,-0.015735
0.020,1.00,0.00,-0.045736
0.020,1.00,0.50,-0.023576
0.020,1.00,0.90,-0.016991
0.021,0.05,0.00,0.706204
0.021,0.05,0.50,0.035670
0.021,0.05,0.90,0.020271
0.021,0.10,0.00,0.311435
0.021,0.10,0.50,0.029948
0.021,0.10,0.90,0.017381
0.021,0.15,0.00,0.179846
0.021,0.15,0.50,0.024751
0.021,0.15,0.90,0.014646
0.021,0.20,0.00,0.114051
0.021,0.20,0.50,0.020010
0.021,0.20,0.90,0.012057
0.021,0.25,0.00,0.074574
0.021,0.25,0.50,0.015668
0.021,0.25,0.90,0.009601
0.021,0.30,0.00,0.048256
0.021,0.30,0.50,0.011676
0.021,0.30,0.90,0.007268
0.021,0.35,0.00,0.029458
0.021,0.35,0.50,0.007993
0.021,0.35,0.90,0.005049
0.021,0.40,0.00,0.015359
0.021,0.40,0.50,0.004585
0.021,0.40,0.90,0.002937
0.021,0.45,0.00,0.004393
0.021,0.45,0.50,0.001422
0.021,0.45,0.90,0.000923
0.021,0.50,0.00,-0.004380
0.021,0.50,0.50,-0.001521
0.021,0.50,0.90,-0.000999
0.021,0.55,0.00,-0.011557
0.021,0.55,0.50,-0.004266
0.021,0.55,0.90,-0.002835
0.021,0.60,0.00,-0.017539
0.021,0.60,0.50,-0.006834
0.021,0.60,0.90,-0.004592
0.021,0.65,0.00,-0.022600
0.021,0.65,0.50,-0.009239
0.021,0.65,0.90,-0.006273
0.021,0.70,0.00,-0.026938
0.021,0.70,0.50,-0.011498
0.021,0.70,0.90,-0.007884
0.021,0.75,0.00,-0.030698
0.021,0.75,0.50,-0.013624
0.021,0.75,0.90,-0.009429
0.021,0.80,0.00,-0.033987
0.021,0.80,0.50,-0.015627
0.021,0.80,0.90,-0.010911
0.021,0.85,0.00,-0.036890
0.021,0.85,0.50,-0.017518
0.021,0.85,0.90,-0.012336
0.021,0.90,0.00,-0.039470
0.021,0.90,0.50,-0.019307
0.021,0.90,0.90,-0.013706
0.021,0.95,0.00,-0.041779
0.021,0.95,0.50,-0.021001
0.021,0.95,0.90,-0.015023
0.021,1.00,0.00,-0.043856
0.021,1.00,0.50,-0.022607
0.021,1.00,0.90,-0.016292
0.022,0.05,0.00,0.743801
0.022,0.05,0.50,0.037569
0.022,0.05,0.90,0.021351
0.022,0.10,0.00,0.330234
0.022,0.10,0.50,0.031756
0.022,0.10,0.90,0.018430
0.022,0.15,0.00,0.192378
0.022,0.15,0.50,0.026476
0.022,0.15,0.90,0.015667
0.022,0.20,0.00,0.123450
0.022,0.20,0.50,0.021659
0.022,0.20,0.90,0.013051
0.022,0.25,0.00,0.082093
0.022,0.25,0.50,0.017248
0.022,0.25,0.90,0.010569
0.022,0.30,0.00,0.054522
0.022,0.30,0.50,0.013192
0.022,0.30,0.90,0.008212
0.022,0.35,0.00,0.034829
0.022,0.35,0.50,0.009450
0.022,0.35,0.90,0.005970
0.022,0.40,0.00,0.020058
0.022,0.40,0.50,0.005988
0.022,0.40,0.90,0.003836
0.022,0.45,0.00,0.008570
0.022,0.45,0.50,0.002775
0.022,0.45,0.90,0.001801
0.022,0.50,0.00,-0.000620
0.022,0.50,0.50,-0.000215
0.022,0.50,0.90,-0.000141
0.022,0.55,0.00,-0.008139
0.022,0.55,0.50,-0.003005
0.022,0.55,0.90,-0.001997
0.022,0.60,0.00,-0.014405
0.022,0.60,0.50,-0.005613
0.022,0.60,0.90,-0.003771
0.022,0.65,0.00,-0.019708
0.022,0.65,0.50,-0.008057
0.022,0.65,0.90,-0.005470
0.022,0.70,0.00,-0.024252
0.022,0.70,0.50,-0.010352
0.022,0.70,0.90,-0.007098
0.022,0.75,0.00,-0.028191
0.022,0.75,0.50,-0.012511
0.022,0.75,0.90,-0.008659
0.022,0.80,0.00,-0.031637
0.022,0.80,0.50,-0.014547
0.022,0.80,0.90,-0.010157
0.022,0.85,0.00,-0.034678
0.022,0.85,0.50,-0.016468
0.022,0.85,0.90,-0.011596
0.022,0.90,0.00,-0.037381
0.022,0.90,0.50,-0.018285
0.022,0.90,0.90,-0.012980
0.022,0.95,0.00,-0.039800
0.022,0.95,0.50,-0.020006
0.022,0.95,0.90,-0.014312
0.022,1.00,0.00,-0.041977
0.022,1.00,0.50,-0.021638
0.022,1.00,0.90,-0.015594
0.023,0.05,0.00,0.781398
0.023,0.05,0.50,0.039468
0.023,0.05,0.90,0.022430
0.023,0.10,0.00,0.349032
0.023,0.10,0.50,0.033563
0.023,0.10,0.90,0.019479
0.023,0.15,0.00,0.204910
0.023,0.15,0.50,0.028201
0.023,0.15,0.90,0.016688
0.023,0.20,0.00,0.132849
0.023,0.20,0.50,0.023308
0.023,0.20,0.90,0.014044
0.023,0.25,0.00,0.089613
0.023,0.25,0.50,0.018827
0.023,0.25,0.90,0.011537
0.023,0.30,0.00,0.060789
0.023,0.30,0.50,0.014708
0.023,0.30,0.90,0.009156
0.023,0.35,0.00,0.040200
0.023,0.35,0.50,0.010908
0.023,0.35,0.90,0.006891
0.023,0.40,0.00,0.024758
0.023,0.40,0.50,0.007391
0.023,0.40,0.90,0.004734
0.023,0.45,0.00,0.012748
0.023,0.45,0.50,0.004127
0.023,0.45,0.90,0.002678
0.023,0.50,0.00,0.003140
0.023,0.50,0.50,0.001090
0.023,0.50,0.90,0.000716
0.023,0.55,0.00,-0.004721
0.023,0.55,0.50,-0.001743
0.023,0.55,0.90,-0.001158
0.023,0.60,0.00,-0.011272
0.023,0.60,0.50,-0.004392
0.023,0.60,0.90,-0.002951
0.023,0.65,0.00,-0.016816
0.023,0.65,0.50,-0.006875
0.023,0.65,0.90,-0.004667
0.023,0.70,0.00,-0.021567
0.023,0.70,0.50,-0.009206
0.023,0.70,0.90,-0.006312
0.023,0.75,0.00,-0.025685
0.023,0.75,0.50,-0.011399
0.023,0.75,0.90,-0.007889
0.023,0.80,0.00,-0.029288
0.023,0.80,0.50,-0.013466
0.023,0.80,0.90,-0.009403
0.023,0.85,0.00,-0.032467
0.023,0.85,0.50,-0.015418
0.023,0.85,0.90,-0.010857
0.023,0.90,0.00,-0.035293
0.023,0.90,0.50,-0.017263
0.023,0.90,0.90,-0.012255
0.023,0.95,0.00,-0.037821
0.023,0.95,0.50,-0.019011
0.023,0.95,0.90,-0.013600
0.023,1.00,0.00,-0.040097
0.023,1.00,0.50,-0.020669
0.023,1.00,0.90,-0.014896
0.024,0.05,0.00,0.818995
0.024,0.05,0.50,0.041367
0.024,0.05,0.90,0.023509
0.024,0.10,0.00,0.367831
0.024,0.10,0.50,0.035371
0.024,0.10,0.90,0.020528
0.024,0.15,0.00,0.217443
0.024,0.15,0.50,0.029925
0.024,0.15,0.90,0.017708
0.024,0.20,0.00,0.142249
0.024,0.20,0.50,0.024958
0.024,0.20,0.90,0.015038
0.024,0.25,0.00,0.097132
0.024,0.25,0.50,0.020407
0.024,0.25,0.90,0.012505
0.024,0.30,0.00,0.067055
0.024,0.30,0.50,0.016224
0.024,0.30,0.90,0.010099
0.024,0.35,0.00,0.045571
0.024,0.35,0.50,0.012365
0.024,0.35,0.90,0.007811
0.024,0.40,0.00,0.029458
0.024,0.40,0.50,0.008794
0.024,0.40,0.90,0.005633
0.024,0.45,0.00,0.016925
0.024,0.45,0.50,0.005480
0.024,0.45,0.90,0.003556
0.024,0.50,0.00,0.006899
0.024,0.50,0.50,0.002396
0.024,0.50,0.90,0.001574
0.024,0.55,0.00,-0.001304
0.024,0.55,0.50,-0.000481
0.024,0.55,0.90,-0.000320
0.024,0.60,0.00,-0.008139
0.024,0.60,0.50,-0.003171
0.024,0.60,0.90,-0.002131
0.024,0.65,0.00,-0.013923
0.024,0.65,0.50,-0.005692
0.024,0.65,0.90,-0.003865
0.024,0.70,0.00,-0.018881
0.024,0.70,0.50,-0.008059
0.024,0.70,0.90,-0.005526
0.024,0.75,0.00,-0.023178
0.024,0.75,0.50,-0.010287
0.024,0.75,0.90,-0.007119
0.024,0.80,0.00,-0.026938
0.024,0.80,0.50,-0.012386
0.024,0.80,0.90,-0.008648
0.024,0.85,0.00,-0.030255
0.024,0.85,0.50,-0.014368
0.024,0.85,0.90,-0.010117
0.024,0.90,0.00,-0.033204
0.024,0.90,0.50,-0.016242
0.024,0.90,0.90,-0.011530
0.024,0.95,0.00,-0.035842
0.024,0.95,0.50,-0.018017
0.024,0.95,0.90,-0.012889
0.024,1.00,0.00,-0.038217
0.024,1.00,0.50,-0.019700
0.024,1.00,0.90,-0.014197
0.025,0.05,0.00,0.856592
0.025,0.05,0.50,0.043265
0.025,0.05,0.90,0.024588
0.025,0.10,0.00,0.386629
0.025,0.10,0.50,0.037179
0.025,0.10,0.90,0.021577
0.025,0.15,0.00,0.229975
0.025,0.15,0.50,0.031650
0.025,0.15,0.90,0.018729
0.025,0.20,0.00,0.151648
0.025,0.20,0.50,0.026607
0.025,0.20,0.90,0.016032
0.025,0.25,0.00,0.104652
0.025,0.25,0.50,0.021987
0.025,0.25,0.90,0.013473
0.025,0.30,0.00,0.073321
0.025,0.30,0.50,0.017740
0.025,0.30,0.90,0.011043
0.025,0.35,0.00,0.050942
0.025,0.35,0.50,0.013822
0.025,0.35,0.90,0.008732
0.025,0.40,0.00,0.034157
0.025,0.40,0.50,0.010197
0.025,0.40,0.90,0.006531
0.025,0.45,0.00,0.021103
0.025,0.45,0.50,0.006832
0.025,0.45,0.90,0.004434
0.025,0.50,0.00,0.010659
0.025,0.50,0.50,0.003701
0.025,0.50,0.90,0.002432
0.025,0.55,0.00,0.002114
0.025,0.55,0.50,0.000781
0.025,0.55,0.90,0.000519
0.025,0.60,0.00,-0.005006
0.025,0.60,0.50,-0.001951
0.025,0.60,0.90,-0.001311
0.025,0.65,0.00,-0.011031
0.025,0.65,0.50,-0.004510
0.025,0.65,0.90,-0.003062
0.025,0.70,0.00,-0.016196
0.025,0.70,0.50,-0.006913
0.025,0.70,0.90,-0.004740
0.025,0.75,0.00,-0.020672
0.025,0.75,0.50,-0.009174
0.025,0.75,0.90,-0.006349
0.025,0.80,0.00,-0.024588
0.025,0.80,0.50,-0.011305
0.025,0.80,0.90,-0.007894
0.025,0.85,0.00,-0.028044
0.025,0.85,0.50,-0.013317
0.025,0.85,0.90,-0.009378
0.025,0.90,0.00,-0.031115
0.025,0.90,0.50,-0.015220
0.025,0.90,0.90,-0.010804
0.025,0.95,0.00,-0.033864
0.025,0.95,0.50,-0.017022
0.025,0.95,0.90,-0.012177
