domain,outcome,a_basis,a,tau_basis,tau,c,mstar,mstar_over_observed,T_years,phi_at_optimum
earnings,"CPS total personal income, common age",a(G2->G3+),0.000885,repo maximum,0.664480,0.90,-0.022794,-38.244,inf,
earnings,"CPS total personal income, common age",a(G2->G3+),0.000885,repo minimum,0.347107,0.00,-0.078540,-131.779,inf,
earnings,"CPS total personal income, common age",a(G2->G3+),0.000885,repo minimum,0.347107,0.50,-0.021182,-35.540,inf,
earnings,"CPS total personal income, common age",a(G2->G3+),0.000885,repo minimum,0.347107,0.90,-0.013370,-22.434,inf,
earnings,"CPS total personal income, common age",a(G2->G3+),0.000885,"repo, nearest 5 years since arrival",0.416113,0.00,-0.079335,-133.113,inf,
earnings,"CPS total personal income, common age",a(G2->G3+),0.000885,"repo, nearest 5 years since arrival",0.416113,0.50,-0.024345,-40.847,inf,
earnings,"CPS total personal income, common age",a(G2->G3+),0.000885,"repo, nearest 5 years since arrival",0.416113,0.90,-0.015661,-26.276,inf,
earnings,"CPS wage and salary, common age",a(G1->G2),0.019454,paper Mexico row,0.239000,0.00,0.069682,116.916,71.5,3.581873
earnings,"CPS wage and salary, common age",a(G1->G2),0.019454,paper Mexico row,0.239000,0.50,0.014126,23.702,352.7,0.726143
earnings,"CPS wage and salary, common age",a(G1->G2),0.019454,paper Mexico row,0.239000,0.90,0.008625,14.472,577.6,0.443360
earnings,"CPS wage and salary, common age",a(G1->G2),0.019454,repo maximum,0.664480,0.00,-0.028297,-47.478,inf,
earnings,"CPS wage and salary, common age",a(G1->G2),0.019454,repo maximum,0.664480,0.50,-0.011719,-19.663,inf,
earnings,"CPS wage and salary, common age",a(G1->G2),0.019454,repo maximum,0.664480,0.90,-0.007980,-13.389,inf,
earnings,"CPS wage and salary, common age",a(G1->G2),0.019454,repo minimum,0.347107,0.00,0.022025,36.955,226.2,1.132157
earnings,"CPS wage and salary, common age",a(G1->G2),0.019454,repo minimum,0.347107,0.50,0.005940,9.967,838.7,0.305338
earnings,"CPS wage and salary, common age",a(G1->G2),0.019454,repo minimum,0.347107,0.90,0.003749,6.291,1328.8,0.192734
earnings,"CPS wage and salary, common age",a(G1->G2),0.019454,"repo, nearest 5 years since arrival",0.416113,0.00,0.004553,7.639,1094.3,0.234035
earnings,"CPS wage and salary, common age",a(G1->G2),0.019454,"repo, nearest 5 years since arrival",0.416113,0.50,0.001397,2.344,3566.0,0.071816
earnings,"CPS wage and salary, common age",a(G1->G2),0.019454,"repo, nearest 5 years since arrival",0.416113,0.90,0.000899,1.508,5543.4,0.046198
earnings,"CPS wage and salary, common age",a(G1->G3+),0.011523,paper Mexico row,0.239000,0.00,0.007301,12.249,682.4,0.633569
earnings,"CPS wage and salary, common age",a(G1->G3+),0.011523,paper Mexico row,0.239000,0.50,0.001480,2.483,3366.2,0.128442
earnings,"CPS wage and salary, common age",a(G1->G3+),0.011523,paper Mexico row,0.239000,0.90,0.000904,1.516,5513.3,0.078422
earnings,"CPS wage and salary, common age",a(G1->G3+),0.011523,repo maximum,0.664480,0.00,-0.050734,-85.124,inf,
earnings,"CPS wage and salary, common age",a(G1->G3+),0.011523,repo maximum,0.664480,0.50,-0.021012,-35.255,inf,
earnings,"CPS wage and salary, common age",a(G1->G3+),0.011523,repo maximum,0.664480,0.90,-0.014307,-24.005,inf,
earnings,"CPS wage and salary, common age",a(G1->G3+),0.011523,repo minimum,0.347107,0.00,-0.020927,-35.113,inf,
earnings,"CPS wage and salary, common age",a(G1->G3+),0.011523,repo minimum,0.347107,0.50,-0.005644,-9.470,inf,
earnings,"CPS wage and salary, common age",a(G1->G3+),0.011523,repo minimum,0.347107,0.90,-0.003563,-5.978,inf,
earnings,"CPS wage and salary, common age",a(G1->G3+),0.011523,"repo, nearest 5 years since arrival",0.416113,0.00,-0.031277,-52.477,inf,
earnings,"CPS wage and salary, common age",a(G1->G3+),0.011523,"repo, nearest 5 years since arrival",0.416113,0.50,-0.009597,-16.103,inf,
earnings,"CPS wage and salary, common age",a(G1->G3+),0.011523,"repo, nearest 5 years since arrival",0.416113,0.90,-0.006174,-10.359,inf,
earnings,"CPS wage and salary, common age",a(G2->G3+),0.003593,paper Mexico row,0.239000,0.00,-0.055073,-92.404,inf,
earnings,"CPS wage and salary, common age",a(G2->G3+),0.003593,paper Mexico row,0.239000,0.50,-0.011165,-18.733,inf,
earnings,"CPS wage and salary, common age",a(G2->G3+),0.003593,paper Mexico row,0.239000,0.90,-0.006817,-11.438,inf,
earnings,"CPS wage and salary, common age",a(G2->G3+),0.003593,repo maximum,0.664480,0.00,-0.073169,-122.766,inf,
earnings,"CPS wage and salary, common age",a(G2->G3+),0.003593,repo maximum,0.664480,0.50,-0.030303,-50.845,inf,
earnings,"CPS wage and salary, common age",a(G2->G3+),0.003593,repo maximum,0.664480,0.90,-0.020633,-34.620,inf,
earnings,"CPS wage and salary, common age",a(G2->G3+),0.003593,repo minimum,0.347107,0.00,-0.063874,-107.172,inf,
earnings,"CPS wage and salary, common age",a(G2->G3+),0.003593,repo minimum,0.347107,0.50,-0.017227,-28.904,inf,
earnings,"CPS wage and salary, common age",a(G2->G3+),0.003593,repo minimum,0.347107,0.90,-0.010874,-18.245,inf,
earnings,"CPS wage and salary, common age",a(G2->G3+),0.003593,"repo, nearest 5 years since arrival",0.416113,0.00,-0.067101,-112.586,inf,
