domain,outcome,a_basis,a,tau_basis,tau,c,mstar,mstar_over_observed,T_years,phi_at_optimum
fiscal,"ledger balance, common age (personal_sources)",a(G2->G3+),0.004956,repo maximum,0.664480,0.90,-0.019546,-32.795,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G2->G3+),0.004956,repo minimum,0.347107,0.00,-0.056493,-94.787,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G2->G3+),0.004956,repo minimum,0.347107,0.50,-0.015236,-25.564,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G2->G3+),0.004956,repo minimum,0.347107,0.90,-0.009617,-16.136,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G2->G3+),0.004956,"repo, nearest 5 years since arrival",0.416113,0.00,-0.060944,-102.255,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G2->G3+),0.004956,"repo, nearest 5 years since arrival",0.416113,0.50,-0.018701,-31.378,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G2->G3+),0.004956,"repo, nearest 5 years since arrival",0.416113,0.90,-0.012030,-20.185,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G2),-0.006161,paper Mexico row,0.239000,0.00,-0.131793,-221.128,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G2),-0.006161,paper Mexico row,0.239000,0.50,-0.026718,-44.829,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G2),-0.006161,paper Mexico row,0.239000,0.90,-0.016313,-27.371,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G2),-0.006161,repo maximum,0.664480,0.00,-0.100763,-169.066,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G2),-0.006161,repo maximum,0.664480,0.50,-0.041732,-70.020,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G2),-0.006161,repo maximum,0.664480,0.90,-0.028415,-47.676,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G2),-0.006161,repo minimum,0.347107,0.00,-0.116700,-195.805,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G2),-0.006161,repo minimum,0.347107,0.50,-0.031473,-52.808,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G2),-0.006161,repo minimum,0.347107,0.90,-0.019867,-33.333,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G2),-0.006161,"repo, nearest 5 years since arrival",0.416113,0.00,-0.111167,-186.521,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G2),-0.006161,"repo, nearest 5 years since arrival",0.416113,0.50,-0.034112,-57.236,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G2),-0.006161,"repo, nearest 5 years since arrival",0.416113,0.90,-0.021944,-36.819,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G3+),0.001438,paper Mexico row,0.239000,0.00,-0.072023,-120.844,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G3+),0.001438,paper Mexico row,0.239000,0.50,-0.014601,-24.498,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G3+),0.001438,paper Mexico row,0.239000,0.90,-0.008915,-14.958,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G3+),0.001438,repo maximum,0.664480,0.00,-0.079265,-132.995,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G3+),0.001438,repo maximum,0.664480,0.50,-0.032828,-55.081,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G3+),0.001438,repo maximum,0.664480,0.90,-0.022352,-37.504,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G3+),0.001438,repo minimum,0.347107,0.00,-0.075545,-126.754,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G3+),0.001438,repo minimum,0.347107,0.50,-0.020374,-34.185,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G3+),0.001438,repo minimum,0.347107,0.90,-0.012861,-21.578,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G3+),0.001438,"repo, nearest 5 years since arrival",0.416113,0.00,-0.076837,-128.921,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G3+),0.001438,"repo, nearest 5 years since arrival",0.416113,0.50,-0.023578,-39.561,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G1->G3+),0.001438,"repo, nearest 5 years since arrival",0.416113,0.90,-0.015168,-25.449,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G2->G3+),0.009038,paper Mexico row,0.239000,0.00,-0.012245,-20.545,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G2->G3+),0.009038,paper Mexico row,0.239000,0.50,-0.002482,-4.165,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G2->G3+),0.009038,paper Mexico row,0.239000,0.90,-0.001516,-2.543,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G2->G3+),0.009038,repo maximum,0.664480,0.00,-0.057764,-96.920,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G2->G3+),0.009038,repo maximum,0.664480,0.50,-0.023924,-40.140,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G2->G3+),0.009038,repo maximum,0.664480,0.90,-0.016289,-27.331,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G2->G3+),0.009038,repo minimum,0.347107,0.00,-0.034386,-57.694,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G2->G3+),0.009038,repo minimum,0.347107,0.50,-0.009274,-15.560,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G2->G3+),0.009038,repo minimum,0.347107,0.90,-0.005854,-9.822,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G2->G3+),0.009038,"repo, nearest 5 years since arrival",0.416113,0.00,-0.042503,-71.314,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G2->G3+),0.009038,"repo, nearest 5 years since arrival",0.416113,0.50,-0.013042,-21.883,inf,
fiscal,"ledger balance, common age and place (all_age_shared)",a(G2->G3+),0.009038,"repo, nearest 5 years since arrival",0.416113,0.90,-0.008390,-14.077,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G2),-0.005358,paper Mexico row,0.239000,0.00,-0.125477,-210.531,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G2),-0.005358,paper Mexico row,0.239000,0.50,-0.025437,-42.680,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G2),-0.005358,paper Mexico row,0.239000,0.90,-0.015531,-26.059,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G2),-0.005358,repo maximum,0.664480,0.00,-0.098491,-165.254,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G2),-0.005358,repo maximum,0.664480,0.50,-0.040791,-68.442,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G2),-0.005358,repo maximum,0.664480,0.90,-0.027774,-46.601,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G2),-0.005358,repo minimum,0.347107,0.00,-0.112351,-188.508,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G2),-0.005358,repo minimum,0.347107,0.50,-0.030301,-50.840,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G2),-0.005358,repo minimum,0.347107,0.90,-0.019126,-32.091,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G2),-0.005358,"repo, nearest 5 years since arrival",0.416113,0.00,-0.107539,-180.434,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G2),-0.005358,"repo, nearest 5 years since arrival",0.416113,0.50,-0.032999,-55.368,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G2),-0.005358,"repo, nearest 5 years since arrival",0.416113,0.90,-0.021228,-35.618,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G3+),0.002964,paper Mexico row,0.239000,0.00,-0.060020,-100.705,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G3+),0.002964,paper Mexico row,0.239000,0.50,-0.012168,-20.416,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G3+),0.002964,paper Mexico row,0.239000,0.90,-0.007429,-12.465,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G3+),0.002964,repo maximum,0.664480,0.00,-0.074948,-125.752,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G3+),0.002964,repo maximum,0.664480,0.50,-0.031040,-52.081,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G3+),0.002964,repo maximum,0.664480,0.90,-0.021135,-35.461,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G3+),0.002964,repo minimum,0.347107,0.00,-0.067281,-112.888,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G3+),0.002964,repo minimum,0.347107,0.50,-0.018145,-30.445,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G3+),0.002964,repo minimum,0.347107,0.90,-0.011454,-19.218,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G3+),0.002964,"repo, nearest 5 years since arrival",0.416113,0.00,-0.069943,-117.354,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G3+),0.002964,"repo, nearest 5 years since arrival",0.416113,0.50,-0.021463,-36.011,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G1->G3+),0.002964,"repo, nearest 5 years since arrival",0.416113,0.90,-0.013807,-23.166,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G2->G3+),0.011285,paper Mexico row,0.239000,0.00,0.005429,9.108,917.7,0.481049
fiscal,"ledger balance, common age and place (personal_sources)",a(G2->G3+),0.011285,paper Mexico row,0.239000,0.50,0.001101,1.847,4527.0,0.097522
fiscal,"ledger balance, common age and place (personal_sources)",a(G2->G3+),0.011285,paper Mexico row,0.239000,0.90,0.000672,1.127,7414.4,0.059544
fiscal,"ledger balance, common age and place (personal_sources)",a(G2->G3+),0.011285,repo maximum,0.664480,0.00,-0.051407,-86.254,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G2->G3+),0.011285,repo maximum,0.664480,0.50,-0.021291,-35.723,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G2->G3+),0.011285,repo maximum,0.664480,0.90,-0.014497,-24.323,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G2->G3+),0.011285,repo minimum,0.347107,0.00,-0.022216,-37.276,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G2->G3+),0.011285,repo minimum,0.347107,0.50,-0.005992,-10.053,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G2->G3+),0.011285,repo minimum,0.347107,0.90,-0.003782,-6.346,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G2->G3+),0.011285,"repo, nearest 5 years since arrival",0.416113,0.00,-0.032352,-54.281,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G2->G3+),0.011285,"repo, nearest 5 years since arrival",0.416113,0.50,-0.009927,-16.657,inf,
fiscal,"ledger balance, common age and place (personal_sources)",a(G2->G3+),0.011285,"repo, nearest 5 years since arrival",0.416113,0.90,-0.006386,-10.715,inf,
norms,All-13 confidence index (scale pts),a(G1->G2),0.064545,paper Mexico row,0.239000,0.00,0.424344,711.987,11.7,6.574393
norms,All-13 confidence index (scale pts),a(G1->G2),0.064545,paper Mexico row,0.239000,0.50,0.086026,144.339,57.9,1.332807
norms,All-13 confidence index (scale pts),a(G1->G2),0.064545,paper Mexico row,0.239000,0.90,0.052525,88.129,94.9,0.813770
norms,All-13 confidence index (scale pts),a(G1->G2),0.064545,repo maximum,0.664480,0.00,0.099268,166.557,50.2,1.537966
norms,All-13 confidence index (scale pts),a(G1->G2),0.064545,repo maximum,0.664480,0.50,0.041113,68.981,121.2,0.636964
norms,All-13 confidence index (scale pts),a(G1->G2),0.064545,repo maximum,0.664480,0.90,0.027993,46.968,178.0,0.433700
norms,All-13 confidence index (scale pts),a(G1->G2),0.064545,repo minimum,0.347107,0.00,0.266227,446.690,18.7,4.124677
norms,All-13 confidence index (scale pts),a(G1->G2),0.064545,repo minimum,0.347107,0.50,0.071800,120.470,69.4,1.112408
norms,All-13 confidence index (scale pts),a(G1->G2),0.064545,repo minimum,0.347107,0.90,0.045322,76.043,109.9,0.702170
norms,All-13 confidence index (scale pts),a(G1->G2),0.064545,"repo, nearest 5 years since arrival",0.416113,0.00,0.208258,349.426,23.9,3.226555
norms,All-13 confidence index (scale pts),a(G1->G2),0.064545,"repo, nearest 5 years since arrival",0.416113,0.50,0.063906,107.225,78.0,0.990099
norms,All-13 confidence index (scale pts),a(G1->G2),0.064545,"repo, nearest 5 years since arrival",0.416113,0.90,0.041110,68.976,121.2,0.636919
norms,All-13 confidence index (scale pts),a(G1->G3+),0.025282,paper Mexico row,0.239000,0.00,0.115522,193.829,43.1,4.569330
norms,All-13 confidence index (scale pts),a(G1->G3+),0.025282,paper Mexico row,0.239000,0.50,0.023419,39.294,212.7,0.926327
norms,All-13 confidence index (scale pts),a(G1->G3+),0.025282,paper Mexico row,0.239000,0.90,0.014299,23.992,348.4,0.565586
norms,All-13 confidence index (scale pts),a(G1->G3+),0.025282,repo maximum,0.664480,0.00,-0.011809,-19.814,inf,
norms,All-13 confidence index (scale pts),a(G1->G3+),0.025282,repo maximum,0.664480,0.50,-0.004891,-8.206,inf,
norms,All-13 confidence index (scale pts),a(G1->G3+),0.025282,repo maximum,0.664480,0.90,-0.003330,-5.587,inf,
norms,All-13 confidence index (scale pts),a(G1->G3+),0.025282,repo minimum,0.347107,0.00,0.053588,89.913,93.0,2.119613
norms,All-13 confidence index (scale pts),a(G1->G3+),0.025282,repo minimum,0.347107,0.50,0.014452,24.249,344.7,0.571651
norms,All-13 confidence index (scale pts),a(G1->G3+),0.025282,repo minimum,0.347107,0.90,0.009123,15.306,546.1,0.360835
norms,All-13 confidence index (scale pts),a(G1->G3+),0.025282,"repo, nearest 5 years since arrival",0.416113,0.00,0.030882,51.815,161.3,1.221491
norms,All-13 confidence index (scale pts),a(G1->G3+),0.025282,"repo, nearest 5 years since arrival",0.416113,0.50,0.009476,15.900,525.7,0.374826
norms,All-13 confidence index (scale pts),a(G1->G3+),0.025282,"repo, nearest 5 years since arrival",0.416113,0.90,0.006096,10.228,817.3,0.241121
norms,All-13 confidence index (scale pts),a(G2->G3+),-0.013982,paper Mexico row,0.239000,0.00,-0.193309,-324.343,inf,
norms,All-13 confidence index (scale pts),a(G2->G3+),-0.013982,paper Mexico row,0.239000,0.50,-0.039189,-65.753,inf,
norms,All-13 confidence index (scale pts),a(G2->G3+),-0.013982,paper Mexico row,0.239000,0.90,-0.023927,-40.147,inf,
norms,All-13 confidence index (scale pts),a(G2->G3+),-0.013982,repo maximum,0.664480,0.00,-0.122889,-206.190,inf,
norms,All-13 confidence index (scale pts),a(G2->G3+),-0.013982,repo maximum,0.664480,0.50,-0.050896,-85.396,inf,
norms,All-13 confidence index (scale pts),a(G2->G3+),-0.013982,repo maximum,0.664480,0.90,-0.034654,-58.145,inf,
norms,All-13 confidence index (scale pts),a(G2->G3+),-0.013982,repo minimum,0.347107,0.00,-0.159057,-266.873,inf,
norms,All-13 confidence index (scale pts),a(G2->G3+),-0.013982,repo minimum,0.347107,0.50,-0.042897,-71.975,inf,
norms,All-13 confidence index (scale pts),a(G2->G3+),-0.013982,repo minimum,0.347107,0.90,-0.027077,-45.432,inf,
norms,All-13 confidence index (scale pts),a(G2->G3+),-0.013982,"repo, nearest 5 years since arrival",0.416113,0.00,-0.146499,-245.804,inf,
norms,All-13 confidence index (scale pts),a(G2->G3+),-0.013982,"repo, nearest 5 years since arrival",0.416113,0.50,-0.044955,-75.427,inf,
norms,All-13 confidence index (scale pts),a(G2->G3+),-0.013982,"repo, nearest 5 years since arrival",0.416113,0.90,-0.028919,-48.521,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G2),0.016840,paper Mexico row,0.239000,0.00,0.049121,82.418,101.4,2.916947
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G2),0.016840,paper Mexico row,0.239000,0.50,0.009958,16.708,500.3,0.591344
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G2),0.016840,paper Mexico row,0.239000,0.90,0.006080,10.202,819.4,0.361056
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G2),0.016840,repo maximum,0.664480,0.00,-0.035692,-59.886,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G2),0.016840,repo maximum,0.664480,0.50,-0.014782,-24.802,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G2),0.016840,repo maximum,0.664480,0.90,-0.010065,-16.888,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G2),0.016840,repo minimum,0.347107,0.00,0.007868,13.202,633.2,0.467231
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G2),0.016840,repo minimum,0.347107,0.50,0.002122,3.560,2347.8,0.126010
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G2),0.016840,repo minimum,0.347107,0.90,0.001339,2.247,3719.5,0.079540
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G2),0.016840,"repo, nearest 5 years since arrival",0.416113,0.00,-0.007256,-12.175,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G2),0.016840,"repo, nearest 5 years since arrival",0.416113,0.50,-0.002227,-3.736,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G2),0.016840,"repo, nearest 5 years since arrival",0.416113,0.90,-0.001432,-2.403,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G3+),0.009747,paper Mexico row,0.239000,0.00,-0.006668,-11.189,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G3+),0.009747,paper Mexico row,0.239000,0.50,-0.001352,-2.268,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G3+),0.009747,paper Mexico row,0.239000,0.90,-0.000825,-1.385,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G3+),0.009747,repo maximum,0.664480,0.00,-0.055759,-93.555,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G3+),0.009747,repo maximum,0.664480,0.50,-0.023093,-38.747,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G3+),0.009747,repo maximum,0.664480,0.90,-0.015724,-26.382,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G3+),0.009747,repo minimum,0.347107,0.00,-0.030546,-51.251,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G3+),0.009747,repo minimum,0.347107,0.50,-0.008238,-13.822,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G3+),0.009747,repo minimum,0.347107,0.90,-0.005200,-8.725,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G3+),0.009747,"repo, nearest 5 years since arrival",0.416113,0.00,-0.039300,-65.939,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G3+),0.009747,"repo, nearest 5 years since arrival",0.416113,0.50,-0.012060,-20.234,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G1->G3+),0.009747,"repo, nearest 5 years since arrival",0.416113,0.90,-0.007758,-13.016,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G2->G3+),0.002654,paper Mexico row,0.239000,0.00,-0.062458,-104.796,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G2->G3+),0.002654,paper Mexico row,0.239000,0.50,-0.012662,-21.245,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G2->G3+),0.002654,paper Mexico row,0.239000,0.90,-0.007731,-12.971,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G2->G3+),0.002654,repo maximum,0.664480,0.00,-0.075825,-127.223,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G2->G3+),0.002654,repo maximum,0.664480,0.50,-0.031404,-52.691,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G2->G3+),0.002654,repo maximum,0.664480,0.90,-0.021382,-35.876,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G2->G3+),0.002654,repo minimum,0.347107,0.00,-0.068960,-115.705,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G2->G3+),0.002654,repo minimum,0.347107,0.50,-0.018598,-31.205,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G2->G3+),0.002654,repo minimum,0.347107,0.90,-0.011739,-19.697,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G2->G3+),0.002654,"repo, nearest 5 years since arrival",0.416113,0.00,-0.071344,-119.704,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G2->G3+),0.002654,"repo, nearest 5 years since arrival",0.416113,0.50,-0.021892,-36.732,inf,
norms,"Anti-American Muslim clergyman, 3 items",a(G2->G3+),0.002654,"repo, nearest 5 years since arrival",0.416113,0.90,-0.014083,-23.629,inf,
norms,Death penalty (pp),a(G1->G2),0.044738,paper Mexico row,0.239000,0.00,0.268553,450.592,18.6,6.002785
norms,Death penalty (pp),a(G1->G2),0.044738,paper Mexico row,0.239000,0.50,0.054443,91.347,91.5,1.216927
norms,Death penalty (pp),a(G1->G2),0.044738,paper Mexico row,0.239000,0.90,0.033241,55.774,149.9,0.743017
norms,Death penalty (pp),a(G1->G2),0.044738,repo maximum,0.664480,0.00,0.043233,72.538,115.2,0.966358
norms,Death penalty (pp),a(G1->G2),0.044738,repo maximum,0.664480,0.50,0.017905,30.043,278.2,0.400226
norms,Death penalty (pp),a(G1->G2),0.044738,repo maximum,0.664480,0.90,0.012192,20.456,408.7,0.272509
norms,Death penalty (pp),a(G1->G2),0.044738,repo minimum,0.347107,0.00,0.158957,266.707,31.3,3.553069
norms,Death penalty (pp),a(G1->G2),0.044738,repo minimum,0.347107,0.50,0.042870,71.930,116.2,0.958247
norms,Death penalty (pp),a(G1->G2),0.044738,repo minimum,0.347107,0.90,0.027060,45.403,184.1,0.604861
norms,Death penalty (pp),a(G1->G2),0.044738,"repo, nearest 5 years since arrival",0.416113,0.00,0.118777,199.290,41.9,2.654947
norms,Death penalty (pp),a(G1->G2),0.044738,"repo, nearest 5 years since arrival",0.416113,0.50,0.036448,61.154,136.7,0.814695
norms,Death penalty (pp),a(G1->G2),0.044738,"repo, nearest 5 years since arrival",0.416113,0.90,0.023446,39.340,212.5,0.524084
norms,Death penalty (pp),a(G1->G3+),0.037216,paper Mexico row,0.239000,0.00,0.209388,351.323,23.8,5.626302
norms,Death penalty (pp),a(G1->G3+),0.037216,paper Mexico row,0.239000,0.50,0.042449,71.223,117.4,1.140604
norms,Death penalty (pp),a(G1->G3+),0.037216,paper Mexico row,0.239000,0.90,0.025918,43.486,192.2,0.696416
norms,Death penalty (pp),a(G1->G3+),0.037216,repo maximum,0.664480,0.00,0.021953,36.834,226.9,0.589874
norms,Death penalty (pp),a(G1->G3+),0.037216,repo maximum,0.664480,0.50,0.009092,15.255,548.0,0.244302
norms,Death penalty (pp),a(G1->G3+),0.037216,repo maximum,0.664480,0.90,0.006191,10.387,804.8,0.166342
norms,Death penalty (pp),a(G1->G3+),0.037216,repo minimum,0.347107,0.00,0.118220,198.355,42.1,3.176586
norms,Death penalty (pp),a(G1->G3+),0.037216,repo minimum,0.347107,0.50,0.031883,53.496,156.3,0.856711
norms,Death penalty (pp),a(G1->G3+),0.037216,repo minimum,0.347107,0.90,0.020125,33.767,247.6,0.540770
norms,Death penalty (pp),a(G1->G3+),0.037216,"repo, nearest 5 years since arrival",0.416113,0.00,0.084795,142.274,58.8,2.278463
norms,Death penalty (pp),a(G1->G3+),0.037216,"repo, nearest 5 years since arrival",0.416113,0.50,0.026020,43.658,191.5,0.699168
norms,Death penalty (pp),a(G1->G3+),0.037216,"repo, nearest 5 years since arrival",0.416113,0.90,0.016739,28.085,297.6,0.449767
norms,Death penalty (pp),a(G2->G3+),0.029694,paper Mexico row,0.239000,0.00,0.150224,252.054,33.2,5.059079
norms,Death penalty (pp),a(G2->G3+),0.029694,paper Mexico row,0.239000,0.50,0.030455,51.098,163.6,1.025612
norms,Death penalty (pp),a(G2->G3+),0.029694,paper Mexico row,0.239000,0.90,0.018595,31.199,267.9,0.626206
norms,Death penalty (pp),a(G2->G3+),0.029694,repo maximum,0.664480,0.00,0.000673,1.129,7407.1,0.022652
norms,Death penalty (pp),a(G2->G3+),0.029694,repo maximum,0.664480,0.50,0.000279,0.467,17884.5,0.009381
norms,Death penalty (pp),a(G2->G3+),0.029694,repo maximum,0.664480,0.90,0.000190,0.318,26266.5,0.006388
norms,Death penalty (pp),a(G2->G3+),0.029694,repo minimum,0.347107,0.00,0.077482,130.004,64.3,2.609363
norms,Death penalty (pp),a(G2->G3+),0.029694,repo minimum,0.347107,0.50,0.020897,35.062,238.4,0.703734
norms,Death penalty (pp),a(G2->G3+),0.029694,repo minimum,0.347107,0.90,0.013190,22.131,377.7,0.444208
norms,Death penalty (pp),a(G2->G3+),0.029694,"repo, nearest 5 years since arrival",0.416113,0.00,0.050814,85.258,98.0,1.711241
norms,Death penalty (pp),a(G2->G3+),0.029694,"repo, nearest 5 years since arrival",0.416113,0.50,0.015593,26.162,319.5,0.525110
norms,Death penalty (pp),a(G2->G3+),0.029694,"repo, nearest 5 years since arrival",0.416113,0.90,0.010031,16.830,496.7,0.337797
norms,Ever approves police striking a citizen (pp),a(G1->G2),0.017588,paper Mexico row,0.239000,0.00,0.055005,92.290,90.6,3.127403
norms,Ever approves police striking a citizen (pp),a(G1->G2),0.017588,paper Mexico row,0.239000,0.50,0.011151,18.710,446.8,0.634009
norms,Ever approves police striking a citizen (pp),a(G1->G2),0.017588,paper Mexico row,0.239000,0.90,0.006808,11.424,731.8,0.387106
norms,Ever approves police striking a citizen (pp),a(G1->G2),0.017588,repo maximum,0.664480,0.00,-0.033576,-56.335,inf,
norms,Ever approves police striking a citizen (pp),a(G1->G2),0.017588,repo maximum,0.664480,0.50,-0.013906,-23.332,inf,
norms,Ever approves police striking a citizen (pp),a(G1->G2),0.017588,repo maximum,0.664480,0.90,-0.009468,-15.886,inf,
norms,Ever approves police striking a citizen (pp),a(G1->G2),0.017588,repo minimum,0.347107,0.00,0.011919,19.999,418.0,0.677687
norms,Ever approves police striking a citizen (pp),a(G1->G2),0.017588,repo minimum,0.347107,0.50,0.003215,5.394,1549.9,0.182769
norms,Ever approves police striking a citizen (pp),a(G1->G2),0.017588,repo minimum,0.347107,0.90,0.002029,3.404,2455.4,0.115367
norms,Ever approves police striking a citizen (pp),a(G1->G2),0.017588,"repo, nearest 5 years since arrival",0.416113,0.00,-0.003877,-6.505,inf,
norms,Ever approves police striking a citizen (pp),a(G1->G2),0.017588,"repo, nearest 5 years since arrival",0.416113,0.50,-0.001190,-1.996,inf,
norms,Ever approves police striking a citizen (pp),a(G1->G2),0.017588,"repo, nearest 5 years since arrival",0.416113,0.90,-0.000765,-1.284,inf,
norms,Ever approves police striking a citizen (pp),a(G1->G3+),0.027469,paper Mexico row,0.239000,0.00,0.132724,222.691,37.5,4.831759
norms,Ever approves police striking a citizen (pp),a(G1->G3+),0.027469,paper Mexico row,0.239000,0.50,0.026907,45.145,185.2,0.979528
norms,Ever approves police striking a citizen (pp),a(G1->G3+),0.027469,paper Mexico row,0.239000,0.90,0.016428,27.564,303.3,0.598069
norms,Ever approves police striking a citizen (pp),a(G1->G3+),0.027469,repo maximum,0.664480,0.00,-0.005622,-9.433,inf,
norms,Ever approves police striking a citizen (pp),a(G1->G3+),0.027469,repo maximum,0.664480,0.50,-0.002328,-3.907,inf,
