group,band,sex,typehugq,weighted
all_natives,18_24,2,2,17211
all_natives,18_24,2,3,1577283
all_natives,25_34,1,1,18969215
all_natives,25_34,1,2,451866
all_natives,25_34,1,3,172816
all_natives,25_34,2,1,18999870
all_natives,25_34,2,2,61075
all_natives,25_34,2,3,94269
all_natives,35_44,1,1,17505562
all_natives,35_44,1,2,497955
all_natives,35_44,1,3,132234
all_natives,35_44,2,1,17749144
all_natives,35_44,2,2,63304
all_natives,35_44,2,3,78488
all_natives,45_54,1,1,15101916
all_natives,45_54,1,2,314394
all_natives,45_54,1,3,127885
all_natives,45_54,2,1,15446061
all_natives,45_54,2,2,52617
all_natives,45_54,2,3,62619
all_natives,55_64,1,1,16083786
all_natives,55_64,1,2,264811
all_natives,55_64,1,3,140360
all_natives,55_64,2,1,17060118
all_natives,55_64,2,2,88057
all_natives,55_64,2,3,77681
all_natives,65_74,1,1,13948390
all_natives,65_74,1,2,238761
all_natives,65_74,1,3,96785
all_natives,65_74,2,1,15773231
all_natives,65_74,2,2,178096
all_natives,65_74,2,3,56942
all_natives,75_99,1,1,9011665
all_natives,75_99,1,2,302998
all_natives,75_99,1,3,64638
all_natives,75_99,2,1,11721086
all_natives,75_99,2,2,619373
all_natives,75_99,2,3,131110
