country,table_id,year,group,sex,age_band,count,population,rate,rate_unit,standardized_index,provisional,source_url
Denmark,STRAFNA9 x FOLK1E,2023,Total,Men,15-29,41590.0,577478.0,7202.0059638635585,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2024,Total,Men,15-29,38265.0,579603.0,6601.932702211687,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2025,Total,Men,15-29,37392.0,580064.0,6446.185248524302,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2023,Persons of Danish origin,Men,15-29,29986.0,467998.0,6407.292338856149,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2024,Persons of Danish origin,Men,15-29,27261.0,466966.0,5837.89826240026,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2025,Persons of Danish origin,Men,15-29,26459.0,463836.0,5704.38689536819,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2023,"Immigrants, total",Men,15-29,5141.0,70259.0,7317.2120297755455,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2024,"Immigrants, total",Men,15-29,4958.0,73089.0,6783.510514578117,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2025,"Immigrants, total",Men,15-29,4881.0,76483.0,6381.8103369376195,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2023,Immigrants from western countries,Men,15-29,2024.0,37090.0,5456.996495012133,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2024,Immigrants from western countries,Men,15-29,1874.0,37365.0,5015.38873277131,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2025,Immigrants from western countries,Men,15-29,1740.0,37064.0,4694.58234405353,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2023,Immigrants from non-western countries,Men,15-29,3117.0,33169.0,9397.328831137507,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2024,Immigrants from non-western countries,Men,15-29,3084.0,35724.0,8632.851864292912,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2025,Immigrants from non-western countries,Men,15-29,3141.0,39419.0,7968.238666632842,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2023,"Descendants, total",Men,15-29,6463.0,39221.0,16478.41717447286,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2024,"Descendants, total",Men,15-29,6046.0,39548.0,15287.751593000909,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2025,"Descendants, total",Men,15-29,6052.0,39745.0,15227.072587746887,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2023,Descendants from western countries,Men,15-29,253.0,3048.0,8300.524934383202,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2024,Descendants from western countries,Men,15-29,268.0,3220.0,8322.981366459626,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
Denmark,STRAFNA9 x FOLK1E,2025,Descendants from western countries,Men,15-29,262.0,3443.0,7609.642753412721,"per 100,000 population",,False,"https://api.statbank.dk/v1/data (POST, table=STRAFNA9) + https://api.statbank.dk/v1/data (POST, table=FOLK1E)"
