fiscal_year,federal_m,state_m,total_m,federal_share_pct
2017,900,635,1535,59
2018,1630,977,2607,63
2019,1992,1118,3110,64
2020,2058,1018,3076,67
2021,4896,2154,7050,69
2022,3816,1585,5401,71
2023,2746,1029,3775,73
