sample,scheme,band,nativity,measure,component,n_positive_group,n_positive_ref,ratio,se,ci_lo,ci_hi,excludes_one
pooled_2016_2024,transport,0-17,us_born,public,share_positive_group,7196,23634,0.5322572202883789,0.01255489117663025,0.5076500857523638,0.5568643548243939,True
pooled_2016_2024,transport,0-17,us_born,public,share_positive_ref,7196,23634,0.3865970654728468,0.007606694409186163,0.3716882183894397,0.40150591255625384,True
pooled_2016_2024,transport,0-17,us_born,public,participation_ratio,7196,23634,1.3767751176211727,0.033334943380710316,1.3114398291682985,1.4421104060740468,True
pooled_2016_2024,transport,0-17,us_born,public,conditional_mean_ratio,7196,23634,0.9899389212151277,0.19078492709452566,0.6160073353167574,1.363870507113498,False
pooled_2016_2024,transport,0-17,us_born,public,conditional_geometric_ratio,7196,23634,0.8964867293091644,0.02894559229550632,0.839754410898792,0.9532190477195368,True
pooled_2016_2024,transport,0-17,us_born,public,two_part_arithmetic,7196,23634,1.3629232746937343,0.26463612935042086,0.8442459921588263,1.8816005572286423,False
pooled_2016_2024,transport,0-17,us_born,public,two_part_lognormal,7196,23634,1.2342606221904453,0.05471295625762469,1.1270251984377855,1.3414960459431051,True
pooled_2016_2024,transport,0-17,us_born,medicare,share_positive_group,105,401,0.0076102250125241145,0.0012444421153455089,0.005171163285602078,0.010049286739446151,True
pooled_2016_2024,transport,0-17,us_born,medicare,share_positive_ref,105,401,0.007206597381741722,0.0005771576113407028,0.006075389250110778,0.008337805513372666,True
pooled_2016_2024,transport,0-17,us_born,medicare,participation_ratio,105,401,1.0560080727979897,0.15623431897111476,0.7497944344654619,1.3622217111305175,False
pooled_2016_2024,transport,0-17,us_born,medicare,conditional_mean_ratio,105,401,0.9238788549733908,0.4203863277836012,0.09993679292448265,1.747820917022299,False
pooled_2016_2024,transport,0-17,us_born,medicare,conditional_geometric_ratio,105,401,0.9734524735328975,0.20966948404748015,0.5625078361427411,1.384397110923054,False
pooled_2016_2024,transport,0-17,us_born,medicare,two_part_arithmetic,105,401,0.9756235291392639,0.4531571236878109,0.08745188737339182,1.863795170905136,False
pooled_2016_2024,transport,0-17,us_born,medicare,two_part_lognormal,105,401,1.0279736705359113,0.2782390419004394,0.482635169318119,1.5733121717537035,False
pooled_2016_2024,transport,0-17,us_born,medicaid,share_positive_group,7002,22238,0.5140983576955642,0.01270160187822173,0.4892036754682833,0.5389930399228451,True
pooled_2016_2024,transport,0-17,us_born,medicaid,share_positive_ref,7002,22238,0.35606676710646273,0.007626711603178823,0.34111868704375853,0.37101484716916694,True
pooled_2016_2024,transport,0-17,us_born,medicaid,participation_ratio,7002,22238,1.4438257236790948,0.03678171661352644,1.3717348838270245,1.515916563531165,True
pooled_2016_2024,transport,0-17,us_born,medicaid,conditional_mean_ratio,7002,22238,0.9734902058957106,0.19706413154536523,0.5872516054221312,1.35972880636929,False
pooled_2016_2024,transport,0-17,us_born,medicaid,conditional_geometric_ratio,7002,22238,0.8833285066581041,0.028837473473935785,0.8268080972440608,0.9398489160721475,True
pooled_2016_2024,transport,0-17,us_born,medicaid,two_part_arithmetic,7002,22238,1.4055502010218852,0.28716375545522765,0.8427195826643715,1.9683808193793988,False
pooled_2016_2024,transport,0-17,us_born,medicaid,two_part_lognormal,7002,22238,1.2753724203720112,0.05746454181973737,1.1627439880172301,1.3880008527267922,True
pooled_2016_2024,transport,0-17,us_born,other_public,share_positive_group,311,1832,0.02550114008315441,0.0034844883080490793,0.018671668494827303,0.03233061167148151,True
pooled_2016_2024,transport,0-17,us_born,other_public,share_positive_ref,311,1832,0.03791825983556416,0.0025081397150604843,0.03300239632585106,0.04283412334527727,True
pooled_2016_2024,transport,0-17,us_born,other_public,participation_ratio,311,1832,0.6725292825604953,0.08155124398638484,0.5126917814527423,0.8323667836682482,True
pooled_2016_2024,transport,0-17,us_born,other_public,conditional_mean_ratio,311,1832,1.3365052707650003,0.337267737349632,0.6754726524124071,1.9975378891175934,False
pooled_2016_2024,transport,0-17,us_born,other_public,conditional_geometric_ratio,311,1832,0.9155383477902649,0.18677725454957034,0.549461655741837,1.2816150398386927,False
pooled_2016_2024,transport,0-17,us_born,other_public,two_part_arithmetic,311,1832,0.898838930885906,0.2685355704796856,0.3725188841778049,1.4251589775940072,False
pooled_2016_2024,transport,0-17,us_born,other_public,two_part_lognormal,311,1832,0.6157263481960079,0.17756108515402097,0.26771301623827715,0.9637396801537387,True
pooled_2016_2024,transport,0-17,foreign_born,public,share_positive_group,154,838,0.42483253662753034,0.057000189365855825,0.31311421835848996,0.5365508548965707,True
pooled_2016_2024,transport,0-17,foreign_born,public,share_positive_ref,154,838,0.37400504765882636,0.02360005265836988,0.32774979441517266,0.42026030090248007,True
pooled_2016_2024,transport,0-17,foreign_born,public,participation_ratio,154,838,1.1359005427516842,0.13979119208083052,0.8619148409173356,1.4098862445860327,False
pooled_2016_2024,transport,0-17,foreign_born,public,conditional_mean_ratio,154,838,1.1961350101427282,0.33236179576611524,0.5447178606040852,1.847552159681371,False
pooled_2016_2024,transport,0-17,foreign_born,public,conditional_geometric_ratio,154,838,1.1913360015616457,0.2142678496527119,0.7713787331974873,1.611293269925804,False
pooled_2016_2024,transport,0-17,foreign_born,public,two_part_arithmetic,154,838,1.3586904072254162,0.41222784308910543,0.550738681346141,2.1666421331046912,False
pooled_2016_2024,transport,0-17,foreign_born,public,two_part_lognormal,154,838,1.3532392107734945,0.32806008582724894,0.7102532577869676,1.9962251637600215,False
pooled_2016_2024,transport,0-17,foreign_born,medicare,share_positive_group,4,7,0.0058085607273860715,0.0029458323737997748,3.4835370246379116e-05,0.011582286084525764,True
pooled_2016_2024,transport,0-17,foreign_born,medicare,share_positive_ref,4,7,0.0019517114925883662,0.0008357688129784453,0.00031363471974882144,0.003589788265427911,True
pooled_2016_2024,transport,0-17,foreign_born,medicare,participation_ratio,4,7,2.9761369697540383,1.452131342037788,0.13001183853815945,5.822262100969917,False
