sample,domain,standardized_on,unstandardized_ratio,empty_group_strata,ratio,se,ci_lo,ci_hi,excludes_one
pooled_2016_2024,65plus,medicaid_coverage,0.8477172990550969,0,0.7176229779395249,0.05232280186405096,0.6150721707157598,0.82017378516329,True
pooled_2016_2024,65plus,poverty_category,0.8477172990550969,0,0.7865073549487642,0.0631013605008178,0.662830960991683,0.9101837489058454,True
pooled_2016_2024,65plus,coverage_x_poverty,0.8477172990550969,0,0.7015005614579652,0.05650706996874936,0.5907487394473316,0.8122523834685988,True
pooled_2016_2024,18_64,medicaid_coverage,0.6709235700529559,0,0.5422323011514547,0.029669408320381653,0.48408132940089366,0.6003832729020158,True
pooled_2016_2024,18_64,poverty_category,0.6709235700529559,0,0.5419204869419284,0.03473735935669019,0.4738365136847902,0.6100044601990666,True
pooled_2016_2024,18_64,coverage_x_poverty,0.6709235700529559,0,0.531762053132156,0.030462620441849757,0.4720564141914168,0.5914676920728951,True
pooled_2016_2024,under18,medicaid_coverage,1.3672189878398684,0,0.9617588091510796,0.17065678126843006,0.6272776641474269,1.2962399541547323,False
pooled_2016_2024,under18,poverty_category,1.3672189878398684,0,1.2328237986793331,0.27188138331842454,0.699946079308292,1.7657015180503741,False
pooled_2016_2024,under18,coverage_x_poverty,1.3672189878398684,0,1.0107150338006552,0.1894884156324701,0.6393245636734572,1.3821055039278531,False
pooled_2016_2024,all_ages,medicaid_coverage,0.5712972612983072,0,0.4385025338405972,0.03163671992650502,0.3764957021956667,0.5005093654855277,True
pooled_2016_2024,all_ages,poverty_category,0.5712972612983072,0,0.48912089378064505,0.044067363875146585,0.4027504476917363,0.5754913398695538,True
pooled_2016_2024,all_ages,coverage_x_poverty,0.5712972612983072,0,0.42772999297621483,0.032000175233775234,0.3650108020190448,0.4904491839333849,True
