spec,line,key,meps_payer_ratio,account_target_bn,key_weighted_ratio,se_ratio,delta_bn,se_bn,ci_lo_bn,ci_hi_bn,delta_bn_renormalized
plain,medicaid_and_chip_other_medical,medicaid,medicaid,116.91361192727248,1.1718433775749986,0.1423175473485082,20.09082995807514,16.638858501144718,-12.52073344802661,52.70239336417689,17.237870320498846
plain,medicare,medicare,medicare,63.9649823655796,0.8331302590476994,0.05854410495013576,-10.673820037362741,3.7447726407440753,-18.01343954351208,-3.3342005312134027,-10.147484851757184
plain,health_services,health_other,other_public,23.53499600651205,0.7805596533952828,0.08544219575340527,-5.16452768100964,2.0108817358440136,-9.105783460433292,-1.2232719015859865,-4.846502988017465
plain,military_medical,tricare,tricare,0.648413932682994,0.5283817501517762,0.12137236705920984,-0.30580384410915756,0.07869953384390613,-0.46005209604330466,-0.1515555921750105,-0.2903508307867515
plain,veterans_other,va_medical,va,2.369883793096611,0.678226166043425,0.12603166790207682,-0.762566594136247,0.29868040717806615,-1.3479694350930154,-0.1771637531794786,-0.7288847773886695
plain,all five medical lines,,,207.43188802514373,,,3.184111801457354,17.650156795308238,-31.40955983883169,37.7777834417464,
winsor_p995,medicaid_and_chip_other_medical,medicaid,medicaid,116.91361192727248,1.1166565958117105,0.05396192217606494,13.638743971487003,6.308883228142136,1.2735600616596239,26.003927881314382,11.780784281222193
winsor_p995,medicare,medicare,medicare,63.9649823655796,0.8450368689784764,0.050268707866116626,-9.912213943106758,3.2154370121966225,-16.214354681569215,-3.610073204644299,-9.416797981294904
winsor_p995,health_services,health_other,other_public,23.53499600651205,0.7590187116939564,0.06140419160202943,-5.671493657926865,1.4451474041368633,-8.503930522386668,-2.839056793467062,-5.3313105669432606
winsor_p995,military_medical,tricare,tricare,0.648413932682994,0.4941147207519566,0.0638248597683765,-0.3280230634036584,0.04138492832535361,-0.409136032424123,-0.2469100943831938,-0.3124712801013557
winsor_p995,veterans_other,va_medical,va,2.369883793096611,0.6921410536354065,0.10571493844402761,-0.729589927549249,0.2505321193067069,-1.2206238583608864,-0.23855599673761158,-0.6967332797378576
