spec,age_group,nativity,component,ledger_cost_bn,delta_cost_bn,se_bn,ci_lo_bn,ci_hi_bn,implied_ratio,year,year_spec,line,key,meps_payer_ratio,account_target_bn,key_weighted_ratio,se_ratio,delta_bn,delta_bn_renormalized
plain_year_2016,0-17,both,medical,17.765167580702354,0.7569516324039459,2.6476336385925987,-4.432314943494285,5.946218208302177,1.0426087527159718,2016,plain,,,,,,,,
plain_year_2016,0-17,both,M,9.138000853840099,0.4350202977005825,1.4035891676923933,-2.3159639200670585,3.1860045154682237,1.0476056311066957,2016,plain,,,,,,,,
plain_year_2016,0-17,both,medical+M,26.903168434542454,1.1919719301045284,3.9990339216804274,-6.645990529343081,9.029934389552137,1.0443060055548732,2016,plain,,,,,,,,
plain_year_2016,18-64,both,medical,41.20664847955583,-0.2920478507183075,4.894556446451193,-9.885202206060995,9.30110650462438,0.9929126036332898,2016,plain,,,,,,,,
plain_year_2016,18-64,both,M,16.300277115190685,0.8692207381492252,1.9205259054311146,-2.8949408678719375,4.633382344170387,1.053325519069806,2016,plain,,,,,,,,
plain_year_2016,18-64,both,medical+M,57.50692559474652,0.5771728874309178,6.699817490509921,-12.554228096960053,13.708573871821889,1.0100365804894227,2016,plain,,,,,,,,
plain_year_2016,65+,both,medical,33.90586660943555,-1.4300783931166459,4.9967865055114595,-11.223599982354859,8.363443196121567,0.9578220958163425,2016,plain,,,,,,,,
plain_year_2016,65+,both,M,9.71210305891032,-0.12305392471798325,1.3657728574562125,-2.799919536394517,2.5538116869585505,0.9873298374233078,2016,plain,,,,,,,,
plain_year_2016,65+,both,medical+M,43.617969668345864,-1.553132317834629,6.343213050509441,-13.985601443097584,10.879336807428325,0.9643923747564582,2016,plain,,,,,,,,
plain_year_2016,all ages,both,medical,92.87768266969373,-0.9651746114309998,7.979559058279278,-16.604822978168734,14.674473755306735,0.9896081105418671,2016,plain,,,,,,,,
plain_year_2016,all ages,both,M,35.1503810279411,1.1811871111318284,2.808079007847415,-4.322546609992073,6.68492083225573,1.0336038209711838,2016,plain,,,,,,,,
plain_year_2016,all ages,both,medical+M,128.02806369763482,0.21601249970082856,10.647142627991318,-20.6520035894233,21.084028588824953,1.0016872277332178,2016,plain,,,,,,,,
plain_year_2016,all ages,us_born,medical,58.63519720503764,0.5402945324534302,5.624301091248987,-10.483133044603909,11.563722109510769,1.0092145086604571,2016,plain,,,,,,,,
plain_year_2016,all ages,us_born,M,23.877914943409316,0.9484521283964119,2.212352544397975,-3.3876791797291697,5.284583436521993,1.0397208939995073,2016,plain,,,,,,,,
plain_year_2016,all ages,us_born,medical+M,82.51311214844696,1.488746660849842,7.667132053008022,-13.538556027758524,16.516049349458207,1.018042546476389,2016,plain,,,,,,,,
plain_year_2016,all ages,foreign_born,medical,34.242485464656085,-1.5054691438844223,4.7512532565691705,-10.817754408188643,7.806816120419798,0.9560350505094521,2016,plain,,,,,,,,
plain_year_2016,all ages,foreign_born,M,11.272466084531787,0.2327349827354088,1.4666356647021976,-2.641818098522861,3.1072880639936784,1.0206463236163354,2016,plain,,,,,,,,
plain_year_2016,all ages,foreign_born,medical+M,45.51495154918786,-1.2727341611490135,6.1864171350493535,-13.39788893918721,10.852420616889184,0.9720370094259339,2016,plain,,,,,,,,
plain_year_2016,,,,,,9.771602869516096,-9.889976235360074,28.414003155599517,,2016,plain,medicaid_and_chip_other_medical,medicaid,medicaid,116.91361192727248,1.079221001793027,0.08357968510625298,9.262013460119721,8.036985450989183
plain_year_2016,,,,,,9.721619235307488,-22.727317413087913,15.380729732141079,,2016,plain,medicare,medicare,medicare,63.9649823655796,0.9425733627271339,0.15198345838267313,-3.6732938404734177,-3.469685148770886
plain_year_2016,,,,,,3.0228159616473023,-13.068183024506267,-1.2189621910632245,,2016,plain,health_services,health_other,other_public,23.53499600651205,0.6964702009803552,0.12843919586010977,-7.143572607784746,-6.748449181236412
plain_year_2016,,,,,,0.19679194197297334,-0.5683919854286544,0.20301825200079343,,2016,plain,military_medical,tricare,tricare,0.648413932682994,0.7182557969443801,0.30349739888945887,-0.18268686671393047,-0.17036168413384362
plain_year_2016,,,,,,0.3735021490681843,-1.7802814031348715,-0.316179882490968,,2016,plain,veterans_other,va_medical,va,2.369883793096611,0.5576869018361241,0.15760357117770207,-1.0482306428129198,-1.0098587549143179
plain_year_2016,,,,,,15.43750296424296,-33.04272031881182,27.471179323481234,,2016,plain,all five medical lines,,,207.43188802514373,,,-2.7857704976652924,
plain_year_2017,0-17,both,medical,17.765167580702354,-0.1055359773676033,3.6319511079459503,-7.224029342552012,7.012957387816805,0.9940593874564829,2017,plain,,,,,,,,
plain_year_2017,0-17,both,M,9.138000853840099,-0.3086146860908356,1.909648624570928,-4.051457213376305,3.4342278411946343,0.9662273301319353,2017,plain,,,,,,,,
plain_year_2017,0-17,both,medical+M,26.903168434542454,-0.4141506634584389,5.452644975009904,-11.101138434961152,10.272837108044275,0.9846058777624613,2017,plain,,,,,,,,
plain_year_2017,18-64,both,medical,41.20664847955583,6.181857945934601,4.723686355680568,-3.076397185462574,15.440113077331775,1.1500208867751438,2017,plain,,,,,,,,
plain_year_2017,18-64,both,M,16.300277115190685,3.194827878471844,2.0357618199951704,-0.7951919698204026,7.184847726764089,1.1959983781806074,2017,plain,,,,,,,,
plain_year_2017,18-64,both,medical+M,57.50692559474652,9.376685824406444,6.602466369526548,-3.563910469002512,22.3172821178154,1.1630531579880363,2017,plain,,,,,,,,
plain_year_2017,65+,both,medical,33.90586660943555,-4.515360663553352,4.312915822080167,-12.968520343183439,3.9377990160767347,0.8668265667541797,2017,plain,,,,,,,,
plain_year_2017,65+,both,M,9.71210305891032,-1.1990056407881755,1.291300881441598,-3.7299088616185334,1.3318975800421824,0.8765452102891192,2017,plain,,,,,,,,
plain_year_2017,65+,both,medical+M,43.617969668345864,-5.714366304341528,5.590012843180684,-16.670590150092018,5.2418575414089625,0.8689905479830593,2017,plain,,,,,,,,
plain_year_2017,all ages,both,medical,92.87768266969373,1.560961305013672,7.813588032311438,-13.753389828349935,16.87531243837728,1.0168066349218143,2017,plain,,,,,,,,
plain_year_2017,all ages,both,M,35.1503810279411,1.6872075515928422,3.2700462044178815,-4.721965236848109,8.096380340033793,1.0479996945197174,2017,plain,,,,,,,,
plain_year_2017,all ages,both,medical+M,128.02806369763482,3.248168856606514,10.882907499836422,-18.081937890153718,24.578275603366745,1.0253707567137604,2017,plain,,,,,,,,
