check,quantity,value,se,unit,basis
nursing_facility,"use-based charge, union share = its share of the 65+ institutional population (a ceiling)",2.204057351211653,,$bn (2023),68.8 x 0.0320
nursing_facility,"account over-charge, union share = its share of the 65+ institutional population (a ceiling)",6.225681173831678,,$bn (2023),68.8 x (0.1225 - 0.0320)
nursing_facility,"use-based charge, union share doubled, allowing for under-65 residents",4.408114702423306,,$bn (2023),68.8 x 0.0641
nursing_facility,"account over-charge, union share doubled, allowing for under-65 residents",4.0216238226200245,,$bn (2023),68.8 x (0.1225 - 0.0641)
nursing_facility,account charge to the union of nursing-facility Medicaid,8.42973852504333,,$bn (2023),68.8 x line share 0.1225 (target_bn / national_bn of the preferred Medicaid line)
nursing_facility,"union persons 65+ in institutional group quarters, ACS 2024",43447.0,,persons,"mexico_born + usborn_mexican, bands 65_74 and 75_99, TYPEHUGQ = 2"
nursing_facility,"all natives + Mexico-born 65+ in institutional group quarters, ACS 2024",1356205.0,,persons,floor on the national count: other foreign-born omitted
nursing_facility,institutional rate mexico_born 65_74,0.0058355468670097275,,share,ACS 2024 TYPEHUGQ = 2
nursing_facility,institutional rate mexico_born 75_99,0.019719730680102746,,share,ACS 2024 TYPEHUGQ = 2
nursing_facility,institutional rate usborn_mexican 65_74,0.013649700766503082,,share,ACS 2024 TYPEHUGQ = 2
nursing_facility,institutional rate usborn_mexican 75_99,0.02614396422684124,,share,ACS 2024 TYPEHUGQ = 2
nursing_facility,institutional rate all_natives 65_74,0.01376119698120358,,share,ACS 2024 TYPEHUGQ = 2
nursing_facility,institutional rate all_natives 75_99,0.042212094987522236,,share,ACS 2024 TYPEHUGQ = 2
nursing_facility,institutional rate native_nh_white 65_74,0.01148478857522825,,share,ACS 2024 TYPEHUGQ = 2
nursing_facility,institutional rate native_nh_white 75_99,0.041934731046178494,,share,ACS 2024 TYPEHUGQ = 2
medicaid_line_combined,"plain, nursing facility at share ceiling: change in the $116.91bn line",12.41655404402593,15.439158789471318,$bn,(116.914 - 8.430) x 1.1718 + 68.8 x 0.0320 - 116.914
medical_lines_combined,"plain, nursing facility at share ceiling: change in all five medical lines ($207.43bn)",-4.490164112591856,16.491082703246214,$bn,Medicaid line as above + the other four lines' translate.py changes
medicaid_line_combined,"plain, nursing facility at share doubled: change in the $116.91bn line",14.620611395237574,15.439158789471318,$bn,(116.914 - 8.430) x 1.1718 + 68.8 x 0.0641 - 116.914
medical_lines_combined,"plain, nursing facility at share doubled: change in all five medical lines ($207.43bn)",-2.2861067613802106,16.491082703246214,$bn,Medicaid line as above + the other four lines' translate.py changes
medicaid_line_combined,"winsor_p995, nursing facility at share ceiling: change in the $116.91bn line",6.429678197740941,5.853998333889167,$bn,(116.914 - 8.430) x 1.1167 + 68.8 x 0.0320 - 116.914
medical_lines_combined,"winsor_p995, nursing facility at share ceiling: change in all five medical lines ($207.43bn)",-10.21164239424559,7.636136250433758,$bn,Medicaid line as above + the other four lines' translate.py changes
medicaid_line_combined,"winsor_p995, nursing facility at share doubled: change in the $116.91bn line",8.633735548952586,5.853998333889167,$bn,(116.914 - 8.430) x 1.1167 + 68.8 x 0.0641 - 116.914
medical_lines_combined,"winsor_p995, nursing facility at share doubled: change in all five medical lines ($207.43bn)",-8.007585043033945,7.636136250433758,$bn,Medicaid line as above + the other four lines' translate.py changes
medicaid_line_combined,"winsor_p999, nursing facility at share ceiling: change in the $116.91bn line",5.055653237124616,6.513685822854179,$bn,(116.914 - 8.430) x 1.1040 + 68.8 x 0.0320 - 116.914
