spec,age_group,nativity,component,ledger_cost_bn,delta_cost_bn,se_bn,ci_lo_bn,ci_hi_bn,implied_ratio
plain,0-17,both,medical,17.765167580702354,6.446460500987904,4.658496056209247,-2.684023991304098,15.576944993279906,1.362870795994655
plain,0-17,both,medical_transport_payers,17.765167580702354,6.4492052244583284,4.659577184199197,-2.683398239756655,15.581808688673311,1.3630252962805631
plain,0-17,both,M,9.138000853840099,3.7179644548162956,2.597818543373865,-1.3736663285667838,8.809595238199375,1.4068684731249375
plain,0-17,both,medical+M,26.903168434542454,10.164424955804199,7.25125021811672,-4.047764314592783,24.37661422620118,1.3778151625722097
plain,18-64,both,medical,41.20664847955583,-4.213595431486649,2.407482466685133,-8.93217435960116,0.5049834966278629,0.8977447672412093
plain,18-64,both,medical_transport_payers,41.20664847955583,-4.396504448151016,2.426289288970114,-9.151944070607735,0.35893517430570315,0.893305944298472
plain,18-64,both,M,16.300277115190685,-0.615097501806263,1.1559867039302072,-2.880789808116636,1.65059480450411,0.9622645984813941
plain,18-64,both,medical+M,57.50692559474652,-4.828692933292912,3.5166471771082066,-11.721194746759446,2.0638088801736223,0.9160328450294685
plain,65+,both,medical,33.90586660943555,-4.1485364639552005,2.307617198022564,-8.67138306218466,0.3743101342742596,0.8776454673245037
plain,65+,both,medical_transport_payers,33.90586660943555,-4.176031695664234,2.310577381004611,-8.704680145926154,0.3526167545976858,0.8768345388788233
plain,65+,both,M,9.71210305891032,-1.0370604074045373,0.7432177485191078,-2.4937404271729355,0.4196196123638613,0.8932197896671729
plain,65+,both,medical+M,43.617969668345864,-5.185596871359738,3.044073944897715,-11.151872169636025,0.7806784269165497,0.8811132909030612
plain,all ages,both,medical,92.87768266969373,-1.9156713944539185,6.9299941934797795,-15.498210426745985,11.666867637838148,0.9793742550482581
plain,all ages,both,medical_transport_payers,92.87768266969373,-2.123330919356903,6.949382277342888,-15.743869897749905,11.4972080590361,0.9771384162661743
plain,all ages,both,M,35.1503810279411,2.0658065456054993,3.542181114486841,-4.876740865506659,9.00835395671766,1.0587705306512434
plain,all ages,both,medical+M,128.02806369763482,0.1501351511515808,10.421815433069078,-20.27624775118752,20.57651805349068,1.0011726737624194
plain,all ages,us_born,medical,58.63519720503764,0.989460452706459,5.874177140944938,-10.523715182354085,12.502636087767002,1.0168748550336837
plain,all ages,us_born,medical_transport_payers,58.63519720503764,0.9751867906100998,5.882498940064829,-10.554299271012006,12.504672852232206,1.016631423395747
plain,all ages,us_born,M,23.877914943409316,2.437000487931965,3.240153372242742,-3.9135834260498124,8.787584401913742,1.1020608580651894
plain,all ages,us_born,medical+M,82.51311214844696,3.426460940638424,9.084611037949895,-14.379049507298404,21.231971388575253,1.0415262599048982
plain,all ages,foreign_born,medical,34.242485464656085,-2.9051318471604004,2.351388151489251,-7.513767937753545,1.703504243432744,0.915160018096263
plain,all ages,foreign_born,medical_transport_payers,34.242485464656085,-3.0985177099670183,2.3529407338560993,-7.710196806082217,1.513161386148181,0.9095124764478559
plain,all ages,foreign_born,M,11.272466084531787,-0.37119394232647135,0.826589001733375,-1.9912786157408027,1.24889073108786,0.9670707421479113
plain,all ages,foreign_born,medical+M,45.51495154918786,-3.276325789486872,3.1612918796922607,-9.472344018302632,2.9196924393288888,0.9280164939658091
