sample,spec,scheme,band,nativity,comparison,measure,n_num,n_den,ratio,se,ci_lo,ci_hi,excludes_one
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/all_donors,public,12007,50220,1.3629232746937343,0.26463612935042086,0.8442459921588263,1.8816005572286423,False
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/nh_white,public,12007,19613,1.6391924136956884,0.4227127383456279,0.8106906707319542,2.4676941566594226,False
pooled_2016_2024,plain,transport,0-17,us_born,hispanic/nh_white,public,17287,19613,1.6763029412188786,0.30598951807549335,1.0765745061441439,2.2760313762936133,True
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/all_donors,public_transport,12007,50220,1.3630690943584935,0.26469440224345564,0.8442775990519624,1.8818605896650247,False
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/nh_white,public_transport,12007,19613,1.6391890952411614,0.42277490428483233,0.8105655092755215,2.4678126812068015,False
pooled_2016_2024,plain,transport,0-17,us_born,hispanic/nh_white,public_transport,17287,19613,1.675880091825587,0.30602564025688633,1.0760808585762789,2.2756793250748952,True
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/all_donors,medicare,12007,50220,0.975623529139264,0.4531571236878108,0.08745188737339216,1.863795170905136,False
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/nh_white,medicare,12007,19613,0.9618334546075799,0.5361856861417016,-0.08907117925605246,2.0127380884712123,False
pooled_2016_2024,plain,transport,0-17,us_born,hispanic/nh_white,medicare,17287,19613,0.8155320388719045,0.37261726517091204,0.0852156191191058,1.5458484586247032,False
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/all_donors,medicaid,12007,50220,1.405550201021885,0.2871637554552275,0.8427195826643716,1.9683808193793983,False
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/nh_white,medicaid,12007,19613,1.7108258295440755,0.46883686703284855,0.7919224555350981,2.629729203553053,False
pooled_2016_2024,plain,transport,0-17,us_born,hispanic/nh_white,medicaid,17287,19613,1.7164858245728247,0.3370891678303135,1.0558031960468326,2.377168453098817,True
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/all_donors,medicaid_reported,12007,50220,1.4057207628405162,0.28723180788093433,0.8427567641795568,1.9686847615014755,False
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/nh_white,medicaid_reported,12007,19613,1.7108324621160855,0.46891222944416,0.7917813804951497,2.629883543737021,False
pooled_2016_2024,plain,transport,0-17,us_born,hispanic/nh_white,medicaid_reported,17287,19613,1.7160237459481573,0.33713294005178507,1.0552553254445574,2.3767921664517573,True
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/all_donors,other_public,12007,50220,0.8988389308859063,0.2685355704796857,0.372518884177805,1.4251589775940077,False
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/nh_white,other_public,12007,19613,0.9665907981630385,0.3518485960051525,0.27698022198195604,1.6562013743441208,False
pooled_2016_2024,plain,transport,0-17,us_born,hispanic/nh_white,other_public,17287,19613,1.3515511425466158,0.3938628985071173,0.5795940466261112,2.1235082384671204,False
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/all_donors,va,12007,50220,0.8903698941090672,0.5283277904975162,-0.14513354729768757,1.925873335515822,False
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/nh_white,va,12007,19613,1.0282764840606615,0.7593997941892783,-0.46011976241745334,2.5166727305387764,False
pooled_2016_2024,plain,transport,0-17,us_born,hispanic/nh_white,va,17287,19613,1.4944408239241307,0.7535761690659342,0.017458672947233023,2.9714229749010284,False
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/all_donors,tricare,12007,50220,0.8990246523755453,0.37445756925904994,0.1651013028893945,1.632948001861696,False
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/nh_white,tricare,12007,19613,0.7995369338629792,0.4025840949933239,0.010486606927412434,1.5885872607985458,False
pooled_2016_2024,plain,transport,0-17,us_born,hispanic/nh_white,tricare,17287,19613,1.2742023408337704,0.48924238116320473,0.3153048940432718,2.233099787624269,False
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/all_donors,ofd_stl,12007,50220,0.9001255948623875,0.349674665022652,0.21477584511188186,1.585475344612893,False
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/nh_white,ofd_stl,12007,19613,1.5257476201800346,0.6877185953486199,0.17784394179826446,2.873651298561805,False
pooled_2016_2024,plain,transport,0-17,us_born,hispanic/nh_white,ofd_stl,17287,19613,1.578294329754271,0.5482738047498948,0.5036974187777317,2.6528912407308107,False
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin/all_donors,opu,12007,50220,0.7528954111152503,0.33050001699877185,0.10512728090778178,1.4006635413227189,False
