sample,spec,scheme,band,nativity,group,measure,mean,se,n,weighted
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin,public,1349.122903600034,333.43679780322543,12007,11870371.528816778
pooled_2016_2024,plain,transport,0-17,us_born,all_donors,public,989.8744328826571,69.6698741275557,50220,70171535.26105434
pooled_2016_2024,plain,transport,0-17,us_born,nh_white,public,823.0412075653342,64.49573891759523,19613,34848601.52859222
pooled_2016_2024,plain,transport,0-17,us_born,hispanic,public,1379.6663969861072,229.03226058925665,17287,17751744.668368332
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin,public_transport,1348.9447980798586,333.43975713233465,12007,11870371.528816778
pooled_2016_2024,plain,transport,0-17,us_born,all_donors,public_transport,989.6378721100104,69.6713380212492,50220,70171535.26105434
pooled_2016_2024,plain,transport,0-17,us_born,nh_white,public_transport,822.9342191185079,64.50108825352216,19613,34848601.52859222
pooled_2016_2024,plain,transport,0-17,us_born,hispanic,public_transport,1379.1390747027428,229.036347184133,17287,17751744.668368332
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin,medicare,7.501945511864194,4.2621871192697345,12007,11870371.528816778
pooled_2016_2024,plain,transport,0-17,us_born,all_donors,medicare,7.6893855957766055,1.4939848308774963,50220,70171535.26105434
pooled_2016_2024,plain,transport,0-17,us_born,nh_white,medicare,7.799630461933689,1.882960403360814,19613,34848601.52859222
pooled_2016_2024,plain,transport,0-17,us_born,hispanic,medicare,6.360848533068196,2.887410376366492,17287,17751744.668368332
pooled_2016_2024,plain,transport,0-17,us_born,mexican_origin,medicaid,1272.636236312518,334.4694772934415,12007,11870371.528816778
pooled_2016_2024,plain,transport,0-17,us_born,all_donors,medicaid,905.4363447049177,69.14278575977929,50220,70171535.26105434
pooled_2016_2024,plain,transport,0-17,us_born,nh_white,medicaid,743.8724704382489,61.900933066216204,19613,34848601.52859222
pooled_2016_2024,plain,transport,0-17,us_born,hispanic,medicaid,1276.8465507972219,229.1922037339368,17287,17751744.668368332
