year,hc,records,positive_weight,population,mexican_origin_n,mexican_origin_weighted,mexican_label,us_born_weighted,foreign_born_weighted,nh_white_n,annual_strata,annual_psus,totexp_identity_max_abs_residual,opu_share_of_medicaid,deflator_medical_care,deflator_all_items
2016,HC-192,34655,33259,323141686.707079,6957,35119652,MEXICAN/MEX AMER/CHICANO-NO OTHER HISP,276843356,45524308,13236,165,368,4.0,0.035032151420367634,1.2160263115328624,1.3069993791847738
2017,HC-201,31880,30716,324779908.525702,5644,35208128,MEXICAN/MEX AMER/CHICANO-NO OTHER HISP,276723050,45825250,14235,282,621,4.0,0.013546077621573905,1.1862295454449825,1.279736455613577
2018,HC-209,30461,29415,326327887.86332,4786,37227644,MEXICAN/MEX AMER/CHICANO-NO OTHER HISP,278028344,46519986,15836,117,257,4.0,0.00845956185282773,1.1632615167513571,1.249224434205339
2019,HC-216,28512,27648,327396692.93539405,4230,36990711,MEXICAN/MEX AMER/CHICANO-NO OTHER HISP,278841512,47697485,15281,105,281,5.0,0.0,1.1312726594210023,1.2269916333212076
2020,HC-224,27805,26847,328545296.809381,4394,37772528,MEXICAN/MEX AMER/CHICANO - NO OTHER HISP RPTD,279543458,48347575,14595,105,281,4.0,0.0,1.0866584694609118,1.21203890097407
2021,HC-233,28336,27332,331249393.42083,4325,37800485,MEXICAN/MEX AMER/CHICANO - NO OTHER HISP RPTD,282316754,48182468,15023,105,385,4.0,0.0,1.0734185456788432,1.1576521386131307
2022,HC-243,22431,21747,333053242.837302,3071,39847190,MEXICAN/MEX AMER/CHICANO - NO OTHER HISP RPTD,281993864,50319222,12211,105,364,4.0,0.0,1.031629079651782,1.0718730245510928
2023,HC-251,18919,18463,334530273.168012,2766,41969123,MEXICAN/MEX AMER/CHICANO - NO OTHER HISP RPTD,282254540,51053151,10338,105,262,4.0,0.0,1.026875669296501,1.0294943912412784
2024,HC-256,19140,18683,339797629.595972,2679,42446768,MEXICAN/MEX AMER/CHICANO - NO OTHER HISP RPTD,285498519,52835316,10766,105,264,3.0,0.0,1.0,1.0
