measure,band,nativity,cap_p995,cap_p999
public,0-17,us_born,27702.018574776677,74747.88234712469
public,0-17,foreign_born,14030.65381056816,35837.51142718499
public,18-34,us_born,28048.774317684332,71333.0
public,18-34,foreign_born,18797.226508939373,38101.26316929936
public,35-49,us_born,52711.62903660991,130610.0
public,35-49,foreign_born,25704.58973565474,78212.79785438984
public,50-64,us_born,93142.34964628116,187443.15268966
public,50-64,foreign_born,70565.49230634118,149912.13126470055
public,65+,us_born,129497.21335069565,241646.43625019124
public,65+,foreign_born,153930.0,214753.8946956381
public_transport,0-17,us_born,27702.018574776677,74747.88234712469
public_transport,0-17,foreign_born,14030.65381056816,35837.51142718499
public_transport,18-34,us_born,28048.774317684332,71333.0
public_transport,18-34,foreign_born,18797.226508939373,38101.26316929936
public_transport,35-49,us_born,52711.62903660991,130610.0
public_transport,35-49,foreign_born,25704.58973565474,78212.79785438984
public_transport,50-64,us_born,92949.0,187443.15268966
public_transport,50-64,foreign_born,69469.90222375099,149912.13126470055
public_transport,65+,us_born,129497.21335069565,241646.43625019124
public_transport,65+,foreign_born,153930.0,214753.8946956381
medicare,0-17,us_born,83.67270214849022,1332.1124151874444
medicare,0-17,foreign_born,0.0,259.4073182355526
medicare,18-34,us_born,2212.8443758530725,18706.408450878575
medicare,18-34,foreign_born,268.2235607094633,1363.0
medicare,35-49,us_born,24310.78322253444,77365.73639173908
medicare,35-49,foreign_born,982.1980636284455,16474.166362523767
medicare,50-64,us_born,67135.37597333938,134004.2369452061
medicare,50-64,foreign_born,32648.595779282252,101398.0
medicare,65+,us_born,115393.0,226524.08168085862
medicare,65+,foreign_born,124552.0,210807.88931471398
medicaid,0-17,us_born,25653.0,74285.88045974166
medicaid,0-17,foreign_born,13669.768909675022,33961.75188608985
medicaid,18-34,us_born,23438.709588447407,60861.98918313653
medicaid,18-34,foreign_born,17255.203121787403,34217.55105229801
medicaid,35-49,us_born,33287.20169591538,76306.0
medicaid,35-49,foreign_born,20385.465086536908,66023.0
medicaid,50-64,us_born,48857.251445432055,103500.90029916562
medicaid,50-64,foreign_born,39855.0984767358,107958.81158514321
medicaid,65+,us_born,21177.175912458457,51165.31403456703
medicaid,65+,foreign_born,51214.19403023306,109035.31082570789
other_public,0-17,us_born,3657.4045079081006,14111.98534533887
other_public,0-17,foreign_born,4817.156995120222,10150.566220372715
other_public,18-34,us_born,4864.727365869873,17184.764325676944
other_public,18-34,foreign_born,3509.602128975362,13528.0
other_public,35-49,us_born,9327.111704220119,39022.4015669083
other_public,35-49,foreign_born,3366.4788294784275,12005.402770604154
other_public,50-64,us_born,18108.281459351983,62421.77114040587
other_public,50-64,foreign_born,11229.0,40934.34480516642
other_public,65+,us_born,30126.0,83927.0
other_public,65+,foreign_born,13104.014483229135,31422.390137113627
va,0-17,us_born,9.050181275368018,985.338486355693
va,0-17,foreign_born,0.0,401.60179409445584
va,18-34,us_born,780.6888920040977,9648.826781983116
va,18-34,foreign_born,371.05743229008874,6282.621095079352
va,35-49,us_born,4544.951712306314,29831.37480296073
va,35-49,foreign_born,154.0,3426.7621458996064
va,50-64,us_born,12006.022114390757,46480.173705720605
va,50-64,foreign_born,1662.0,20701.95007196217
va,65+,us_born,24683.259457885,75238.15341368534
va,65+,foreign_born,5337.699729003212,18350.450426752657
tricare,0-17,us_born,1597.2467959701187,8951.445524138511
tricare,0-17,foreign_born,3080.455451603389,7349.878263577111
tricare,18-34,us_born,1268.9037679716919,8555.145809060381
tricare,18-34,foreign_born,666.4323854550512,9307.601066503486
tricare,35-49,us_born,1753.7694354080293,11316.208034957202
tricare,35-49,foreign_born,576.9777123086732,4660.695884053336
tricare,50-64,us_born,5379.201495546866,20483.954044136088
tricare,50-64,foreign_born,3169.605345428993,25917.315017374392
tricare,65+,us_born,6595.436272674103,19488.046451909
tricare,65+,foreign_born,4562.238831781403,12174.756360688827
