sample,step,group,reference,mean_group,mean_reference,n_group,n_reference,ratio,se,ci_lo,ci_hi,excludes_one
pooled_2016_2024,"1 ledger estimand: Mexican-origin / all donors, all public payers",mexican_origin,all_donors,8588.781120888538,10131.657252319816,3033,46639,0.8477172990550969,0.06676783551058062,0.7168547461286643,0.9785798519815294,True
pooled_2016_2024,2 reference switched to non-Hispanic white,mexican_origin,nh_white,8588.781120888538,10194.053098420847,3033,31993,0.8425285838680808,0.0692106481806065,0.7068782060874195,0.9781789616487422,True
pooled_2016_2024,3 group widened to all Hispanic (MCBS CSP_RACE=3),hispanic,nh_white,9646.525888633454,10194.053098420847,5520,31993,0.946289547003418,0.05222925350190567,0.8439220912002704,1.0486570028065656,False
pooled_2016_2024,4 restricted to Medicare-ever (MCBS universe),hispanic,nh_white,10081.867115126326,10315.152788034944,5274,31625,0.9773841766862419,0.05342258778241108,0.8726778286717867,1.082090524700697,False
pooled_2016_2024,5 public = Medicare + Medicaid only (MCBS payer set),hispanic,nh_white,9653.347341400231,9605.425077116099,5274,31625,1.0049890831378512,0.05635511090339315,0.8945350954224401,1.1154430708532623,False
pooled_2016_2024,6a step 5 below 200% FPL (POVCAT 1-3),hispanic,nh_white,11075.621257829922,11819.64369778378,3072,8852,0.9370520415862142,0.062203072068756034,0.815136260603703,1.0589678225687256,False
pooled_2016_2024,6b step 5 at or above 200% FPL (POVCAT 4-5),hispanic,nh_white,8331.766110379484,8877.193561478278,2202,22773,0.9385585717691655,0.07605995459422023,0.789483800098742,1.0876333434395888,False
pooled_2016_2024,7a Mexican-origin / all donors below 200% FPL,mexican_origin,all_donors,9673.472517642538,12359.9651872607,1797,16567,0.7826456119482356,0.07708005371989404,0.6315714827308306,0.9337197411656405,True
pooled_2016_2024,7b Mexican-origin / all donors at or above 200% FPL,mexican_origin,all_donors,7574.208257642907,9221.899735116562,1236,30072,0.8213284111950032,0.07364074689744987,0.6769951994813718,0.9656616229086347,True
pooled_2016_2024,"8 Mexican-origin / all donors, Medicare-ever only",mexican_origin,all_donors,8961.683447348974,10302.387280926541,2896,45858,0.869864741344009,0.06748686872927966,0.7375929092052385,1.0021365734827796,False
