sample,domain,group,quantity,value,se,n
pooled_2016_2024,all_ages,mexican_origin,"OPU $/person 2016-18 (Medicaid paid, person not reporting enrollment)",22.815270221273718,6.024132667529194,16594
pooled_2016_2024,all_ages,mexican_origin,OPU share of harmonized Medicaid $ 2016-18,0.02844248726479133,0.0075000898900496145,16594
pooled_2016_2024,all_ages,mexican_origin,"Medicaid $/person paid for people never reporting Medicaid, 2019-24",19.38388657065938,3.817188418449104,20619
pooled_2016_2024,all_ages,mexican_origin,"share of Medicaid $ paid for people never reporting Medicaid, 2019-24",0.018602096963485876,0.0049584392171347245,20619
pooled_2016_2024,all_ages,mexican_origin,"uninsured all year, share",0.17431174441936426,0.007993305662527532,37213
pooled_2016_2024,all_ages,mexican_origin,public $/person among the uninsured all year,164.28699074881703,24.85740691270588,7012
pooled_2016_2024,all_ages,mexican_origin,state/local + other federal $/person among the uninsured all year,91.03410191125762,21.290183543096134,7012
pooled_2016_2024,all_ages,mexican_origin,"Medicaid ever, share",0.3826400329978096,0.014345123068756745,37213
pooled_2016_2024,all_ages,all_donors,"OPU $/person 2016-18 (Medicaid paid, person not reporting enrollment)",14.775604855683314,2.118572395713488,92442
pooled_2016_2024,all_ages,all_donors,OPU share of harmonized Medicaid $ 2016-18,0.01832831600403499,0.0026505034372196834,92442
pooled_2016_2024,all_ages,all_donors,"Medicaid $/person paid for people never reporting Medicaid, 2019-24",25.675492010013187,3.0180380516491048,139329
pooled_2016_2024,all_ages,all_donors,"share of Medicaid $ paid for people never reporting Medicaid, 2019-24",0.029866471909102577,0.003706618992477938,139329
pooled_2016_2024,all_ages,all_donors,"uninsured all year, share",0.064914491830414,0.002204890664839242,231771
pooled_2016_2024,all_ages,all_donors,public $/person among the uninsured all year,267.77602882085694,36.290138601772576,17651
pooled_2016_2024,all_ages,all_donors,state/local + other federal $/person among the uninsured all year,138.18956730532707,31.237783227851555,17651
pooled_2016_2024,all_ages,all_donors,"Medicaid ever, share",0.22788316614614762,0.004817880001763918,231771
pooled_2016_2024,all_ages,nh_white,"OPU $/person 2016-18 (Medicaid paid, person not reporting enrollment)",11.490839702115217,2.5880018068238404,41350
pooled_2016_2024,all_ages,nh_white,OPU share of harmonized Medicaid $ 2016-18,0.01712159216362112,0.003979814011392191,41350
pooled_2016_2024,all_ages,nh_white,"Medicaid $/person paid for people never reporting Medicaid, 2019-24",29.0915944762908,4.76232850375008,75211
pooled_2016_2024,all_ages,nh_white,"share of Medicaid $ paid for people never reporting Medicaid, 2019-24",0.04160840466602131,0.0068708586843350605,75211
pooled_2016_2024,all_ages,nh_white,"uninsured all year, share",0.03938928619762458,0.0014537421962702592,116561
pooled_2016_2024,all_ages,nh_white,public $/person among the uninsured all year,373.01458110179374,99.14662585418398,4375
pooled_2016_2024,all_ages,nh_white,state/local + other federal $/person among the uninsured all year,179.11522829329996,85.44892089821589,4375
pooled_2016_2024,all_ages,nh_white,"Medicaid ever, share",0.1521571091511597,0.004424383393002775,116561
pooled_2016_2024,all_ages,mexican_origin foreign-born,"public ratio, under 5 years in US / all foreign-born donors",0.25977873519820244,0.06975726895650441,424
pooled_2016_2024,all_ages,mexican_origin foreign-born,"public ratio, 5-14 years / all foreign-born donors",0.2898814256821499,0.041471922166574735,2195
pooled_2016_2024,all_ages,mexican_origin foreign-born,"public ratio, 15+ years / all foreign-born donors",0.867570428864073,0.07078391729867937,9857
pooled_2016_2024,65plus,mexican_origin,"OPU $/person 2016-18 (Medicaid paid, person not reporting enrollment)",60.28154369127315,23.505050702606905,1072
pooled_2016_2024,65plus,mexican_origin,OPU share of harmonized Medicaid $ 2016-18,0.0473069125134203,0.016825624713125275,1072
