account,reference,order,later,earlier,estimate,se_cps,se_meps,se_joint,ci95_low,ci95_high
partial,third_plus_nh_white,0,w1_pre1990,,-4901.167731344879,473.1947736029378,585.0775554723419,752.4819198376974,-6376.032294226766,-3426.3031684629923
partial,third_plus_nh_white,0,w2_1990_1999,,-5296.128954939326,573.7431675349786,569.8829075173091,808.6703596481402,-6881.122859849681,-3711.135050028971
partial,third_plus_nh_white,0,w3_2000_2009,,-5267.856104997427,804.9591385087167,564.6655046398502,983.2631116841881,-7195.0518038984355,-3340.6604060964182
partial,third_plus_nh_white,0,w4_2010_2015,,-4824.3627074674,1056.699716130354,566.222526048451,1198.8420409189275,-7174.093107668497,-2474.6323072663017
partial,third_plus_nh_white,0,w5_2016_2025,,-3977.8158105170837,1114.3089974050279,559.6246798722763,1246.941989035555,-6421.822109026772,-1533.8095120073958
partial,third_plus_nh_white,1,w2_1990_1999,w1_pre1990,-394.9612235944469,630.6784904679256,25.165948525305314,631.1803888779178,-1632.0747857951658,842.152338606272
partial,third_plus_nh_white,1,w3_2000_2009,w2_1990_1999,28.27284994189904,897.8107947111749,8.924847332864532,897.8551531287363,-1731.523250190424,1788.0689500742221
partial,third_plus_nh_white,1,w4_2010_2015,w3_2000_2009,443.4933975300273,1186.8634290349826,2.680069307222622,1186.8664549780522,-1882.7648542269549,2769.7516492870095
partial,third_plus_nh_white,1,w5_2016_2025,w4_2010_2015,846.5468969503158,1574.4965020865882,11.459240221762236,1574.5382019085346,-2239.547978790412,3932.6417726910436
partial,third_plus_nh_white,2,w3_2000_2009,w1_pre1990,423.23407353634593,1268.0763118613079,16.241101192440784,1268.1803129175755,-2062.399339782102,2908.8674868547937
partial,third_plus_nh_white,2,w4_2010_2015,w2_1990_1999,415.2205475881283,1784.8170214501927,11.604916640087154,1784.8547487536796,-3083.0947599690835,3913.53585514534
partial,third_plus_nh_white,2,w5_2016_2025,w3_2000_2009,403.0534994202885,2451.1814374701476,14.13930952898486,2451.22221748094,-4401.342046842354,5207.44904568293
partial,all_native,0,w1_pre1990,,-3886.434499968249,442.3755322205877,575.7685839247267,726.0892326306274,-5309.569395924278,-2463.2996040122193
partial,all_native,0,w2_1990_1999,,-4281.395723562696,556.0687569892058,560.5710839899763,789.5900219134088,-5828.992166512977,-2733.799280612415
partial,all_native,0,w3_2000_2009,,-4253.122873620797,794.4767323975817,555.3555034878575,969.3363779284208,-6153.022174360502,-2353.223572881092
partial,all_native,0,w4_2010_2015,,-3809.6294760907695,1046.0734252594286,556.9118114250246,1185.082434575205,-6132.391047858171,-1486.8679043233674
partial,all_native,0,w5_2016_2025,,-2963.0825791404536,1095.9199270760255,550.3180513030604,1226.3321100551511,-5366.69351484855,-559.4716434323573
partial,all_native,1,w2_1990_1999,w1_pre1990,-394.9612235944469,630.6784904679258,25.165948525305318,631.1803888779181,-1632.0747857951662,842.1523386062725
partial,all_native,1,w3_2000_2009,w2_1990_1999,28.27284994189904,897.8107947111749,8.924847332864532,897.8551531287363,-1731.523250190424,1788.0689500742221
partial,all_native,1,w4_2010_2015,w3_2000_2009,443.4933975300273,1186.8634290349828,2.680069307222621,1186.8664549780524,-1882.7648542269553,2769.75164928701
partial,all_native,1,w5_2016_2025,w4_2010_2015,846.5468969503158,1574.4965020865884,11.459240221762235,1574.5382019085348,-2239.5479787904123,3932.641772691044
partial,all_native,2,w3_2000_2009,w1_pre1990,423.23407353634593,1268.076311861308,16.241101192440787,1268.1803129175757,-2062.3993397821023,2908.867486854794
partial,all_native,2,w4_2010_2015,w2_1990_1999,415.2205475881283,1784.817021450193,11.604916640087154,1784.8547487536798,-3083.094759969084,3913.5358551453405
partial,all_native,2,w5_2016_2025,w3_2000_2009,403.0534994202885,2451.181437470148,14.139309528984858,2451.2222174809403,-4401.342046842354,5207.449045682932
complete,third_plus_nh_white,0,w1_pre1990,,-3522.8395822506736,525.4889056504321,585.0775554723419,786.4186772191897,-5064.220189600285,-1981.4589749010618
complete,third_plus_nh_white,0,w2_1990_1999,,-3497.7150218159454,597.5171055900339,569.8829075173091,825.7077084253687,-5116.1021303296675,-1879.327913302223
complete,third_plus_nh_white,0,w3_2000_2009,,-3350.4327597803863,807.3248951817341,564.6655046398502,985.2008011113138,-5281.426329958562,-1419.4391896022112
complete,third_plus_nh_white,0,w4_2010_2015,,-3164.0590523977094,969.4651889959991,566.222526048451,1122.7068636468457,-5364.564505145527,-963.553599649892
complete,third_plus_nh_white,0,w5_2016_2025,,-1808.7748650641843,1126.5304368872953,559.6246798722763,1257.8754340377382,-4274.210715778151,656.6609856497826
complete,third_plus_nh_white,1,w2_1990_1999,w1_pre1990,25.12456043472821,648.3023007729832,25.165948525305314,648.7905657087824,-1246.5049483544854,1296.7540692239418
complete,third_plus_nh_white,1,w3_2000_2009,w2_1990_1999,147.28226203555914,891.9911652949665,8.924847332864532,892.0358131062828,-1601.1079316527553,1895.6724557238736
complete,third_plus_nh_white,1,w4_2010_2015,w3_2000_2009,186.3737073826769,1105.632372778613,2.680069307222622,1105.635621037762,-1980.6721098513362,2353.41952461669
complete,third_plus_nh_white,1,w5_2016_2025,w4_2010_2015,1355.284187333525,1536.9009770305286,11.459240221762236,1536.9436968815264,-1657.1254585542665,4367.693833221317
complete,third_plus_nh_white,2,w3_2000_2009,w1_pre1990,122.15770160083093,1267.5331616980902,16.241101192440784,1267.637207316155,-2362.4112247388325,2606.7266279404944
complete,third_plus_nh_white,2,w4_2010_2015,w2_1990_1999,39.09144534711777,1719.9198011427031,11.604916640087154,1719.9589519674528,-3332.0281005090897,3410.210991203325
complete,third_plus_nh_white,2,w5_2016_2025,w3_2000_2009,1168.9104799508482,2310.234460501678,14.13930952898486,2310.2777284481267,-3359.23386780748,5697.054827709177
complete,all_native,0,w1_pre1990,,-2498.802369316709,497.84488195170695,575.7685839247267,761.1563497207352,-3990.6688147693494,-1006.935923864068
complete,all_native,0,w2_1990_1999,,-2473.6778088819806,578.3012582926875,560.5710839899763,805.4019403680394,-4052.265612003338,-895.0900057606234
complete,all_native,0,w3_2000_2009,,-2326.3955468464205,793.7076295389734,555.3555034878575,968.7061145892638,-4225.059531441378,-427.7315622514634
complete,all_native,0,w4_2010_2015,,-2140.0218394637463,959.0985162781708,556.9118114250246,1109.0629962412825,-4313.785312096659,33.74163316916702
complete,all_native,0,w5_2016_2025,,-784.7376521302194,1108.801414420686,550.3180513030604,1237.8572349876667,-3210.9378327060463,1641.4625284456074
complete,all_native,1,w2_1990_1999,w1_pre1990,25.12456043472821,648.3023007729827,25.165948525305318,648.7905657087819,-1246.5049483544842,1296.7540692239406
complete,all_native,1,w3_2000_2009,w2_1990_1999,147.28226203556005,891.9911652949665,8.924847332864532,892.0358131062828,-1601.1079316527544,1895.6724557238745
complete,all_native,1,w4_2010_2015,w3_2000_2009,186.37370738267418,1105.632372778613,2.680069307222621,1105.635621037762,-1980.672109851339,2353.4195246166873
complete,all_native,1,w5_2016_2025,w4_2010_2015,1355.284187333527,1536.9009770305286,11.459240221762235,1536.9436968815264,-1657.1254585542647,4367.6938332213185
complete,all_native,2,w3_2000_2009,w1_pre1990,122.15770160083184,1267.5331616980898,16.241101192440787,1267.6372073161544,-2362.4112247388307,2606.7266279404944
complete,all_native,2,w4_2010_2015,w2_1990_1999,39.09144534711413,1719.9198011427031,11.604916640087154,1719.9589519674528,-3332.0281005090933,3410.2109912033216
complete,all_native,2,w5_2016_2025,w3_2000_2009,1168.9104799508527,2310.234460501678,14.139309528984858,2310.2777284481267,-3359.2338678074752,5697.05482770918
