wave,slice,group,measure,n_unweighted,n_unweighted_band,weighted_pop,estimate,se,singleton_strata
2018,all,returnee_from_us,lt_lower_secondary,969,355,270023.0,0.38218225854834587,0.02088277639478671,0
2018,all,returnee_from_us,lower_secondary,969,301,270023.0,0.3044592497676124,0.018585582649395756,0
2018,all,returnee_from_us,upper_secondary,969,221,270023.0,0.20157542135299586,0.015122945823573096,0
2018,all,returnee_from_us,tertiary,969,92,270023.0,0.11178307033104587,0.014605518448741516,0
2018,all,returnee_from_us,mean_years_schooling,969,969,270023.0,8.889594590090473,0.17698186801817958,0
2018,all,non_migrant,lt_lower_secondary,217171,61186,70883813.0,0.2810790948844696,0.001841289449752923,0
2018,all,non_migrant,lower_secondary,217171,58073,70883813.0,0.2561808011089923,0.0015327801823058621,0
2018,all,non_migrant,upper_secondary,217171,45433,70883813.0,0.21304813272389847,0.0014616506263363737,0
2018,all,non_migrant,tertiary,217171,52467,70883813.0,0.24969197128263967,0.0018656968594962162,0
2018,all,non_migrant,mean_years_schooling,217171,217120,70870724.0,10.108791748762155,0.020591569420088884,0
2018,all,difference_returnee_minus_nonmigrant,lt_lower_secondary,969,355,,0.10110316366387628,0.020932615228649254,-1
2018,all,difference_returnee_minus_nonmigrant,lower_secondary,969,301,,0.04827844865862013,0.01861352198957533,-1
2018,all,difference_returnee_minus_nonmigrant,upper_secondary,969,221,,-0.01147271137090261,0.015183764098082484,-1
2018,all,difference_returnee_minus_nonmigrant,tertiary,969,92,,-0.1379089009515938,0.014601537025269163,-1
2018,all,difference_returnee_minus_nonmigrant,mean_years_schooling,969,969,,-1.2191971586716814,0.17757311414318735,-1
2018,sex:men,returnee_from_us,lt_lower_secondary,788,305,219871.0,0.40216308653710586,0.022539395587225907,0
2018,sex:men,returnee_from_us,lower_secondary,788,248,219871.0,0.30870373992022593,0.020348074245871976,0
2018,sex:men,returnee_from_us,upper_secondary,788,169,219871.0,0.1872188692460579,0.01575612534693206,0
2018,sex:men,returnee_from_us,tertiary,788,66,219871.0,0.10191430429661029,0.01585920427516498,0
2018,sex:men,returnee_from_us,mean_years_schooling,788,788,219871.0,8.660278072142301,0.1930246678308423,0
2018,sex:men,non_migrant,lt_lower_secondary,104069,29219,34052424.0,0.27470390947792733,0.0022155212891950596,0
2018,sex:men,non_migrant,lower_secondary,104069,26862,34052424.0,0.24890322051669508,0.0020111805886022668,0
2018,sex:men,non_migrant,upper_secondary,104069,22040,34052424.0,0.2165657869172544,0.0019113007053397544,0
2018,sex:men,non_migrant,tertiary,104069,25942,34052424.0,0.2598270830881232,0.002308770604893882,0
2018,sex:men,non_migrant,mean_years_schooling,104069,104042,34046608.0,10.248407917757916,0.02380220045003773,0
2018,sex:men,difference_returnee_minus_nonmigrant,lt_lower_secondary,788,305,,0.12745917705917853,0.022586255016993417,-1
2018,sex:men,difference_returnee_minus_nonmigrant,lower_secondary,788,248,,0.059800519403530844,0.020344182369627956,-1
2018,sex:men,difference_returnee_minus_nonmigrant,upper_secondary,788,169,,-0.029346917671196487,0.015844685462002742,-1
2018,sex:men,difference_returnee_minus_nonmigrant,tertiary,788,66,,-0.1579127787915129,0.01593669631603099,-1
2018,sex:men,difference_returnee_minus_nonmigrant,mean_years_schooling,788,788,,-1.5881298456156152,0.19422128190160717,-1
2018,sex:women,returnee_from_us,lt_lower_secondary,181,50,50152.0,0.2945844632317754,0.04854573739421316,0
2018,sex:women,returnee_from_us,lower_secondary,181,53,50152.0,0.285851012920721,0.03962374139328597,0
2018,sex:women,returnee_from_us,upper_secondary,181,52,50152.0,0.26451587174988034,0.04058013601671989,0
2018,sex:women,returnee_from_us,tertiary,181,26,50152.0,0.15504865209762322,0.03695588011914483,0
