arm,year,measure,group,n,wpop,rate,se,neff
citizens_18plus,2018,turnout_census_convention,7 All US-born,81925,207021861.427500,0.542468,0.001991,62635.168161
citizens_18plus,2018,turnout_census_convention,8 Indian 2nd gen (self-ID),166,589868.719300,0.330356,0.039253,143.577905
citizens_18plus,2018,turnout_census_convention,9 US-born Asian (any),1764,4794893.713700,0.375013,0.013439,1297.635947
citizens_18plus,2018,turnout_reported_only,1 India-born,282,904197.728900,0.642454,0.030483,247.210121
citizens_18plus,2018,turnout_reported_only,2 China-born,259,854045.097200,0.439783,0.032794,229.094225
citizens_18plus,2018,turnout_reported_only,3 Mexico-born,990,3196549.598100,0.473527,0.016993,863.386972
citizens_18plus,2018,turnout_reported_only,4 Other foreign-born,4024,12810435.997900,0.586058,0.008458,3391.502671
citizens_18plus,2018,turnout_reported_only,5 Indian 2nd gen,98,315914.830000,0.704069,0.051361,78.983010
citizens_18plus,2018,turnout_reported_only,6 US-born NH white,53769,126670830.950200,0.683334,0.002278,41693.557421
citizens_18plus,2018,turnout_reported_only,7 All US-born,68388,170624055.722600,0.658189,0.002077,52150.752501
citizens_18plus,2018,turnout_reported_only,8 Indian 2nd gen (self-ID),90,306163.597100,0.636479,0.055509,75.092086
citizens_18plus,2018,turnout_reported_only,9 US-born Asian (any),1175,3020169.966400,0.595380,0.017041,829.573875
citizens_18plus,2018,vote_item_nonresponse,1 India-born,336,1084510.366200,0.166262,0.021606,296.954899
citizens_18plus,2018,vote_item_nonresponse,2 China-born,312,1035410.924000,0.175163,0.022863,276.394760
citizens_18plus,2018,vote_item_nonresponse,3 Mexico-born,1220,3988470.922400,0.198553,0.012211,1067.200922
citizens_18plus,2018,vote_item_nonresponse,4 Other foreign-born,4956,15701457.172500,0.184124,0.006000,4172.650830
citizens_18plus,2018,vote_item_nonresponse,5 Indian 2nd gen,132,433006.479600,0.270415,0.042497,109.241001
citizens_18plus,2018,vote_item_nonresponse,6 US-born NH white,63192,149837759.850900,0.154613,0.001632,49085.713651
citizens_18plus,2018,vote_item_nonresponse,7 All US-born,81925,207021861.427500,0.175816,0.001521,62635.168161
citizens_18plus,2018,vote_item_nonresponse,8 Indian 2nd gen (self-ID),166,589868.719300,0.480963,0.041698,143.577905
citizens_18plus,2018,vote_item_nonresponse,9 US-born Asian (any),1764,4794893.713700,0.370128,0.013404,1297.635947
citizens_18plus,2020,registered_census_convention,1 India-born,382,1359011.133200,0.815933,0.020974,341.415805
citizens_18plus,2020,registered_census_convention,2 China-born,257,970063.559300,0.598985,0.032434,228.337469
citizens_18plus,2020,registered_census_convention,3 Mexico-born,1007,3713649.024200,0.548982,0.016636,894.638440
citizens_18plus,2020,registered_census_convention,4 Other foreign-born,4506,15466728.453200,0.681760,0.007542,3814.299597
citizens_18plus,2020,registered_census_convention,5 Indian 2nd gen,195,712586.107500,0.690955,0.036334,161.754044
citizens_18plus,2020,registered_census_convention,6 US-born NH white,58055,150153561.534400,0.766506,0.001999,44807.303169
citizens_18plus,2020,registered_census_convention,7 All US-born,75746,210083240.689100,0.733208,0.001836,58007.762433
citizens_18plus,2020,registered_census_convention,8 Indian 2nd gen (self-ID),230,825214.241400,0.584164,0.035287,195.089823
citizens_18plus,2020,registered_census_convention,9 US-born Asian (any),1681,4928673.262100,0.567863,0.013934,1263.928754
citizens_18plus,2020,turnout_census_convention,1 India-born,382,1359011.133200,0.787023,0.022157,341.415805
citizens_18plus,2020,turnout_census_convention,2 China-born,257,970063.559300,0.581475,0.032647,228.337469
citizens_18plus,2020,turnout_census_convention,3 Mexico-born,1007,3713649.024200,0.496929,0.016716,894.638440
citizens_18plus,2020,turnout_census_convention,4 Other foreign-born,4506,15466728.453200,0.620908,0.007856,3814.299597
citizens_18plus,2020,turnout_census_convention,5 Indian 2nd gen,195,712586.107500,0.637979,0.037787,161.754044
citizens_18plus,2020,turnout_census_convention,6 US-born NH white,58055,150153561.534400,0.711617,0.002140,44807.303169
citizens_18plus,2020,turnout_census_convention,7 All US-born,75746,210083240.689100,0.673758,0.001947,58007.762433
citizens_18plus,2020,turnout_census_convention,8 Indian 2nd gen (self-ID),230,825214.241400,0.550301,0.035616,195.089823
citizens_18plus,2020,turnout_census_convention,9 US-born Asian (any),1681,4928673.262100,0.536619,0.014026,1263.928754
citizens_18plus,2020,turnout_reported_only,1 India-born,327,1178605.065000,0.907491,0.016870,294.985775
citizens_18plus,2020,turnout_reported_only,2 China-born,216,795466.400500,0.709104,0.032890,190.681234
citizens_18plus,2020,turnout_reported_only,3 Mexico-born,810,3011124.082600,0.612868,0.018126,722.130668
citizens_18plus,2020,turnout_reported_only,4 Other foreign-born,3762,12921208.851400,0.743229,0.007733,3191.140629
citizens_18plus,2020,turnout_reported_only,5 Indian 2nd gen,155,555471.634300,0.818431,0.034197,127.068877
citizens_18plus,2020,turnout_reported_only,6 US-born NH white,49937,129349134.655900,0.826073,0.001931,38543.763579
citizens_18plus,2020,turnout_reported_only,7 All US-born,64169,177282279.433200,0.798417,0.001812,49044.975679
citizens_18plus,2020,turnout_reported_only,8 Indian 2nd gen (self-ID),165,575148.447800,0.789564,0.034997,135.659450
citizens_18plus,2020,turnout_reported_only,9 US-born Asian (any),1215,3476115.299300,0.760855,0.014318,887.617211
citizens_18plus,2020,vote_item_nonresponse,1 India-born,382,1359011.133200,0.132748,0.018363,341.415805
citizens_18plus,2020,vote_item_nonresponse,2 China-born,257,970063.559300,0.179985,0.025424,228.337469
citizens_18plus,2020,vote_item_nonresponse,3 Mexico-born,1007,3713649.024200,0.189174,0.013094,894.638440
citizens_18plus,2020,vote_item_nonresponse,4 Other foreign-born,4506,15466728.453200,0.164580,0.006004,3814.299597
citizens_18plus,2020,vote_item_nonresponse,5 Indian 2nd gen,195,712586.107500,0.220485,0.032597,161.754044
citizens_18plus,2020,vote_item_nonresponse,6 US-born NH white,58055,150153561.534400,0.138554,0.001632,44807.303169
citizens_18plus,2020,vote_item_nonresponse,7 All US-born,75746,210083240.689100,0.156133,0.001507,58007.762433
citizens_18plus,2020,vote_item_nonresponse,8 Indian 2nd gen (self-ID),230,825214.241400,0.303031,0.032903,195.089823
citizens_18plus,2020,vote_item_nonresponse,9 US-born Asian (any),1681,4928673.262100,0.294716,0.012824,1263.928754
citizens_18plus,2022,registered_census_convention,1 India-born,317,1249656.476700,0.737987,0.025966,286.782525
citizens_18plus,2022,registered_census_convention,2 China-born,274,1072920.136400,0.517781,0.032062,242.891192
citizens_18plus,2022,registered_census_convention,3 Mexico-born,984,3877215.939700,0.538885,0.016970,862.867783
citizens_18plus,2022,registered_census_convention,4 Other foreign-born,4554,17511178.193400,0.622766,0.007843,3819.292479
citizens_18plus,2022,registered_census_convention,5 Indian 2nd gen,157,584765.417900,0.666843,0.040985,132.255946
citizens_18plus,2022,registered_census_convention,6 US-born NH white,51066,149662644.051200,0.736097,0.002232,38996.928770
citizens_18plus,2022,registered_census_convention,7 All US-born,66954,209834686.547300,0.700311,0.002036,50608.083674
citizens_18plus,2022,registered_census_convention,8 Indian 2nd gen (self-ID),181,703249.932500,0.548892,0.039568,158.156217
citizens_18plus,2022,registered_census_convention,9 US-born Asian (any),1507,4966806.629600,0.552324,0.014542,1169.265436
citizens_18plus,2022,turnout_census_convention,1 India-born,317,1249656.476700,0.470119,0.029472,286.782525
citizens_18plus,2022,turnout_census_convention,2 China-born,274,1072920.136400,0.330635,0.030186,242.891192
citizens_18plus,2022,turnout_census_convention,3 Mexico-born,984,3877215.939700,0.337284,0.016095,862.867783
citizens_18plus,2022,turnout_census_convention,4 Other foreign-born,4554,17511178.193400,0.432646,0.008017,3819.292479
citizens_18plus,2022,turnout_census_convention,5 Indian 2nd gen,157,584765.417900,0.480910,0.043446,132.255946
citizens_18plus,2022,turnout_census_convention,6 US-born NH white,51066,149662644.051200,0.580411,0.002499,38996.928770
citizens_18plus,2022,turnout_census_convention,7 All US-born,66954,209834686.547300,0.534183,0.002217,50608.083674
