arm,year,measure,group,n,wpop,rate,se,neff
citizens_BA_plus_only,pooled,registered_census_convention,7 All US-born,127788,356087993.136700,0.825123,0.001225,96123.193302
citizens_BA_plus_only,pooled,registered_census_convention,8 Indian 2nd gen (self-ID),590,2065828.452200,0.636687,0.021673,492.467381
citizens_BA_plus_only,pooled,registered_census_convention,9 US-born Asian (any),4073,12334298.669500,0.654033,0.008529,3110.620998
citizens_BA_plus_only,pooled,turnout_census_convention,1 India-born,1375,4890304.563200,0.680002,0.013409,1210.303287
citizens_BA_plus_only,pooled,turnout_census_convention,2 China-born,686,2475383.284100,0.566676,0.020233,599.827656
citizens_BA_plus_only,pooled,turnout_census_convention,3 Mexico-born,673,2553760.011400,0.605208,0.020138,589.151064
citizens_BA_plus_only,pooled,turnout_census_convention,4 Other foreign-born,10109,34886248.408900,0.621492,0.005295,8390.927724
citizens_BA_plus_only,pooled,turnout_census_convention,5 Indian 2nd gen,512,1730214.534700,0.654823,0.023452,410.973760
citizens_BA_plus_only,pooled,turnout_census_convention,6 US-born NH white,106481,282547844.804100,0.776382,0.001463,81104.873955
citizens_BA_plus_only,pooled,turnout_census_convention,7 All US-born,127788,356087993.136700,0.756068,0.001385,96123.193302
citizens_BA_plus_only,pooled,turnout_census_convention,8 Indian 2nd gen (self-ID),590,2065828.452200,0.560549,0.022365,492.467381
citizens_BA_plus_only,pooled,turnout_census_convention,9 US-born Asian (any),4073,12334298.669500,0.570294,0.008876,3110.620998
citizens_BA_plus_only,pooled,turnout_reported_only,1 India-born,1201,4299567.177800,0.773431,0.012872,1057.697319
citizens_BA_plus_only,pooled,turnout_reported_only,2 China-born,598,2153106.657900,0.651496,0.020890,520.295933
citizens_BA_plus_only,pooled,turnout_reported_only,3 Mexico-born,557,2113632.843100,0.731232,0.020065,488.135386
citizens_BA_plus_only,pooled,turnout_reported_only,4 Other foreign-born,8608,29666473.424300,0.730842,0.005249,7138.859206
citizens_BA_plus_only,pooled,turnout_reported_only,5 Indian 2nd gen,432,1447013.530400,0.782981,0.022252,343.182167
citizens_BA_plus_only,pooled,turnout_reported_only,6 US-born NH white,94024,248555598.279200,0.882559,0.001205,71423.244029
citizens_BA_plus_only,pooled,turnout_reported_only,7 All US-born,111632,308810007.288200,0.871820,0.001155,83703.416373
citizens_BA_plus_only,pooled,turnout_reported_only,8 Indian 2nd gen (self-ID),454,1541024.255400,0.751447,0.022485,369.422971
citizens_BA_plus_only,pooled,turnout_reported_only,9 US-born Asian (any),3165,9323247.824700,0.754478,0.008845,2367.678628
citizens_BA_plus_only,pooled,vote_item_nonresponse,1 India-born,1375,4890304.563200,0.120798,0.009368,1210.303287
citizens_BA_plus_only,pooled,vote_item_nonresponse,2 China-born,686,2475383.284100,0.130193,0.013740,599.827656
citizens_BA_plus_only,pooled,vote_item_nonresponse,3 Mexico-born,673,2553760.011400,0.172345,0.015560,589.151064
citizens_BA_plus_only,pooled,vote_item_nonresponse,4 Other foreign-born,10109,34886248.408900,0.149623,0.003894,8390.927724
citizens_BA_plus_only,pooled,vote_item_nonresponse,5 Indian 2nd gen,512,1730214.534700,0.163680,0.018251,410.973760
citizens_BA_plus_only,pooled,vote_item_nonresponse,6 US-born NH white,106481,282547844.804100,0.120306,0.001142,81104.873955
citizens_BA_plus_only,pooled,vote_item_nonresponse,7 All US-born,127788,356087993.136700,0.132771,0.001094,96123.193302
citizens_BA_plus_only,pooled,vote_item_nonresponse,8 Indian 2nd gen (self-ID),590,2065828.452200,0.254041,0.019616,492.467381
citizens_BA_plus_only,pooled,vote_item_nonresponse,9 US-born Asian (any),4073,12334298.669500,0.244120,0.007702,3110.620998
citizens_age_25_54,pooled,registered_census_convention,1 India-born,1040,3724940.939300,0.738603,0.014485,920.162955
citizens_age_25_54,pooled,registered_census_convention,2 China-born,639,2333770.714900,0.505923,0.021246,553.776863
citizens_age_25_54,pooled,registered_census_convention,3 Mexico-born,2902,10195028.714100,0.519964,0.010023,2484.452293
citizens_age_25_54,pooled,registered_census_convention,4 Other foreign-born,11362,39813822.915300,0.622293,0.005031,9285.955004
citizens_age_25_54,pooled,registered_census_convention,5 Indian 2nd gen,471,1568223.215600,0.704147,0.023485,377.713953
citizens_age_25_54,pooled,registered_census_convention,6 US-born NH white,128880,342206078.852200,0.732200,0.001417,97653.569489
citizens_age_25_54,pooled,registered_census_convention,7 All US-born,174673,503332403.843300,0.701857,0.001265,130696.490341
citizens_age_25_54,pooled,registered_census_convention,8 Indian 2nd gen (self-ID),562,1998113.496400,0.591722,0.022684,469.492416
citizens_age_25_54,pooled,registered_census_convention,9 US-born Asian (any),4439,13731617.418600,0.579579,0.008437,3422.883581
citizens_age_25_54,pooled,turnout_census_convention,1 India-born,1040,3724940.939300,0.631327,0.015904,920.162955
citizens_age_25_54,pooled,turnout_census_convention,2 China-born,639,2333770.714900,0.419521,0.020970,553.776863
citizens_age_25_54,pooled,turnout_census_convention,3 Mexico-born,2902,10195028.714100,0.405932,0.009852,2484.452293
citizens_age_25_54,pooled,turnout_census_convention,4 Other foreign-born,11362,39813822.915300,0.501565,0.005189,9285.955004
citizens_age_25_54,pooled,turnout_census_convention,5 Indian 2nd gen,471,1568223.215600,0.617955,0.025001,377.713953
citizens_age_25_54,pooled,turnout_census_convention,6 US-born NH white,128880,342206078.852200,0.613418,0.001558,97653.569489
citizens_age_25_54,pooled,turnout_census_convention,7 All US-born,174673,503332403.843300,0.577779,0.001366,130696.490341
citizens_age_25_54,pooled,turnout_census_convention,8 Indian 2nd gen (self-ID),562,1998113.496400,0.498444,0.023076,469.492416
citizens_age_25_54,pooled,turnout_census_convention,9 US-born Asian (any),4439,13731617.418600,0.483635,0.008542,3422.883581
citizens_age_25_54,pooled,turnout_reported_only,1 India-born,892,3196941.468300,0.735595,0.015744,784.691892
citizens_age_25_54,pooled,turnout_reported_only,2 China-born,534,1953888.310000,0.501086,0.023260,462.096394
citizens_age_25_54,pooled,turnout_reported_only,3 Mexico-born,2440,8556720.404000,0.483654,0.010944,2084.912692
citizens_age_25_54,pooled,turnout_reported_only,4 Other foreign-born,9413,32992892.244300,0.605258,0.005571,7697.324735
citizens_age_25_54,pooled,turnout_reported_only,5 Indian 2nd gen,391,1302966.436800,0.743757,0.024725,311.745498
citizens_age_25_54,pooled,turnout_reported_only,6 US-born NH white,110928,293480331.573900,0.715262,0.001558,83862.934911
citizens_age_25_54,pooled,turnout_reported_only,7 All US-born,147969,422849923.113300,0.687750,0.001395,110291.548832
citizens_age_25_54,pooled,turnout_reported_only,8 Indian 2nd gen (self-ID),419,1433540.244000,0.694746,0.024998,339.376081
citizens_age_25_54,pooled,turnout_reported_only,9 US-born Asian (any),3313,10075987.848500,0.659101,0.009452,2515.027554
citizens_age_25_54,pooled,vote_item_nonresponse,1 India-born,1040,3724940.939300,0.141747,0.011498,920.162955
