arm,year,measure,group,n,wpop,rate,se,neff
BA_plus_only,pooled,contacted_official,1 India-born,1094,7191032.414300,0.050932,0.007412,879.852148
BA_plus_only,pooled,contacted_official,2 China-born,533,3451722.221200,0.049298,0.010454,428.817641
BA_plus_only,pooled,contacted_official,3 Mexico-born,357,2310606.754100,0.074275,0.015946,270.405299
BA_plus_only,pooled,contacted_official,4 Other foreign-born,4820,29626007.391000,0.062336,0.004056,3552.690969
BA_plus_only,pooled,contacted_official,5 Indian 2nd gen,195,1180791.432300,0.096246,0.026267,126.070754
BA_plus_only,pooled,contacted_official,6 US-born NH white,38825,164852197.754500,0.190219,0.002397,26813.064940
BA_plus_only,pooled,contacted_official,7 All US-born,45865,207897105.304500,0.176531,0.002173,30798.228085
BA_plus_only,pooled,contacted_official,8 Indian 2nd gen (self-ID),186,1107952.732400,0.080403,0.023693,131.711223
BA_plus_only,pooled,contacted_official,9 US-born Asian (any),1271,6968407.002000,0.098941,0.010362,830.266817
BA_plus_only,pooled,donated_nonpolitical,1 India-born,1090,7162567.775500,0.534460,0.016858,875.536303
BA_plus_only,pooled,donated_nonpolitical,2 China-born,531,3445522.736100,0.483507,0.024172,427.406526
BA_plus_only,pooled,donated_nonpolitical,3 Mexico-born,356,2293791.522600,0.440268,0.030252,269.270052
BA_plus_only,pooled,donated_nonpolitical,4 Other foreign-born,4802,29586760.711000,0.546805,0.008369,3538.284007
BA_plus_only,pooled,donated_nonpolitical,5 Indian 2nd gen,194,1176053.916100,0.640335,0.042870,125.315470
BA_plus_only,pooled,donated_nonpolitical,6 US-born NH white,38658,163879290.655200,0.733239,0.002707,26692.912934
BA_plus_only,pooled,donated_nonpolitical,7 All US-born,45658,206660951.786800,0.700464,0.002616,30648.447665
BA_plus_only,pooled,donated_nonpolitical,8 Indian 2nd gen (self-ID),185,1098172.085000,0.628292,0.042165,131.355851
BA_plus_only,pooled,donated_nonpolitical,9 US-born Asian (any),1258,6897157.605500,0.588207,0.017159,822.632057
BA_plus_only,pooled,donated_political,1 India-born,1092,7174952.750900,0.064184,0.008274,877.394019
BA_plus_only,pooled,donated_political,2 China-born,533,3460085.681500,0.047245,0.010239,429.361887
BA_plus_only,pooled,donated_political,3 Mexico-born,356,2293201.897400,0.062507,0.014754,269.209076
BA_plus_only,pooled,donated_political,4 Other foreign-born,4791,29500926.623400,0.086242,0.004725,3529.951169
BA_plus_only,pooled,donated_political,5 Indian 2nd gen,193,1170141.369000,0.140568,0.031156,124.452792
BA_plus_only,pooled,donated_political,6 US-born NH white,38540,163413501.298200,0.172810,0.002318,26604.767558
BA_plus_only,pooled,donated_political,7 All US-born,45525,206144307.684200,0.161068,0.002103,30543.387801
BA_plus_only,pooled,donated_political,8 Indian 2nd gen (self-ID),186,1112254.667700,0.130527,0.029333,131.897268
BA_plus_only,pooled,donated_political,9 US-born Asian (any),1260,6933003.620100,0.096882,0.010333,819.398358
BA_plus_only,pooled,group_membership,1 India-born,1091,7171300.280300,0.177206,0.012897,876.645539
BA_plus_only,pooled,group_membership,2 China-born,531,3440721.883000,0.181813,0.018660,427.242789
BA_plus_only,pooled,group_membership,3 Mexico-born,357,2298263.060000,0.204049,0.024524,270.044580
BA_plus_only,pooled,group_membership,4 Other foreign-born,4814,29602666.801400,0.231757,0.007086,3546.083500
BA_plus_only,pooled,group_membership,5 Indian 2nd gen,195,1180791.432300,0.324760,0.041706,126.070754
BA_plus_only,pooled,group_membership,6 US-born NH white,38836,164757972.928700,0.454347,0.003041,26802.787200
