asec_year,years_since_entry,group,n,wpop,naturalized_rate,se
2024,0_4,1 India-born,221,577834.420000,0.037782,0.013885
2024,0_4,2 China-born,89,226968.030000,0.041983,0.022850
2024,0_4,3 Mexico-born,442,1001548.220000,0.104324,0.016807
2024,0_4,4 Other foreign-born,1641,4227250.350000,0.082183,0.007835
2024,10_19,1 India-born,259,654811.660000,0.381399,0.032188
2024,10_19,2 China-born,193,475760.920000,0.317960,0.036410
2024,10_19,3 Mexico-born,719,1503279.420000,0.216798,0.017103
2024,10_19,4 Other foreign-born,1936,4709891.970000,0.621948,0.012556
2024,20_29,1 India-born,245,625422.020000,0.819169,0.025798
2024,20_29,2 China-born,171,411633.260000,0.690131,0.039277
2024,20_29,3 Mexico-born,1608,3277202.010000,0.238964,0.011716
2024,20_29,4 Other foreign-born,1989,4998105.900000,0.703622,0.011404
2024,30_99,1 India-born,222,558071.200000,0.966773,0.013009
2024,30_99,2 China-born,195,436215.700000,0.890470,0.024424
2024,30_99,3 Mexico-born,1960,3844839.410000,0.605806,0.012240
2024,30_99,4 Other foreign-born,3796,9075534.340000,0.841217,0.006645
2024,5_9,1 India-born,241,593376.880000,0.076361,0.018301
2024,5_9,2 China-born,118,300826.520000,0.143402,0.035062
2024,5_9,3 Mexico-born,339,708007.630000,0.152415,0.022533
2024,5_9,4 Other foreign-born,1413,3490473.730000,0.247367,0.013161
2025,0_4,1 India-born,249,701239.220000,0.030419,0.012154
2025,0_4,2 China-born,65,160024.570000,0.030402,0.025174
2025,0_4,3 Mexico-born,342,853806.460000,0.104741,0.018620
2025,0_4,4 Other foreign-born,1422,3700536.590000,0.066168,0.007774
2025,10_19,1 India-born,386,975212.590000,0.313903,0.025585
2025,10_19,2 China-born,273,658958.770000,0.342459,0.031158
2025,10_19,3 Mexico-born,761,1683760.710000,0.271523,0.017805
2025,10_19,4 Other foreign-born,2512,6281399.580000,0.580749,0.011254
2025,20_29,1 India-born,303,811212.050000,0.866530,0.020751
2025,20_29,2 China-born,217,553185.750000,0.685783,0.034476
2025,20_29,3 Mexico-born,1696,3659836.810000,0.267674,0.012003
2025,20_29,4 Other foreign-born,2467,6401519.950000,0.710651,0.010304
2025,30_99,1 India-born,229,627783.320000,0.936443,0.017025
2025,30_99,2 China-born,194,505026.750000,0.903897,0.022980
2025,30_99,3 Mexico-born,2082,4384211.070000,0.542954,0.011931
2025,30_99,4 Other foreign-born,4108,10206101.590000,0.847516,0.006288
2025,5_9,1 India-born,244,647180.140000,0.053831,0.015877
2025,5_9,2 China-born,100,260956.750000,0.122388,0.036452
2025,5_9,3 Mexico-born,297,635540.630000,0.121188,0.021216
2025,5_9,4 Other foreign-born,1343,3510553.000000,0.265654,0.013880
