arm,year,measure,group,n,wpop,rate,se,neff
adults_18plus,2019,talks_neighbors_weekly,7 All US-born,46077,197934363.840800,0.301621,0.002636,30324.374512
adults_18plus,2019,talks_neighbors_weekly,8 Indian 2nd gen (self-ID),81,541602.536100,0.123063,0.043036,58.268293
adults_18plus,2019,talks_neighbors_weekly,9 US-born Asian (any),705,3765256.558900,0.154719,0.017134,445.475016
adults_18plus,2019,volunteered_org,1 India-born,421,2660311.148100,0.189625,0.020912,351.385083
adults_18plus,2019,volunteered_org,2 China-born,295,1942526.663800,0.206395,0.026325,236.361920
adults_18plus,2019,volunteered_org,3 Mexico-born,1449,10286633.185000,0.102825,0.009003,1138.262104
adults_18plus,2019,volunteered_org,4 Other foreign-born,4037,25037814.410200,0.172162,0.006877,3013.813958
adults_18plus,2019,volunteered_org,5 Indian 2nd gen,81,481517.761800,0.411494,0.064905,57.484764
adults_18plus,2019,volunteered_org,6 US-born NH white,36588,142984737.761900,0.329577,0.002976,24950.293773
adults_18plus,2019,volunteered_org,7 All US-born,45958,197468262.768600,0.296102,0.002626,30226.547975
adults_18plus,2019,volunteered_org,8 Indian 2nd gen (self-ID),80,535136.804900,0.351659,0.063045,57.361719
adults_18plus,2019,volunteered_org,9 US-born Asian (any),699,3731943.195500,0.296309,0.021749,440.803343
adults_18plus,2021,contacted_official,1 India-born,367,2544612.340600,0.035577,0.011037,281.680161
adults_18plus,2021,contacted_official,2 China-born,275,1970051.625700,0.046205,0.014293,215.727095
adults_18plus,2021,contacted_official,3 Mexico-born,1248,10206628.368300,0.009451,0.003087,982.538886
adults_18plus,2021,contacted_official,4 Other foreign-born,3450,24729006.187400,0.042282,0.004061,2455.211612
adults_18plus,2021,contacted_official,5 Indian 2nd gen,84,635957.982000,0.129149,0.044584,56.581306
adults_18plus,2021,contacted_official,6 US-born NH white,30838,140785230.624900,0.125026,0.002305,20593.212889
adults_18plus,2021,contacted_official,7 All US-born,38969,196711970.478700,0.110387,0.001973,25222.663871
adults_18plus,2021,contacted_official,8 Indian 2nd gen (self-ID),84,644949.145800,0.096646,0.039335,56.426554
adults_18plus,2021,contacted_official,9 US-born Asian (any),748,4478538.178600,0.072108,0.012699,414.866488
adults_18plus,2021,donated_nonpolitical,1 India-born,366,2537518.533000,0.545779,0.029717,280.726375
adults_18plus,2021,donated_nonpolitical,2 China-born,274,1972052.183300,0.370662,0.032904,215.459715
adults_18plus,2021,donated_nonpolitical,3 Mexico-born,1243,10181917.645400,0.293462,0.014556,978.617664
adults_18plus,2021,donated_nonpolitical,4 Other foreign-born,3415,24456134.990800,0.392075,0.009905,2429.522969
adults_18plus,2021,donated_nonpolitical,5 Indian 2nd gen,83,631220.465800,0.571606,0.066176,55.917025
adults_18plus,2021,donated_nonpolitical,6 US-born NH white,30688,140082434.665000,0.572030,0.003456,20492.656373
adults_18plus,2021,donated_nonpolitical,7 All US-born,38765,195702484.342100,0.514991,0.003155,25085.820994
