year,group,n,wpop,rate,se,neff
2016,1 India-born,820,2545478.422800,0.463943,0.018421,732.931331
2016,2 China-born,587,1815318.039200,0.476875,0.022476,493.839773
2016,3 Mexico-born,3702,11373029.868200,0.292196,0.007989,3240.128941
2016,4 Other foreign-born,8742,25555784.331700,0.566490,0.005829,7226.725802
2018,1 India-born,734,2425701.287200,0.447091,0.019474,651.856376
2018,2 China-born,633,2073828.206300,0.499275,0.021268,552.708531
2018,3 Mexico-born,3515,11812129.829400,0.337659,0.008497,3097.317136
2018,4 Other foreign-born,8347,26414921.644300,0.594416,0.005896,6935.554509
2020,1 India-born,802,2849210.841800,0.476978,0.018750,709.574308
2020,2 China-born,505,1891166.501900,0.512945,0.023707,444.514216
2020,3 Mexico-born,2960,11102030.231000,0.334502,0.009178,2642.448395
2020,4 Other foreign-born,7576,26348712.438600,0.587001,0.006177,6354.677373
2022,1 India-born,682,2714592.134500,0.460348,0.020256,605.448296
2022,2 China-born,523,2045210.919700,0.524601,0.023198,463.419470
2022,3 Mexico-born,2862,11413974.996100,0.339690,0.009488,2491.848393
2022,4 Other foreign-born,7576,29448183.202300,0.594644,0.006162,6348.118382
2024,1 India-born,798,3280213.120300,0.421228,0.018545,708.903571
2024,2 China-born,507,1973369.671100,0.511302,0.023844,439.516355
2024,3 Mexico-born,2871,11733698.994900,0.335229,0.009434,2503.947181
2024,4 Other foreign-born,7910,30976675.913700,0.562193,0.006155,6497.082964
pooled,1 India-born,3836,13815195.806600,0.452824,0.008576,3368.688416
pooled,2 China-born,2755,9798893.338200,0.505472,0.010254,2377.490450
pooled,3 Mexico-born,15910,57434863.919600,0.327953,0.003995,13809.361166
pooled,4 Other foreign-born,40151,138744277.530600,0.580718,0.002719,32932.688880
pooled_age_18_34,1 India-born,1199,4322312.080500,0.185505,0.012104,1031.356466
pooled_age_18_34,2 China-born,825,2913857.650000,0.229290,0.015822,705.929870
pooled_age_18_34,3 Mexico-born,3717,13247221.992600,0.187111,0.006948,3150.559871
pooled_age_18_34,4 Other foreign-born,8991,32766162.921400,0.363465,0.005676,7181.809835
pooled_age_35_49,1 India-born,1471,5274217.573000,0.425227,0.013711,1300.186493
pooled_age_35_49,2 China-born,711,2513626.596200,0.486376,0.020183,613.259134
pooled_age_35_49,3 Mexico-born,6002,21446014.167400,0.264613,0.006127,5183.420746
pooled_age_35_49,4 Other foreign-born,12180,42286615.081800,0.537084,0.004989,9987.725859
pooled_age_50_64,1 India-born,718,2624876.670900,0.766022,0.016779,636.619426
pooled_age_50_64,2 China-born,661,2357438.060800,0.667653,0.019672,573.380048
pooled_age_50_64,3 Mexico-born,4281,15803040.342500,0.427350,0.008072,3756.208126
pooled_age_50_64,4 Other foreign-born,10557,36429434.322700,0.674207,0.004992,8812.643077
pooled_age_65_99,1 India-born,448,1593789.482200,0.753291,0.021511,401.612653
pooled_age_65_99,2 China-born,558,2013971.031200,0.739050,0.019941,484.972864
pooled_age_65_99,3 Mexico-born,1910,6938587.417100,0.566242,0.011943,1721.860879
pooled_age_65_99,4 Other foreign-born,8423,27262065.204700,0.784588,0.004896,7050.979736
