group,n_volunteers,n_adults,mean_hours_volunteers,median_hours_volunteers,mean_hours_all_adults
1 India-born,255,1198,53.476791,20.000000,12.369894
2 China-born,126,823,50.009429,25.000000,7.754390
3 Mexico-born,361,4023,83.599159,30.000000,8.029906
4 Other foreign-born,1795,11237,74.477167,25.000000,12.020278
5 Indian 2nd gen,79,242,80.152686,40.000000,26.541496
6 US-born NH white,28905,98132,80.814878,35.000000,24.201054
7 All US-born,33665,123980,79.712554,30.000000,21.387386
