spec,period,sex,x,g,g_se,b0,metros,beneficiaries,source,n_metros,beneficiaries_employed,beneficiary_wagebill_bn,sd_shock,mean_x,protection_jobs,crowding_jobs,net_jobs,protection_bn,crowding_bn,net_bn,var_without,var_with,protection_bn_se,crowding_bn_se,net_bn_se
CK_T5b_IV,GR_2006_2010,men,eta,-2.0001811577251325,0.6920269630522221,0.8789692867585054,all_metros,other_natives,"Cadena-Kovak Table 5(b): native men HS or less, Bartik IV, 94 metros, 2006-10",355,15700404.319800003,886.8100523682292,0.0455198071995255,0.08561653558390905,61031.70439231803,50161.47963964347,10870.224752674563,3.677183713401379,2.76957761738525,0.9076060960161295,0.0016008411079161023,0.000997298747511829,1.272239900841995,0.9582243988721288,0.3140155019698662
CK_T5b_IV,GR_2006_2010,men,eta,-2.0001811577251325,0.6920269630522221,0.8789692867585054,all_metros,other_natives_and_other_foreign_born,"Cadena-Kovak Table 5(b): native men HS or less, Bartik IV, 94 metros, 2006-10",355,18679209.700000003,1024.6202412447424,0.04511124342054552,0.09157908779263046,79148.04952133092,60978.90556463118,18169.143956699732,4.503902778337567,3.22021742457022,1.2836853537673485,0.0015722333200666727,0.0009561137368619134,1.5582699344694706,1.1141377250187146,0.4441322094507567
CK_T5b_IV,GR_2006_2010,men,eta,-2.0001811577251325,0.6920269630522221,0.8789692867585054,ck_sample,other_natives,"Cadena-Kovak Table 5(b): native men HS or less, Bartik IV, 94 metros, 2006-10",91,8921449.6882,525.6995764456962,0.046039759880443815,0.13089193776733338,48455.761161805225,46945.66549162977,1510.095670175465,2.9786912986850593,2.6181200166690295,0.36057128201603017,0.0016376213812587875,0.0007759159755769147,1.0305739984289826,0.9058227736243294,0.1247512248046533
CK_T5b_IV,GR_2006_2010,men,eta,-2.0001811577251325,0.6920269630522221,0.8789692867585054,ck_sample,other_natives_and_other_foreign_born,"Cadena-Kovak Table 5(b): native men HS or less, Bartik IV, 94 metros, 2006-10",91,11434976.3382,641.1978899117393,0.04547336072187239,0.13315468705817918,65244.88858921087,57652.11263722121,7592.775951989655,3.7532621605825,3.0570372011204774,0.696224959462024,0.0015975759140685933,0.0007590168448629795,1.298561685022963,1.0576802816376651,0.24088140338529848
CK_T5c_IV_native_shock,GR_2006_2010,men,eta,-1.9242814262935983,0.6786328927995985,0.8783543807877585,all_metros,other_natives,Cadena-Kovak Table 5(c): shock with natives' industry weights,355,15700404.319800003,886.8100523682292,0.0455198071995255,0.08561653558390905,58715.7691810024,48258.03063546057,10457.738545541819,3.537647724276773,2.6644820381541128,0.8731656861226602,0.0015986020707835554,0.0010109284676368684,1.2476159027611822,0.939678120184281,0.307937782576901
CK_T5c_IV_native_shock,GR_2006_2010,men,eta,-1.9242814262935983,0.6786328927995985,0.8783543807877585,all_metros,other_natives_and_other_foreign_born,Cadena-Kovak Table 5(c): shock with natives' industry weights,355,18679209.700000003,1024.6202412447424,0.04511124342054552,0.09157908779263046,76144.66371360185,58664.973880259015,17479.689833342833,4.332995753266722,3.0980216740842965,1.234974079182426,0.0015700342955868231,0.0009698742193957574,1.5281098712216745,1.0925737690506103,0.43553610217106437
CK_T5c_IV_native_shock,GR_2006_2010,men,eta,-1.9242814262935983,0.6786328927995985,0.8783543807877585,ck_sample,other_natives,Cadena-Kovak Table 5(c): shock with natives' industry weights,91,8921449.6882,525.6995764456962,0.046039759880443815,0.13089193776733338,46617.03808200458,45164.24514931345,1452.7929326911346,2.8656606020831714,2.51877171246507,0.34688888961810077,0.0016353309009209452,0.0007950493679534333,1.0106274049110024,0.8882907199412776,0.12233668496972464
CK_T5c_IV_native_shock,GR_2006_2010,men,eta,-1.9242814262935983,0.6786328927995985,0.8783543807877585,ck_sample,other_natives_and_other_foreign_born,Cadena-Kovak Table 5(c): shock with natives' industry weights,91,11434976.3382,641.1978899117393,0.04547336072187239,0.13315468705817918,62769.078084709545,55464.420863040934,7304.65722166862,3.6108392660961117,2.941033557327958,0.6698057087681526,0.0015953414438416775,0.0007774677967867756,1.2734282330547773,1.0372090503801614,0.23621918267461528
CK_eq7_structural,GR_2006_2010,men,phi_men,-1.199,0.3132091952673165,0.993,all_metros,other_natives,Cadena-Kovak eq. 7 with footnote 52 and Table 4 elasticities,348,15595590.665900001,881.3199232791258,0.045402449848910724,0.11274214760988643,45767.90826439341,39463.169325154464,6304.738939238952,2.7526952517984227,2.1869186053452836,0.565776646453139,0.002032624105691055,0.001446430464379331,0.7190737820116323,0.5712785792287893,0.14779520278284294
CK_eq7_structural,GR_2006_2010,men,phi_men,-1.199,0.3132091952673165,0.993,all_metros,other_natives_and_other_foreign_born,Cadena-Kovak eq. 7 with footnote 52 and Table 4 elasticities,348,18570274.5498,1018.816789728194,0.04501197513356576,0.11994360986192448,58995.349103210974,48185.528269637056,10809.820833573918,3.356474278146847,2.5541584441666956,0.8023158339801518,0.0019978120925661616,0.0013978665168501996,0.8767961698030199,0.6672109348479331,0.20958523495508694
