scenario,m,lambda,sorting,theta,initial_gap,k,cost,gain_bn_2024,gain_bn_2024_fine_grid,sigma1,sigma_lambda,share_of_gdp_pct
mexico_born_all,0.04682648441240504,0.45,full_sorting_theta_1,1.0,0.06020120863864537,0.4682648441240505,low,3.48934219929,3.4057377447449997,0.5,0.2,0.011909825418160611
mexico_born_all,0.04682648441240504,0.45,full_sorting_theta_1,1.0,0.06020120863864537,0.4682648441240505,medium,4.587826124819999,4.3396575181387504,0.3,0.2,0.015659171578700573
mexico_born_all,0.04682648441240504,0.45,full_sorting_theta_1,1.0,0.06020120863864537,0.4682648441240505,high,5.2801578323400005,5.3382625823625,0.2,0.1,0.018022238683353717
mexico_born_all,0.04682648441240504,0.45,full_sorting_theta_1,1.0,0.06020120863864537,0.4682648441240505,prohibitive,7.54113432666375,7.54113432666375,0.0,0.0,0.025739405353747875
mexico_born_all,0.04682648441240504,0.45,observed_sorting_2024,0.6116448044776917,0.06020120863864537,0.4682648441240505,low,0.37835765376374997,0.29608510033875,0.3,0.2,0.00129141062830353
mexico_born_all,0.04682648441240504,0.45,observed_sorting_2024,0.6116448044776917,0.06020120863864537,0.4682648441240505,medium,0.68458988141625,0.37626376891874996,0.2,0.2,0.0023366426979749447
mexico_born_all,0.04682648441240504,0.45,observed_sorting_2024,0.6116448044776917,0.06020120863864537,0.4682648441240505,high,0.21167349133125,0.4628716291875,0.1,0.1,0.0007224841197635143
mexico_born_all,0.04682648441240504,0.45,observed_sorting_2024,0.6116448044776917,0.06020120863864537,0.4682648441240505,prohibitive,0.74018792480625,0.74018792480625,0.0,0.0,0.0025264099814763887
mexico_born_all,0.04682648441240504,0.4,full_sorting_theta_1,1.0,0.12163953243244927,0.23413242206202525,low,4.6852993532137495,4.4473665026625,0.4,0.2,0.01599186727514166
mexico_born_all,0.04682648441240504,0.4,full_sorting_theta_1,1.0,0.12163953243244927,0.23413242206202525,medium,6.13754702427375,5.5803039600675,0.2,0.2,0.02094868011791021
mexico_born_all,0.04682648441240504,0.4,full_sorting_theta_1,1.0,0.12163953243244927,0.23413242206202525,high,5.5795453845075,6.7872906416025,0.2,0.1,0.019044108501513397
mexico_born_all,0.04682648441240504,0.4,full_sorting_theta_1,1.0,0.12163953243244927,0.23413242206202525,prohibitive,9.72176662673625,9.72176662673625,0.0,0.0,0.03318234115991501
mexico_born_all,0.04682648441240504,0.4,observed_sorting_2024,0.601786196231842,0.12163953243244927,0.23413242206202525,low,0.66189041422875,0.4065116201475,0.3,0.2,0.002259164859503441
mexico_born_all,0.04682648441240504,0.4,observed_sorting_2024,0.601786196231842,0.12163953243244927,0.23413242206202525,medium,1.45967345649,0.52422141204,0.2,0.2,0.004982158539181479
mexico_born_all,0.04682648441240504,0.4,observed_sorting_2024,0.601786196231842,0.12163953243244927,0.23413242206202525,high,0.15987604741875,0.7107979501949999,0.1,0.1,0.0005456890452562431
mexico_born_all,0.04682648441240504,0.4,observed_sorting_2024,0.601786196231842,0.12163953243244927,0.23413242206202525,prohibitive,1.3167282068250001,1.3167282068250001,0.0,0.0,0.004494257705548154
