year,group,lowed,sex,measure,rate,se,n,pop
2005,all,all,all,long_distance,0.0339626700423013,0.0002577835100056004,1559091,159379018.0
2005,all,all,all,moved_abroad,0.006937494118579649,0.00012714159347627438,1559091,159379018.0
2005,all,all,all,moved_any,0.16945015936790375,0.0007484767425470719,1559091,159379018.0
2005,all,all,all,moved_interstate,0.027025175923721653,0.00020551403056369877,1559091,159379018.0
2005,all,all,all,moved_within_state,0.13548748932560245,0.0006602273328550399,1559091,159379018.0
2005,mex_fb,all,all,long_distance,0.05047623410080309,0.0015137064258687529,64178,8863498.0
2005,mex_fb,all,all,moved_abroad,0.03234795111365738,0.001305476706515628,64178,8863498.0
2005,mex_fb,all,all,moved_any,0.21733766961982728,0.002784204001552638,64178,8863498.0
2005,mex_fb,all,all,moved_interstate,0.018128282987145708,0.0007534312810271453,64178,8863498.0
2005,mex_fb,all,all,moved_within_state,0.16686143551902421,0.0022619195035371367,64178,8863498.0
2005,mex_fb,hs_or_less,all,long_distance,0.05112749386999599,0.0016183985945287932,54570,7637026.0
2005,mex_fb,hs_or_less,all,moved_abroad,0.03312559103504427,0.0013934189794127905,54570,7637026.0
2005,mex_fb,hs_or_less,all,moved_any,0.21903369191096114,0.003002330070504866,54570,7637026.0
2005,mex_fb,hs_or_less,all,moved_interstate,0.01800190283495172,0.000810123984914342,54570,7637026.0
2005,mex_fb,hs_or_less,all,moved_within_state,0.16790619804096515,0.002466222002302504,54570,7637026.0
2005,mex_fb,hs_or_less,men,long_distance,0.05885829292086568,0.0022064357645401327,29788,4389322.0
2005,mex_fb,hs_or_less,men,moved_abroad,0.0387615672762217,0.0019417848446745163,29788,4389322.0
2005,mex_fb,hs_or_less,men,moved_any,0.23595557582697282,0.0035494384196497995,29788,4389322.0
2005,mex_fb,hs_or_less,men,moved_interstate,0.02009672564464398,0.0010974881502231405,29788,4389322.0
2005,mex_fb,hs_or_less,men,moved_within_state,0.17709728290610713,0.003083303607720046,29788,4389322.0
2005,mex_fb,hs_or_less,women,long_distance,0.040679199828555807,0.0018200061128768735,24782,3247704.0
2005,mex_fb,hs_or_less,women,moved_abroad,0.025508482300111095,0.0014298985049179288,24782,3247704.0
2005,mex_fb,hs_or_less,women,moved_any,0.19616350504848964,0.0035324331513900253,24782,3247704.0
2005,mex_fb,hs_or_less,women,moved_interstate,0.01517071752844471,0.0010575048840404963,24782,3247704.0
2005,mex_fb,hs_or_less,women,moved_within_state,0.15548430521993384,0.002931987599218301,24782,3247704.0
2005,mex_fb,some_college_plus,all,long_distance,0.04642095376005322,0.0030235986132702833,9608,1226472.0
2005,mex_fb,some_college_plus,all,moved_abroad,0.027505723734418723,0.0026461136264265225,9608,1226472.0
2005,mex_fb,some_college_plus,all,moved_any,0.20677683632402533,0.006353323400804248,9608,1226472.0
2005,mex_fb,some_college_plus,all,moved_interstate,0.018915230025634503,0.0020085721489919296,9608,1226472.0
2005,mex_fb,some_college_plus,all,moved_within_state,0.1603558825639721,0.0055886674410127145,9608,1226472.0
2005,mex_fb,some_college_plus,men,long_distance,0.05473333233204668,0.005144002169956059,4881,665810.0
2005,mex_fb,some_college_plus,men,moved_abroad,0.03368228173202565,0.004102236750419094,4881,665810.0
2005,mex_fb,some_college_plus,men,moved_any,0.22067406617503493,0.00856473773472002,4881,665810.0
2005,mex_fb,some_college_plus,men,moved_interstate,0.021051050600021028,0.0030078242101686816,4881,665810.0
2005,mex_fb,some_college_plus,men,moved_within_state,0.16594073384298824,0.00727765321026861,4881,665810.0
2005,mex_fb,some_college_plus,women,long_distance,0.036549650234900886,0.0029865410157496426,4727,560662.0
2005,mex_fb,some_college_plus,women,moved_abroad,0.020170798092255228,0.0024750666099103186,4727,560662.0
2005,mex_fb,some_college_plus,women,moved_any,0.1902732840820316,0.007873009376922046,4727,560662.0
2005,mex_fb,some_college_plus,women,moved_interstate,0.01637885214264566,0.002230054823860324,4727,560662.0
2005,mex_fb,some_college_plus,women,moved_within_state,0.15372363384713073,0.007081712092208928,4727,560662.0
2005,mex_fb_minus_oth_nb,all,all,long_distance,0.020183687581782763,0.001542393032653455,0,
2005,mex_fb_minus_oth_nb,all,all,moved_abroad,0.03003998860788437,0.0012964688425058505,0,
2005,mex_fb_minus_oth_nb,all,all,moved_any,0.055114273390737434,0.002873537273695293,0,
2005,mex_fb_minus_oth_nb,all,all,moved_interstate,-0.009856301026101612,0.0008220399465238203,0,
2005,mex_fb_minus_oth_nb,all,all,moved_within_state,0.034930585808954695,0.0023658079831069597,0,
2005,mex_fb_minus_oth_nb,hs_or_less,all,long_distance,0.026219663279691767,0.0016918353168819697,0,
