period,cbsa,shock_qcew,shock_acs,bartik_qcew,bartik_acs,bartik_qcew_lowmen,mexshare_adults,mexshare_low,adults_base,lowmen_emp_change_acs
GR_2006_2010,10740,-0.052890858460052564,0.033621719239201694,-0.05574781111589314,-0.016878501924864977,-0.14148879694759128,0.09532232875703803,0.19272319937387822,441496.568,-0.07012411755896147
GR_2006_2010,11100,0.0034234884515207437,0.07461995927954503,-0.05688238162528173,-0.027677269767090968,-0.12778934914041293,0.06107235405652281,0.11440803655475301,131376.9712,0.02059930979120192
GR_2006_2010,12060,-0.0719555028528147,-0.0703718869525918,-0.07044156429405841,-0.0368411441385665,-0.14306237133918168,0.05526995421208572,0.11504213217595517,2999942.2374,-0.18519993918780348
GR_2006_2010,12420,0.054440600835892625,0.07128001816240735,-0.06538775292863962,-0.024022765154831024,-0.1452500631524627,0.11691266970025024,0.26277127956340257,872682.7953,-0.10097698320079421
GR_2006_2010,12540,-0.028226258111914933,-0.02833172234356487,-0.057117436585015384,-0.010594299984892724,-0.10142097631179237,0.22958496086363805,0.33891427001095,420746.5434,-0.1542654777330076
GR_2006_2010,12580,-0.030662207256262897,-0.022732656062222144,-0.04511270726036972,-0.0113893176009454,-0.12004885700620138,0.006011109128605817,0.013875000135648614,1482177.3502,-0.10526156748329304
GR_2006_2010,13140,-0.013362006728441409,-0.06041424439010279,-0.07865711578128301,-0.03676281474667544,-0.16000197543999584,0.05127294930001326,0.0818818424923856,219581.3651,-0.0440398745752402
GR_2006_2010,13820,-0.0798167668098541,-0.0244121991685387,-0.06210159480448571,-0.028175239874724516,-0.1416534815176981,0.01671149047338053,0.0327237550976636,611340.1265,-0.09649305792576406
GR_2006_2010,14260,-0.07805789648510729,-0.01631186737672981,-0.0734020951639577,-0.03727569567519727,-0.14633898480350935,0.04612303144886577,0.09984404705146363,315145.99199999997,-0.1615096103008372
GR_2006_2010,14500,-0.03104134910798175,0.004253668524172076,-0.05244665970545093,-0.014530912816721583,-0.10938332658934022,0.06775856161833504,0.26922893011047805,155778.0869,-0.1112350742190126
