group,lowed,sex,measure,period,rate_pct,se_pct,years
mex_fb,hs_or_less,women,moved_any,2006_2010,16.658970069457663,0.1260678616499764,5
mex_fb,hs_or_less,women,moved_any,2019_2024,8.049993615138469,0.10497640100561031,5
mex_fb,hs_or_less,women,moved_any,2024,8.25703797819302,0.26684582804756,1
mex_fb,hs_or_less,women,moved_interstate,2006_2010,1.19457096904988,0.03735724626476945,5
mex_fb,hs_or_less,women,moved_interstate,2019_2024,0.68389640694008,0.031011551403062443,5
mex_fb,hs_or_less,women,moved_interstate,2024,0.59946077369503,0.06790294454081,1
mex_fb,hs_or_less,women,moved_within_state,2006_2010,14.11357793713891,0.11719553598901578,5
mex_fb,hs_or_less,women,moved_within_state,2019_2024,6.48079264108398,0.09561387346940296,5
mex_fb,hs_or_less,women,moved_within_state,2024,6.21548930346603,0.22475783686571002,1
mex_fb,some_college_plus,all,long_distance,2006_2010,3.640604163402518,0.10497009762345914,5
mex_fb,some_college_plus,all,long_distance,2019_2024,3.247015616823486,0.08652982500933126,5
mex_fb,some_college_plus,all,long_distance,2024,3.73226043530099,0.21494027258961002,1
mex_fb,some_college_plus,all,moved_abroad,2006_2010,1.901858670706184,0.07757316505109474,5
mex_fb,some_college_plus,all,moved_abroad,2019_2024,1.690052666003702,0.05896790535648465,5
mex_fb,some_college_plus,all,moved_abroad,2024,1.94223590268635,0.14796387234392,1
mex_fb,some_college_plus,all,moved_any,2006_2010,18.11700976641055,0.2090001107754298,5
mex_fb,some_college_plus,all,moved_any,2019_2024,12.414104131405102,0.16072788271167027,5
mex_fb,some_college_plus,all,moved_any,2024,12.644741955852579,0.36064367421279003,1
mex_fb,some_college_plus,all,moved_interstate,2006_2010,1.7387454926963302,0.07144368824822021,5
mex_fb,some_college_plus,all,moved_interstate,2019_2024,1.556962950819778,0.06164848568556033,5
mex_fb,some_college_plus,all,moved_interstate,2024,1.79002453261463,0.13748910453654,1
mex_fb,some_college_plus,all,moved_within_state,2006_2010,14.465262773050942,0.19151874363034244,5
mex_fb,some_college_plus,all,moved_within_state,2019_2024,9.157023654168801,0.1439626227850681,5
mex_fb,some_college_plus,all,moved_within_state,2024,8.892155303589929,0.29387279232878,1
mex_fb,some_college_plus,men,long_distance,2006_2010,3.9222835902087985,0.14163012024637064,5
mex_fb,some_college_plus,men,long_distance,2019_2024,3.4073594022423372,0.11997567899704313,5
mex_fb,some_college_plus,men,long_distance,2024,3.9731334360951998,0.31351217295739,1
mex_fb,some_college_plus,men,moved_abroad,2006_2010,2.069617368525214,0.10476606400697142,5
mex_fb,some_college_plus,men,moved_abroad,2019_2024,1.724221514467682,0.08239734194567924,5
mex_fb,some_college_plus,men,moved_abroad,2024,2.06988979473023,0.23459460634322,1
mex_fb,some_college_plus,men,moved_any,2006_2010,18.794370566640154,0.27889574157043545,5
mex_fb,some_college_plus,men,moved_any,2019_2024,12.868348817947926,0.2070455003712023,5
mex_fb,some_college_plus,men,moved_any,2024,13.17774482625233,0.46131998583691,1
mex_fb,some_college_plus,men,moved_interstate,2006_2010,1.8526662216835819,0.09662200262728854,5
mex_fb,some_college_plus,men,moved_interstate,2019_2024,1.683137887774654,0.08794063525183551,5
mex_fb,some_college_plus,men,moved_interstate,2024,1.90324364136497,0.18616128068654,1
mex_fb,some_college_plus,men,moved_within_state,2006_2010,14.86661961513948,0.26018888409901086,5
mex_fb,some_college_plus,men,moved_within_state,2019_2024,9.449189187917222,0.19268468518253182,5
mex_fb,some_college_plus,men,moved_within_state,2024,9.188103066640869,0.40298159532675,1
mex_fb,some_college_plus,women,long_distance,2006_2010,3.3230399011608203,0.13798407720141342,5
mex_fb,some_college_plus,women,long_distance,2019_2024,3.096819636594176,0.10837483040493515,5
mex_fb,some_college_plus,women,long_distance,2024,3.50841678709668,0.24098428379717,1
mex_fb,some_college_plus,women,moved_abroad,2006_2010,1.714068679099624,0.09860628145580376,5
mex_fb,some_college_plus,women,moved_abroad,2019_2024,1.6581023734948803,0.07386082174569579,5
mex_fb,some_college_plus,women,moved_abroad,2024,1.82360694548332,0.16585739459406,1
mex_fb,some_college_plus,women,moved_any,2006_2010,17.355534842520267,0.2776406612628102,5
mex_fb,some_college_plus,women,moved_any,2019_2024,11.987926180674949,0.21689624409103123,5
mex_fb,some_college_plus,women,moved_any,2024,12.14942157282808,0.44824251676611004,1
